"","date","GAINL"
"1","2018-08-23",25.139999
"2","2018-08-24",25.200001
"3","2018-08-27",25.18
"4","2018-08-28",25.219999
"5","2018-08-29",25.370001
"6","2018-08-30",25.33
"7","2018-08-31",25.440001
"8","2018-09-04",25.469999
"9","2018-09-05",25.5
"10","2018-09-06",25.43
"11","2018-09-07",25.379999
"12","2018-09-10",25.43
"13","2018-09-11",25.43
"14","2018-09-12",25.43
"15","2018-09-13",25.450001
"16","2018-09-14",25.41
"17","2018-09-17",25.440001
"18","2018-09-18",25.309999
"19","2018-09-19",25.27
"20","2018-09-20",25.280001
"21","2018-09-21",25.32
"22","2018-09-24",25.299999
"23","2018-09-25",25.25
"24","2018-09-26",25.450001
"25","2018-09-27",25.530001
"26","2018-09-28",25.370001
"27","2018-10-01",25.52
"28","2018-10-02",25.32
"29","2018-10-03",25.33
"30","2018-10-04",25.32
"31","2018-10-05",25.15
"32","2018-10-08",25.15
"33","2018-10-09",25.25
"34","2018-10-10",25.18
"35","2018-10-11",25.190001
"36","2018-10-12",25.18
"37","2018-10-15",25.280001
"38","2018-10-16",25.4
"39","2018-10-17",25.42
"40","2018-10-18",25.24
"41","2018-10-19",25.33
"42","2018-10-22",25.379999
"43","2018-10-23",25.280001
"44","2018-10-24",25.26
"45","2018-10-25",25.290001
"46","2018-10-26",25.139999
"47","2018-10-29",25.34
"48","2018-10-30",25.25
"49","2018-10-31",25.299999
"50","2018-11-01",25.309999
"51","2018-11-02",25.24
"52","2018-11-05",25.299999
"53","2018-11-06",25.18
"54","2018-11-07",25.209999
"55","2018-11-08",25.219999
"56","2018-11-09",25.200001
"57","2018-11-12",25.24
"58","2018-11-13",25.4
"59","2018-11-14",25.309999
"60","2018-11-15",25.219999
"61","2018-11-16",25.32
"62","2018-11-19",25.190001
"63","2018-11-20",25.1
"64","2018-11-21",25
"65","2018-11-23",25.01
"66","2018-11-26",25.1
"67","2018-11-27",25
"68","2018-11-28",25
"69","2018-11-29",25.01
"70","2018-11-30",25
"71","2018-12-03",25.23
"72","2018-12-04",24.99
"73","2018-12-06",24.940001
"74","2018-12-07",24.969999
"75","2018-12-10",24.950001
"76","2018-12-11",24.940001
"77","2018-12-12",25
"78","2018-12-13",24.99
"79","2018-12-14",24.860001
"80","2018-12-17",24.540001
"81","2018-12-18",24.209999
"82","2018-12-19",24.24
"83","2018-12-20",24
"84","2018-12-21",23.4
"85","2018-12-24",23.99
"86","2018-12-26",24.200001
