"","date","TGS"
"1","2007-01-03",7.4
"2","2007-01-04",7.1
"3","2007-01-05",7
"4","2007-01-08",7.15
"5","2007-01-09",7.14
"6","2007-01-10",6.98
"7","2007-01-11",6.97
"8","2007-01-12",6.93
"9","2007-01-16",6.86
"10","2007-01-17",6.56
"11","2007-01-18",6.67
"12","2007-01-19",6.87
"13","2007-01-22",6.94
"14","2007-01-23",6.85
"15","2007-01-24",6.91
"16","2007-01-25",6.92
"17","2007-01-26",6.7
"18","2007-01-29",6.69
"19","2007-01-30",6.69
"20","2007-01-31",7
"21","2007-02-01",6.56
"22","2007-02-02",6.59
"23","2007-02-05",6.4
"24","2007-02-06",6.5
"25","2007-02-07",6.54
"26","2007-02-08",6.35
"27","2007-02-09",6.26
"28","2007-02-12",6.67
"29","2007-02-13",6.83
"30","2007-02-14",6.75
"31","2007-02-15",6.7
"32","2007-02-16",6.75
"33","2007-02-20",6.72
"34","2007-02-21",6.78
"35","2007-02-22",6.73
"36","2007-02-23",6.59
"37","2007-02-26",6.61
"38","2007-02-27",6.38
"39","2007-02-28",6.78
"40","2007-03-01",6.54
"41","2007-03-02",6.69
"42","2007-03-05",6.29
"43","2007-03-06",6.35
"44","2007-03-07",6.44
"45","2007-03-08",6.34
"46","2007-03-09",6.35
"47","2007-03-12",6.46
"48","2007-03-13",6.26
"49","2007-03-14",6.19
"50","2007-03-15",6.18
"51","2007-03-16",6.2
"52","2007-03-19",6.3
"53","2007-03-20",6.26
"54","2007-03-21",6.31
"55","2007-03-22",6.23
"56","2007-03-23",6.51
"57","2007-03-26",6.34
"58","2007-03-27",6.24
"59","2007-03-28",6.29
"60","2007-03-29",6.32
"61","2007-03-30",6.52
"62","2007-04-02",6.86
"63","2007-04-03",6.8
"64","2007-04-04",6.71
"65","2007-04-05",6.93
"66","2007-04-09",6.83
"67","2007-04-10",7
"68","2007-04-11",7.01
"69","2007-04-12",7.17
"70","2007-04-13",7.27
"71","2007-04-16",7.3
"72","2007-04-17",7.27
"73","2007-04-18",7.34
"74","2007-04-19",7.15
"75","2007-04-20",7.26
"76","2007-04-23",7.23
"77","2007-04-24",7.28
"78","2007-04-25",7.15
"79","2007-04-26",7.25
"80","2007-04-27",7.33
"81","2007-04-30",6.95
"82","2007-05-01",7.15
"83","2007-05-02",7.2
"84","2007-05-03",7.12
"85","2007-05-04",7.1
"86","2007-05-07",7.23
"87","2007-05-08",7.26
"88","2007-05-09",7.56
"89","2007-05-10",7.4
"90","2007-05-11",7.39
"91","2007-05-14",7.5
"92","2007-05-15",7.6
"93","2007-05-16",7.5
"94","2007-05-17",7.47
"95","2007-05-18",7.49
"96","2007-05-21",7.73
"97","2007-05-22",7.64
"98","2007-05-23",7.45
"99","2007-05-24",7.25
"100","2007-05-25",7.31
"101","2007-05-29",7.26
"102","2007-05-30",7.33
"103","2007-05-31",8.25
"104","2007-06-01",8.25
"105","2007-06-04",8.38
"106","2007-06-05",8.26
"107","2007-06-06",8.19
"108","2007-06-07",8.03
"109","2007-06-08",8.13
"110","2007-06-11",8.23
"111","2007-06-12",8.18
"112","2007-06-13",8.2
"113","2007-06-14",8.17
"114","2007-06-15",8.25
"115","2007-06-18",8.13
"116","2007-06-19",8.14
"117","2007-06-20",8.14
"118","2007-06-21",8.05
"119","2007-06-22",8.18
"120","2007-06-25",8.4
"121","2007-06-26",7.94
"122","2007-06-27",7.73
"123","2007-06-28",7.94
"124","2007-06-29",8
"125","2007-07-02",8.15
"126","2007-07-03",8.44
"127","2007-07-05",8.47
"128","2007-07-06",8.01
"129","2007-07-09",8.06
"130","2007-07-10",8.15
"131","2007-07-11",8.16
"132","2007-07-12",8.06
"133","2007-07-13",8.09
"134","2007-07-16",7.81
"135","2007-07-17",7.65
"136","2007-07-18",7.6
"137","2007-07-19",7.7
"138","2007-07-20",7.8
"139","2007-07-23",7.65
"140","2007-07-24",7.03
"141","2007-07-25",7.37
"142","2007-07-26",7.1
"143","2007-07-27",7.02
"144","2007-07-30",7.2
"145","2007-07-31",7.3
"146","2007-08-01",7.15
