"","date","DSWL"
"1","2007-01-03",11.57
"2","2007-01-04",11.55
"3","2007-01-05",11.79
"4","2007-01-08",11.73
"5","2007-01-09",11.96
"6","2007-01-10",11.92
"7","2007-01-11",11.95
"8","2007-01-12",11.89
"9","2007-01-16",11.8
"10","2007-01-17",11.88
"11","2007-01-18",11.92
"12","2007-01-19",12.2
"13","2007-01-22",12.09
"14","2007-01-23",11.91
"15","2007-01-24",11.9
"16","2007-01-25",11.69
"17","2007-01-26",11.83
"18","2007-01-29",12
"19","2007-01-30",12
"20","2007-01-31",11.95
"21","2007-02-01",11.94
"22","2007-02-02",11.9
"23","2007-02-05",11.97
"24","2007-02-06",11.98
"25","2007-02-07",11.99
"26","2007-02-08",12.03
"27","2007-02-09",11.9
"28","2007-02-12",12.02
"29","2007-02-13",11.98
"30","2007-02-14",12.22
"31","2007-02-15",12.13
"32","2007-02-16",12.24
"33","2007-02-20",12.38
"34","2007-02-21",12.47
"35","2007-02-22",12.4
"36","2007-02-23",12.22
"37","2007-02-26",12.25
"38","2007-02-27",12.02
"39","2007-02-28",12.01
"40","2007-03-01",12.05
"41","2007-03-02",11.99
"42","2007-03-05",11.93
"43","2007-03-06",12.09
"44","2007-03-07",11.98
"45","2007-03-08",12.05
"46","2007-03-09",11.92
"47","2007-03-12",12.02
"48","2007-03-13",12.01
"49","2007-03-14",11.86
"50","2007-03-15",11.86
"51","2007-03-16",11.74
"52","2007-03-19",11.9
"53","2007-03-20",11.82
"54","2007-03-21",11.9
"55","2007-03-22",11.89
"56","2007-03-23",11.92
"57","2007-03-26",11.83
"58","2007-03-27",11.94
"59","2007-03-28",11.86
"60","2007-03-29",11.7
"61","2007-03-30",11.65
"62","2007-04-02",11.65
"63","2007-04-03",11.7
"64","2007-04-04",11.69
"65","2007-04-05",11.6
"66","2007-04-09",11.51
"67","2007-04-10",11.53
"68","2007-04-11",11.49
"69","2007-04-12",11.7
"70","2007-04-13",11.8
"71","2007-04-16",11.85
"72","2007-04-17",11.88
"73","2007-04-18",11.73
"74","2007-04-19",11.71
"75","2007-04-20",11.87
"76","2007-04-23",11.98
"77","2007-04-24",12
"78","2007-04-25",11.88
"79","2007-04-26",11.99
"80","2007-04-27",12.08
"81","2007-04-30",12.29
"82","2007-05-01",12.5
"83","2007-05-02",12.19
"84","2007-05-03",12.2
"85","2007-05-04",12.19
"86","2007-05-07",12.39
"87","2007-05-08",12.15
"88","2007-05-09",12.1
"89","2007-05-10",12.03
"90","2007-05-11",12.07
"91","2007-05-14",12.25
"92","2007-05-15",12.07
"93","2007-05-16",12
"94","2007-05-17",12.02
"95","2007-05-18",11.87
"96","2007-05-21",11.82
"97","2007-05-22",12
"98","2007-05-23",12.05
"99","2007-05-24",12
"100","2007-05-25",12.04
"101","2007-05-29",12.16
"102","2007-05-30",12.29
"103","2007-05-31",12.1
"104","2007-06-01",12.21
"105","2007-06-04",12.03
"106","2007-06-05",12.04
"107","2007-06-06",12.11
"108","2007-06-07",12
"109","2007-06-08",12.07
"110","2007-06-11",12.26
"111","2007-06-12",12.02
"112","2007-06-13",12.1
"113","2007-06-14",12
"114","2007-06-15",12.09
"115","2007-06-18",12
"116","2007-06-19",12.29
"117","2007-06-20",12.31
"118","2007-06-21",12.55
"119","2007-06-22",12.63
"120","2007-06-25",12.75
"121","2007-06-26",12.5
"122","2007-06-27",12.55
"123","2007-06-28",12.32
"124","2007-06-29",10.92
"125","2007-07-02",10.97
"126","2007-07-03",10.62
"127","2007-07-05",10.52
"128","2007-07-06",10.27
"129","2007-07-09",9.95
"130","2007-07-10",10.09
"131","2007-07-11",10.1
"132","2007-07-12",10.05
"133","2007-07-13",9.97
"134","2007-07-16",10.23
"135","2007-07-17",10.51
"136","2007-07-18",10.59
"137","2007-07-19",10.64
"138","2007-07-20",10.91
"139","2007-07-23",10.73
"140","2007-07-24",10.53
"141","2007-07-25",10.51
"142","2007-07-26",10.21
"143","2007-07-27",10.35
"144","2007-07-30",10.48
"145","2007-07-31",10.51
"146","2007-08-01",10.32
"147","2007-08-02",10.3
"148","2007-08-03",10.41
"149","2007-08-06",10.32
"150","2007-08-07",10.02
"151","2007-08-08",10.2
"152","2007-08-09",10.2
"153","2007-08-10",10.05
"154","2007-08-13",10.25
"155","2007-08-14",10
"156","2007-08-15",9.96
"157","2007-08-16",9.9
"158","2007-08-17",9.63
"159","2007-08-20",9.76
"160","2007-08-21",9.77
"161","2007-08-22",10
"162","2007-08-23",9.94
"163","2007-08-24",9.89
"164","2007-08-27",9.99
"165","2007-08-28",10
"166","2007-08-29",9.98
"167","2007-08-30",9.78
"168","2007-08-31",9.97
"169","2007-09-04",9.97
"170","2007-09-05",9.74
"171","2007-09-06",9.62
"172","2007-09-07",9.68
"173","2007-09-10",9.55
"174","2007-09-11",9.39
"175","2007-09-12",9.46
"176","2007-09-13",9.48
"177","2007-09-14",9.38
"178","2007-09-17",9.26
"179","2007-09-18",9.8
"180","2007-09-19",9.71
"181","2007-09-20",9.51
"182","2007-09-21",9.48
"183","2007-09-24",9.5
"184","2007-09-25",9.61
"185","2007-09-26",9.65
"186","2007-09-27",10
"187","2007-09-28",9.9
"188","2007-10-01",9.92
"189","2007-10-02",9.92
"190","2007-10-03",10.14
"191","2007-10-04",11.44
"192","2007-10-05",11.17
"193","2007-10-08",10.88
"194","2007-10-09",11.21
"195","2007-10-10",11.09
"196","2007-10-11",10.73
"197","2007-10-12",10.56
"198","2007-10-15",10.92
"199","2007-10-16",10.79
"200","2007-10-17",10.7
"201","2007-10-18",10.58
"202","2007-10-19",10.2
"203","2007-10-22",10.37
"204","2007-10-23",10.07
"205","2007-10-24",10.18
"206","2007-10-25",10.27
"207","2007-10-26",10.3
"208","2007-10-29",10.14
"209","2007-10-30",9.98
"210","2007-10-31",10.1
"211","2007-11-01",9.91
"212","2007-11-02",9.81
"213","2007-11-05",9.64
"214","2007-11-06",9.53
"215","2007-11-07",9.16
"216","2007-11-08",9.02
"217","2007-11-09",8.74
"218","2007-11-12",8.93
"219","2007-11-13",9.19
"220","2007-11-14",9.15
"221","2007-11-15",8.75
"222","2007-11-16",8.73
"223","2007-11-19",8.61
"224","2007-11-20",6.47
"225","2007-11-21",6.1
"226","2007-11-23",6.22
"227","2007-11-26",6.41
"228","2007-11-27",6.21
"229","2007-11-28",6.41
"230","2007-11-29",6.32
"231","2007-11-30",6.28
"232","2007-12-03",6.18
"233","2007-12-04",6.35
"234","2007-12-05",6.4
"235","2007-12-06",6.52
"236","2007-12-07",6.89
"237","2007-12-10",6.65
"238","2007-12-11",6.55
"239","2007-12-12",6.2
"240","2007-12-13",6.12
"241","2007-12-14",6.56
"242","2007-12-17",6.49
"243","2007-12-18",6.28
"244","2007-12-19",6.31
"245","2007-12-20",6.26
"246","2007-12-21",6.08
"247","2007-12-24",6.36
"248","2007-12-26",6.22
"249","2007-12-27",6.07
"250","2007-12-28",6.07
"251","2007-12-31",6.05
"252","2008-01-02",6.12
"253","2008-01-03",6.09
"254","2008-01-04",6.03
"255","2008-01-07",5.72
"256","2008-01-08",5.8
"257","2008-01-09",5.79
"258","2008-01-10",5.82
"259","2008-01-11",5.82
"260","2008-01-14",5.79
"261","2008-01-15",5.53
"262","2008-01-16",5.97
"263","2008-01-17",5.79
"264","2008-01-18",5.71
"265","2008-01-22",5.98
"266","2008-01-23",5.96
"267","2008-01-24",5.83
"268","2008-01-25",5.96
"269","2008-01-28",5.84
"270","2008-01-29",6.12
"271","2008-01-30",5.99
"272","2008-01-31",6.09
"273","2008-02-01",6
"274","2008-02-04",6.12
"275","2008-02-05",6.01
"276","2008-02-06",6.03
"277","2008-02-07",6.03
"278","2008-02-08",6.02
"279","2008-02-11",6.04
"280","2008-02-12",6.24
"281","2008-02-13",6.2
