"","date","SE"
"1","2017-10-20",16.26
"2","2017-10-23",15.26
"3","2017-10-24",15.24
"4","2017-10-25",13.73
"5","2017-10-26",14.02
"6","2017-10-27",14.01
"7","2017-10-30",14.1
"8","2017-10-31",15.08
"9","2017-11-01",15.43
"10","2017-11-02",15.24
"11","2017-11-03",14.99
"12","2017-11-06",15.01
"13","2017-11-07",15
"14","2017-11-08",14.84
"15","2017-11-09",14.5
"16","2017-11-10",14.72
"17","2017-11-13",14.73
"18","2017-11-14",15.01
"19","2017-11-15",14.71
"20","2017-11-16",15.03
"21","2017-11-17",15
"22","2017-11-20",15.49
"23","2017-11-21",14.78
"24","2017-11-22",13.85
"25","2017-11-24",13.33
"26","2017-11-27",12.67
"27","2017-11-28",11.45
"28","2017-11-29",10.97
"29","2017-11-30",11.6
"30","2017-12-01",12.43
"31","2017-12-04",11.98
"32","2017-12-05",12.73
"33","2017-12-06",12.13
"34","2017-12-07",12.92
"35","2017-12-08",13.29
"36","2017-12-11",13.41
"37","2017-12-12",13.19
"38","2017-12-13",12.72
"39","2017-12-14",11.77
"40","2017-12-15",12
"41","2017-12-18",11.92
"42","2017-12-19",11.87
"43","2017-12-20",12.22
"44","2017-12-21",12.77
"45","2017-12-22",13.24
"46","2017-12-26",13
"47","2017-12-27",13.38
"48","2017-12-28",13.5
"49","2017-12-29",13.33
"50","2018-01-02",13.01
"51","2018-01-03",13.5
"52","2018-01-04",13
"53","2018-01-05",13.89
"54","2018-01-08",13.87
"55","2018-01-09",13.82
"56","2018-01-10",13.59
"57","2018-01-11",14.23
"58","2018-01-12",12.97
"59","2018-01-16",12.78
"60","2018-01-17",12.63
"61","2018-01-18",12.58
"62","2018-01-19",12.31
"63","2018-01-22",12.59
"64","2018-01-23",12.9
"65","2018-01-24",12.76
"66","2018-01-25",12.75
"67","2018-01-26",13.29
"68","2018-01-29",12.22
"69","2018-01-30",12.03
"70","2018-01-31",12.26
"71","2018-02-01",11.92
"72","2018-02-02",11.93
"73","2018-02-05",11.5
"74","2018-02-06",11.18
"75","2018-02-07",11.2
"76","2018-02-08",10.88
"77","2018-02-09",11.33
"78","2018-02-12",11.49
"79","2018-02-13",11.6
"80","2018-02-14",11.73
"81","2018-02-15",12.38
"82","2018-02-16",12.33
"83","2018-02-20",12.33
"84","2018-02-21",12.52
"85","2018-02-22",11.96
"86","2018-02-23",12.16
"87","2018-02-26",12.15
"88","2018-02-27",12.26
"89","2018-02-28",10.96
"90","2018-03-01",11.03
"91","2018-03-02",10.67
"92","2018-03-05",10.78
"93","2018-03-06",10.93
"94","2018-03-07",11.59
"95","2018-03-08",11.19
"96","2018-03-09",11.08
"97","2018-03-12",11.46
"98","2018-03-13",11.3
"99","2018-03-14",11.15
"100","2018-03-15",11.15
"101","2018-03-16",11.19
"102","2018-03-19",10.76
"103","2018-03-20",10.72
"104","2018-03-21",10.83
"105","2018-03-22",10.81
"106","2018-03-23",10.78
"107","2018-03-26",11
"108","2018-03-27",10.87
"109","2018-03-28",10.93
"110","2018-03-29",11.27
"111","2018-04-02",11.25
"112","2018-04-03",11.11
"113","2018-04-04",11.09
"114","2018-04-05",11.01
"115","2018-04-06",10.66
"116","2018-04-09",10.79
"117","2018-04-10",10.7
"118","2018-04-11",10.5
"119","2018-04-12",10.47
"120","2018-04-13",10.35
"121","2018-04-16",10.53
"122","2018-04-17",10.87
"123","2018-04-18",11.91
"124","2018-04-19",11.59
"125","2018-04-20",11.38
"126","2018-04-23",10.79
"127","2018-04-24",10.97
"128","2018-04-25",10.62
"129","2018-04-26",10.49
"130","2018-04-27",10.61
"131","2018-04-30",10.49
"132","2018-05-01",10.48
"133","2018-05-02",10.9
"134","2018-05-03",10.89
"135","2018-05-04",10.82
"136","2018-05-07",10.48
"137","2018-05-08",10.39
"138","2018-05-09",10.34
"139","2018-05-10",10.96
"140","2018-05-11",10.52
"141","2018-05-14",10.45
"142","2018-05-15",10.64
"143","2018-05-16",11.98
"144","2018-05-17",11.74
"145","2018-05-18",13.07
"146","2018-05-21",13.61
"147","2018-05-22",13.37
"148","2018-05-23",14.26
"149","2018-05-24",14.61
"150","2018-05-25",14.56
"151","2018-05-29",14.9
"152","2018-05-30",14.61
"153","2018-05-31",14.79
"154","2018-06-01",16.309999
"155","2018-06-04",15.31
"156","2018-06-05",16.4
"157","2018-06-06",16
"158","2018-06-07",15.92
"159","2018-06-08",16
"160","2018-06-11",15.87
"161","2018-06-12",16.4
"162","2018-06-13",14.94
"163","2018-06-14",15.96
"164","2018-06-15",15.51
"165","2018-06-18",15.56
"166","2018-06-19",15.1
"167","2018-06-20",15.13
"168","2018-06-21",14.82
"169","2018-06-22",15.39
"170","2018-06-25",14.85
"171","2018-06-26",15.22
"172","2018-06-27",14.82
"173","2018-06-28",14.65
"174","2018-06-29",15
"175","2018-07-02",14.51
"176","2018-07-03",14.87
"177","2018-07-05",15.6
"178","2018-07-06",16.530001
"179","2018-07-09",16.25
"180","2018-07-10",15.68
"181","2018-07-11",15.49
"182","2018-07-12",16.08
"183","2018-07-13",15.91
"184","2018-07-16",15.62
"185","2018-07-17",15.66
"186","2018-07-18",15.56
"187","2018-07-19",15.75
"188","2018-07-20",15.31
"189","2018-07-23",15.25
"190","2018-07-24",14.3
"191","2018-07-25",14.46
"192","2018-07-26",14.35
"193","2018-07-27",13.46
"194","2018-07-30",13.55
"195","2018-07-31",14.1
"196","2018-08-01",14.62
"197","2018-08-02",14.87
"198","2018-08-03",14.51
"199","2018-08-06",14.75
"200","2018-08-07",14.46
"201","2018-08-08",14.34
"202","2018-08-09",14.3
"203","2018-08-10",13.84
"204","2018-08-13",14.19
"205","2018-08-14",13.95
"206","2018-08-15",13.42
"207","2018-08-16",13.47
"208","2018-08-17",13.58
"209","2018-08-20",13.84
"210","2018-08-21",14.26
"211","2018-08-22",13.57
"212","2018-08-23",14.35
"213","2018-08-24",14.74
"214","2018-08-27",15.16
"215","2018-08-28",15.1
"216","2018-08-29",14.91
"217","2018-08-30",13.88
"218","2018-08-31",14.25
"219","2018-09-04",13.84
"220","2018-09-05",13.49
"221","2018-09-06",13.65
"222","2018-09-07",13.49
"223","2018-09-10",12.77
"224","2018-09-11",12.41
"225","2018-09-12",13.24
"226","2018-09-13",13.92
"227","2018-09-14",13.63
"228","2018-09-17",13.66
"229","2018-09-18",13.66
"230","2018-09-19",13.44
"231","2018-09-20",13.92
"232","2018-09-21",14.6
"233","2018-09-24",14.24
"234","2018-09-25",14.47
"235","2018-09-26",14.22
"236","2018-09-27",14.16
"237","2018-09-28",13.83
"238","2018-10-01",14.49
"239","2018-10-02",13.9
"240","2018-10-03",13.89
"241","2018-10-04",12.82
"242","2018-10-05",12.92
"243","2018-10-08",12.67
"244","2018-10-09",12.69
"245","2018-10-10",11.91
"246","2018-10-11",11.9
"247","2018-10-12",12.77
"248","2018-10-15",13.09
"249","2018-10-16",13.67
"250","2018-10-17",13.69
"251","2018-10-18",13.19
"252","2018-10-19",12.94
"253","2018-10-22",13.1
"254","2018-10-23",13.04
"255","2018-10-24",12.51
"256","2018-10-25",12.75
"257","2018-10-26",12.62
"258","2018-10-29",12.1
"259","2018-10-30",12.39
"260","2018-10-31",13.05
"261","2018-11-01",13.02
"262","2018-11-02",12.86
"263","2018-11-05",12.21
"264","2018-11-06",12.65
"265","2018-11-07",13.19
"266","2018-11-08",13.05
"267","2018-11-09",12.33
