"","date","CCRC"
"1","2015-12-21",10.15
"2","2015-12-22",11.45
"3","2015-12-23",10.05
"4","2015-12-24",11.09
"5","2015-12-28",9.97
"6","2015-12-29",9.76
"7","2015-12-30",8.92
"8","2015-12-31",7.96
"9","2016-01-04",7.52
"10","2016-01-05",7.68
"11","2016-01-06",7.45
"12","2016-01-07",7.14
"13","2016-01-08",7.46
"14","2016-01-11",7.65
"15","2016-01-12",7.93
"16","2016-01-13",8.26
"17","2016-01-14",8.8
"18","2016-01-15",8.88
"19","2016-01-19",7.68
"20","2016-01-20",6.29
"21","2016-01-21",6.29
"22","2016-01-22",6.04
"23","2016-01-25",6.27
"24","2016-01-26",6.35
"25","2016-01-27",6.3
"26","2016-01-28",6.46
"27","2016-01-29",8.05
"28","2016-02-01",7.15
"29","2016-02-02",9.68
"30","2016-02-03",9.86
"31","2016-02-04",10
"32","2016-02-05",8.75
"33","2016-02-08",10.22
"34","2016-02-09",9.45
"35","2016-02-10",9.18
"36","2016-02-11",8.59
"37","2016-02-12",9.31
"38","2016-02-16",9.08
"39","2016-02-17",9.65
"40","2016-02-18",9.08
"41","2016-02-19",9.3
"42","2016-02-22",10.65
"43","2016-02-23",10.64
"44","2016-02-24",10.61
"45","2016-02-25",10.56
"46","2016-02-26",9.55
"47","2016-02-29",8.91
"48","2016-03-01",8.66
"49","2016-03-02",8.89
"50","2016-03-03",8.83
"51","2016-03-04",8.89
"52","2016-03-07",8.76
"53","2016-03-08",9.22
"54","2016-03-09",10.1
"55","2016-03-10",10.03
"56","2016-03-11",9.61
"57","2016-03-14",8.91
"58","2016-03-15",8.57
"59","2016-03-16",8.54
"60","2016-03-17",8.87
"61","2016-03-18",8.9
"62","2016-03-21",8.74
"63","2016-03-22",8.66
"64","2016-03-23",8.37
"65","2016-03-24",8.52
"66","2016-03-28",8.78
"67","2016-03-29",8.89
"68","2016-03-30",8.95
"69","2016-03-31",8.86
"70","2016-04-01",9.45
"71","2016-04-04",9.68
"72","2016-04-05",9.47
"73","2016-04-06",9.64
"74","2016-04-07",9.53
"75","2016-04-08",10.09
"76","2016-04-11",10.38
"77","2016-04-12",10.06
"78","2016-04-13",10.47
"79","2016-04-14",11.34
"80","2016-04-15",11.42
"81","2016-04-18",11.25
"82","2016-04-19",10.45
"83","2016-04-20",10.59
"84","2016-04-21",10.69
"85","2016-04-22",10.51
"86","2016-04-25",10.39
"87","2016-04-26",10.02
"88","2016-04-27",10.46
"89","2016-04-28",10.75
"90","2016-04-29",11.22
"91","2016-05-02",7.73
"92","2016-05-03",6.57
"93","2016-05-04",6.28
"94","2016-05-05",5.85
"95","2016-05-06",5.75
"96","2016-05-09",6.03
"97","2016-05-10",5.94
"98","2016-05-11",6.12
"99","2016-05-12",6.11
"100","2016-05-13",6.63
"101","2016-05-16",6.78
"102","2016-05-17",6.76
"103","2016-05-18",7.31
"104","2016-05-19",7.71
"105","2016-05-20",7.8
"106","2016-05-23",8.56
"107","2016-05-24",8.61
"108","2016-05-25",8.74
"109","2016-05-26",9.04
"110","2016-05-27",9.18
"111","2016-05-31",9.39
"112","2016-06-01",8.051
"113","2016-06-02",8.48
"114","2016-06-03",8.48
"115","2016-06-06",8.37
"116","2016-06-07",8.83
"117","2016-06-08",9.96
"118","2016-06-09",10.43
"119","2016-06-10",10.2
"120","2016-06-13",8.78
"121","2016-06-14",9.09
"122","2016-06-15",9.54
"123","2016-06-16",9.3
"124","2016-06-17",9.08
"125","2016-06-20",9.12
"126","2016-06-21",9.36
"127","2016-06-22",9.46
"128","2016-06-23",10.25
"129","2016-06-24",9.91
"130","2016-06-27",9.22
"131","2016-06-28",9.88
"132","2016-06-29",10.92
"133","2016-06-30",11.66
"134","2016-07-01",10.9
"135","2016-07-05",10.39
"136","2016-07-06",10.645
"137","2016-07-07",10.83
"138","2016-07-08",12.14
"139","2016-07-11",11.85
"140","2016-07-12",12.69
"141","2016-07-13",12.87
"142","2016-07-14",13.01
"143","2016-07-15",12.45
"144","2016-07-18",12.49
"145","2016-07-19",12.26
"146","2016-07-20",14.76
"147","2016-07-21",13.35
"148","2016-07-22",11.34
"149","2016-07-25",11.19
"150","2016-07-26",10.29
"151","2016-07-27",10.2
"152","2016-07-28",11.51
"153","2016-07-29",12.6
"154","2016-08-01",11.35
"155","2016-08-02",11.44
"156","2016-08-03",11.39
"157","2016-08-04",10.43
"158","2016-08-05",10.81
"159","2016-08-08",11.54
"160","2016-08-09",11.57
"161","2016-08-10",11.6
"162","2016-08-11",11.74
"163","2016-08-12",12.26
"164","2016-08-15",12.84
"165","2016-08-16",12.86
"166","2016-08-17",12.85
"167","2016-08-18",12.77
"168","2016-08-19",13.48
"169","2016-08-22",13.67
"170","2016-08-23",13.25
"171","2016-08-24",13.24
"172","2016-08-25",13.3
"173","2016-08-26",12.9
"174","2016-08-29",12.76
"175","2016-08-30",12.64
"176","2016-08-31",13.39
"177","2016-09-01",12.43
"178","2016-09-02",12.48
"179","2016-09-06",13.29
"180","2016-09-07",13.05
"181","2016-09-08",13.23
"182","2016-09-09",13.15
"183","2016-09-12",14.43
"184","2016-09-13",15.04
"185","2016-09-14",13.98
"186","2016-09-15",12.6
"187","2016-09-16",11.55
"188","2016-09-19",11.69
"189","2016-09-20",12.08
"190","2016-09-21",12.29
"191","2016-09-22",12.18
"192","2016-09-23",11.98
"193","2016-09-26",12.52
"194","2016-09-27",12.62
"195","2016-09-28",13.66
"196","2016-09-29",12.7
"197","2016-09-30",13.15
"198","2016-10-03",12.62
"199","2016-10-04",13.55
"200","2016-10-05",14.63
"201","2016-10-06",14.82
"202","2016-10-07",14.05
"203","2016-10-10",14.17
"204","2016-10-11",13.37
"205","2016-10-12",14.05
"206","2016-10-13",13.67
"207","2016-10-14",12.3
"208","2016-10-17",12.21
"209","2016-10-18",12.38
"210","2016-10-19",11.41
"211","2016-10-20",11.34
"212","2016-10-21",11.76
"213","2016-10-24",12.08
"214","2016-10-25",12.29
"215","2016-10-26",12.69
"216","2016-10-27",13.18
"217","2016-10-28",13.58
"218","2016-10-31",13.36
"219","2016-11-01",13.71
"220","2016-11-02",14.01
"221","2016-11-03",13.65
"222","2016-11-04",13.84
"223","2016-11-07",15.09
"224","2016-11-08",14.9
"225","2016-11-09",15.53
"226","2016-11-10",15.39
"227","2016-11-11",15.1
"228","2016-11-14",15.11
"229","2016-11-15",14.09
"230","2016-11-16",16.129999
"231","2016-11-17",16.690001
"232","2016-11-18",15.68
"233","2016-11-21",15.94
"234","2016-11-22",16.15
"235","2016-11-23",14.38
"236","2016-11-25",14.94
"237","2016-11-28",14.7
"238","2016-11-29",14.9
"239","2016-11-30",13.73
"240","2016-12-01",15.15
"241","2016-12-02",14.91
"242","2016-12-05",16.200001
"243","2016-12-06",17.24
"244","2016-12-07",17.25
"245","2016-12-08",17.35
"246","2016-12-09",18.280001
