"","date","XAN"
"1","2007-01-03",68.599998
"2","2007-01-04",68.360001
"3","2007-01-05",68.839996
"4","2007-01-08",68.440002
"5","2007-01-09",69.199997
"6","2007-01-10",68.440002
"7","2007-01-11",70.120003
"8","2007-01-12",70.839996
"9","2007-01-16",70.400002
"10","2007-01-17",70.080002
"11","2007-01-18",70.279999
"12","2007-01-19",71.519997
"13","2007-01-22",71.919998
"14","2007-01-23",72.160004
"15","2007-01-24",73.800003
"16","2007-01-25",73.199997
"17","2007-01-26",73.760002
"18","2007-01-29",74
"19","2007-01-30",74.720001
"20","2007-01-31",74.639999
"21","2007-02-01",73.519997
"22","2007-02-02",73.400002
"23","2007-02-05",73.480003
"24","2007-02-06",75.120003
"25","2007-02-07",73.839996
"26","2007-02-08",73.440002
"27","2007-02-09",70.279999
"28","2007-02-12",68.160004
"29","2007-02-13",70.080002
"30","2007-02-14",70.599998
"31","2007-02-15",70.239998
"32","2007-02-16",70.080002
"33","2007-02-20",72
"34","2007-02-21",73.040001
"35","2007-02-22",70.919998
"36","2007-02-23",70.040001
"37","2007-02-26",68.480003
"38","2007-02-27",66.839996
"39","2007-02-28",66.440002
"40","2007-03-01",66.400002
"41","2007-03-02",65.199997
"42","2007-03-05",58.68
"43","2007-03-06",62.400002
"44","2007-03-07",62.639999
"45","2007-03-08",66.879997
"46","2007-03-09",66.919998
"47","2007-03-12",65.519997
"48","2007-03-13",62.720001
"49","2007-03-14",64.68
"50","2007-03-15",67.760002
"51","2007-03-16",67.559998
"52","2007-03-19",68
"53","2007-03-20",69.080002
"54","2007-03-21",68
"55","2007-03-22",67.32
"56","2007-03-23",67.440002
"57","2007-03-26",67.639999
"58","2007-03-27",67.68
"59","2007-03-28",65.040001
"60","2007-03-29",64.480003
"61","2007-03-30",64.559998
"62","2007-04-02",64.959999
"63","2007-04-03",67.400002
"64","2007-04-04",65.879997
"65","2007-04-05",65.879997
"66","2007-04-09",63.240002
"67","2007-04-10",64.080002
"68","2007-04-11",63.119999
"69","2007-04-12",63.84
"70","2007-04-13",64.360001
"71","2007-04-16",65
"72","2007-04-17",64.360001
"73","2007-04-18",64.120003
"74","2007-04-19",63.560001
"75","2007-04-20",65.080002
