"","date","DBVT"
"1","2014-10-22",22.9
"2","2014-10-23",28.5
"3","2014-10-24",27
"4","2014-10-27",26.51
"5","2014-10-28",25.5
"6","2014-10-29",24.99
"7","2014-10-30",25.049999
"8","2014-10-31",25.26
"9","2014-11-03",25.280001
"10","2014-11-04",25
"11","2014-11-05",25.18
"12","2014-11-06",24.309999
"13","2014-11-07",23.74
"14","2014-11-10",23.709999
"15","2014-11-11",24.25
"16","2014-11-12",23.530001
"17","2014-11-13",24.75
"18","2014-11-14",24.17
"19","2014-11-17",24.540001
"20","2014-11-18",24.99
"21","2014-11-19",25.379999
"22","2014-11-20",25.58
"23","2014-11-21",25.43
"24","2014-11-24",25.6
"25","2014-11-25",25.51
"26","2014-11-26",25.549999
"27","2014-11-28",25.57
"28","2014-12-01",25.42
"29","2014-12-02",26.469999
"30","2014-12-03",26.16
"31","2014-12-04",26.09
"32","2014-12-05",25.99
"33","2014-12-08",26.6
"34","2014-12-09",26.18
"35","2014-12-10",25.99
"36","2014-12-11",26.75
"37","2014-12-12",27.02
"38","2014-12-15",26.34
"39","2014-12-16",25.91
"40","2014-12-17",26.309999
"41","2014-12-18",26.440001
"42","2014-12-19",27.18
"43","2014-12-22",27.040001
"44","2014-12-23",26.15
"45","2014-12-24",26.809999
"46","2014-12-26",27.110001
"47","2014-12-29",26.59
"48","2014-12-30",26.809999
"49","2014-12-31",27.120001
"50","2015-01-02",28.200001
"51","2015-01-05",27.51
"52","2015-01-06",26.77
"53","2015-01-07",26.65
"54","2015-01-08",27.110001
"55","2015-01-09",27.120001
"56","2015-01-12",26.870001
"57","2015-01-13",26.860001
"58","2015-01-14",27.450001
"59","2015-01-15",26.879999
"60","2015-01-16",26.809999
"61","2015-01-20",25.76
"62","2015-01-21",25.549999
"63","2015-01-22",25.700001
"64","2015-01-23",25.43
"65","2015-01-26",25.440001
"66","2015-01-27",25.940001
"67","2015-01-28",25.49
"68","2015-01-29",24.9
"69","2015-01-30",24.290001
"70","2015-02-02",23.610001
"71","2015-02-03",23.26
"72","2015-02-04",23.01
"73","2015-02-05",22.77
"74","2015-02-06",21.860001
"75","2015-02-09",22.690001
"76","2015-02-10",22.93
"77","2015-02-11",22.370001
"78","2015-02-12",22.68
"79","2015-02-13",22.15
"80","2015-02-17",23.030001
"81","2015-02-18",23.25
"82","2015-02-19",23.25
"83","2015-02-20",23.34
"84","2015-02-23",23.620001
"85","2015-02-24",23.32
