"","date","SNDX"
"229","2017-01-26",7.4
"230","2017-01-27",7.35
"231","2017-01-30",7.49
"232","2017-01-31",7.6
"233","2017-02-01",8.01
"234","2017-02-02",8.1
"235","2017-02-03",8.36
"236","2017-02-06",8.77
"237","2017-02-07",8.69
"238","2017-02-08",8.98
"239","2017-02-09",9.9
"240","2017-02-10",10.18
"241","2017-02-13",10.2
"242","2017-02-14",9.9
"243","2017-02-15",10.51
"244","2017-02-16",10.78
"245","2017-02-17",11.29
"246","2017-02-21",11.8
"247","2017-02-22",11.5
"248","2017-02-23",10.95
"249","2017-02-24",10.78
"250","2017-02-27",11.26
"251","2017-02-28",11.38
"252","2017-03-01",11.63
"253","2017-03-02",12.02
"254","2017-03-03",12.21
"255","2017-03-06",11.85
"256","2017-03-07",11.75
"257","2017-03-08",12.44
"258","2017-03-09",12.91
"259","2017-03-10",13.24
"260","2017-03-13",14.86
"261","2017-03-14",14.67
"262","2017-03-15",14.72
"263","2017-03-16",14.41
"264","2017-03-17",14.71
"265","2017-03-20",14.27
"266","2017-03-21",13.23
"267","2017-03-22",12.77
"268","2017-03-23",12.96
"269","2017-03-24",12.93
"270","2017-03-27",13.14
"271","2017-03-28",13.72
"272","2017-03-29",13.78
"273","2017-03-30",13.95
"274","2017-03-31",13.72
"275","2017-04-03",13
"276","2017-04-04",13.29
"277","2017-04-05",12.75
"278","2017-04-06",12.46
"279","2017-04-07",12.57
"280","2017-04-10",11.89
"281","2017-04-11",11.68
"282","2017-04-12",11.15
"283","2017-04-13",10.96
"284","2017-04-17",10.63
"285","2017-04-18",10.94
"286","2017-04-19",11.24
"287","2017-04-20",11.13
"288","2017-04-21",10.53
"289","2017-04-24",10.26
"290","2017-04-25",9.83
"291","2017-04-26",9.5
"292","2017-04-27",9.46
"293","2017-04-28",9.49
"294","2017-05-01",9.24
"295","2017-05-02",8.79
"296","2017-05-03",8.62
"297","2017-05-04",8.5
"298","2017-05-05",8.29
"299","2017-05-08",7.99
"300","2017-05-09",7.71
"301","2017-05-10",8.37
"302","2017-05-11",8.61
"303","2017-05-12",8.68
"304","2017-05-15",9.04
"305","2017-05-16",9.39
"306","2017-05-17",13.58
"307","2017-05-18",14.04
"308","2017-05-19",14.34
"309","2017-05-22",14.61
"310","2017-05-23",14.67
"311","2017-05-24",13.89
