"","date","TPTX"
"1","2019-04-17",28.9
"2","2019-04-18",26.67
"3","2019-04-22",27.059999
"4","2019-04-23",28.32
"5","2019-04-24",28.24
"6","2019-04-25",29.370001
"7","2019-04-26",31.280001
"8","2019-04-29",33.060001
"9","2019-04-30",34.799999
"10","2019-05-01",33.48
"11","2019-05-02",33.700001
"12","2019-05-03",32.540001
"13","2019-05-06",33.779999
"14","2019-05-07",34
"15","2019-05-08",33.779999
"16","2019-05-09",33.48
"17","2019-05-10",32.119999
"18","2019-05-13",29.559999
"19","2019-05-14",30.26
"20","2019-05-15",31.1
"21","2019-05-16",32.48
"22","2019-05-17",34.27
"23","2019-05-20",36.490002
"24","2019-05-21",37.689999
"25","2019-05-22",38.669998
"26","2019-05-23",40.380001
"27","2019-05-24",40.970001
"28","2019-05-28",40.52
"29","2019-05-29",40.07
"30","2019-05-30",38.799999
"31","2019-05-31",34.82
"32","2019-06-03",35.950001
"33","2019-06-04",36
"34","2019-06-05",36.099998
"35","2019-06-06",33.689999
"36","2019-06-07",34.490002
"37","2019-06-10",36.619999
"38","2019-06-11",35.41
"39","2019-06-12",36.610001
"40","2019-06-13",39.189999
"41","2019-06-14",39.900002
"42","2019-06-17",42.630001
"43","2019-06-18",43.630001
"44","2019-06-19",41.57
"45","2019-06-20",40.849998
"46","2019-06-21",42.490002
"47","2019-06-24",42.360001
"48","2019-06-25",42.400002
"49","2019-06-26",39.080002
"50","2019-06-27",38.919998
"51","2019-06-28",40.700001
"52","2019-07-01",42.869999
"53","2019-07-02",43.599998
"54","2019-07-03",43.66
"55","2019-07-05",42.57
"56","2019-07-08",42.310001
"57","2019-07-09",42.830002
"58","2019-07-10",43.619999
"59","2019-07-11",43.740002
"60","2019-07-12",42.380001
"61","2019-07-15",41.959999
"62","2019-07-16",41.66
"63","2019-07-17",41.82
"64","2019-07-18",41.34
"65","2019-07-19",41.02
"66","2019-07-22",39.5
"67","2019-07-23",39.18
"68","2019-07-24",39.990002
"69","2019-07-25",38.98
"70","2019-07-26",39.490002
"71","2019-07-29",39.810001
"72","2019-07-30",40.330002
"73","2019-07-31",39.84
"74","2019-08-01",41.220001
"75","2019-08-02",40.389999
"76","2019-08-05",38.720001
"77","2019-08-06",37.400002
"78","2019-08-07",39.355
"79","2019-08-08",40.450001
"80","2019-08-09",43.110001
"81","2019-08-12",41.98
"82","2019-08-13",43.240002
"83","2019-08-14",44.900002
"84","2019-08-15",42.41
"85","2019-08-16",42.419998
"86","2019-08-19",47.009998
"87","2019-08-20",45.919998
"88","2019-08-21",52.279999
"89","2019-08-22",51.799999
"90","2019-08-23",52.189999
"91","2019-08-26",54.029999
"92","2019-08-27",54.5
"93","2019-08-28",57.57
"94","2019-08-29",57.759998
"95","2019-08-30",54.529999
"96","2019-09-03",51.009998
"97","2019-09-04",48.200001
"98","2019-09-05",46.959999
"99","2019-09-06",42.75
