"","date","KRTX"
"1","2019-06-28",20.02
"2","2019-07-01",21
"3","2019-07-02",21.700001
"4","2019-07-03",24.450001
"5","2019-07-05",27.35
"6","2019-07-08",24.299999
"7","2019-07-09",23.51
"8","2019-07-10",19.67
"9","2019-07-11",18.469999
"10","2019-07-12",20.139999
"11","2019-07-15",20.17
"12","2019-07-16",19.709999
"13","2019-07-17",19.48
"14","2019-07-18",19.870001
"15","2019-07-19",19.690001
"16","2019-07-22",19.74
"17","2019-07-23",20.41
"18","2019-07-24",20.190001
"19","2019-07-25",19.5
"20","2019-07-26",19.66
"21","2019-07-29",19.389999
"22","2019-07-30",19.25
"23","2019-07-31",18.33
"24","2019-08-01",18.620001
"25","2019-08-02",18.799999
"26","2019-08-05",19.23
"27","2019-08-06",17.780001
"28","2019-08-07",17.4
"29","2019-08-08",18.700001
"30","2019-08-09",22.08
"31","2019-08-12",22.4
"32","2019-08-13",22.5
"33","2019-08-14",22
"34","2019-08-15",21.809999
"35","2019-08-16",22.049999
"36","2019-08-19",21.23
"37","2019-08-20",21.52
"38","2019-08-21",20.870001
"39","2019-08-22",20.91
"40","2019-08-23",20.1
"41","2019-08-26",20.459999
"42","2019-08-27",19.35
"43","2019-08-28",19.209999
"44","2019-08-29",18.860001
"45","2019-08-30",19.77
"46","2019-09-03",18.049999
"47","2019-09-04",18.26
"48","2019-09-05",20.18
"49","2019-09-06",19.9
"50","2019-09-09",17.84
"51","2019-09-10",16.969999
"52","2019-09-11",16.16
"53","2019-09-12",16.309999
"54","2019-09-13",16.610001
"55","2019-09-16",16.049999
"56","2019-09-17",16.110001
"57","2019-09-18",16.92
"58","2019-09-19",16.91
"59","2019-09-20",16.790001
"60","2019-09-23",17.4
"61","2019-09-24",16.469999
"62","2019-09-25",16.309999
"63","2019-09-26",16.23
"64","2019-09-27",16.299999
"65","2019-09-30",16.32
"66","2019-10-01",15.08
"67","2019-10-02",13.96
"68","2019-10-03",13
"69","2019-10-04",13.85
"70","2019-10-07",14.83
"71","2019-10-08",14.47
"72","2019-10-09",14.77
"73","2019-10-10",13.7
"74","2019-10-11",12.34
"75","2019-10-14",11.71
"76","2019-10-15",11.44
"77","2019-10-16",13.39
"78","2019-10-17",13.29
"79","2019-10-18",15.58
"80","2019-10-21",14.82
"81","2019-10-22",14.01
"82","2019-10-23",14.44
"83","2019-10-24",13.98
"84","2019-10-25",14.55
"85","2019-10-28",13.82
"86","2019-10-29",12.77
"87","2019-10-30",13.73
"88","2019-10-31",13.92
"89","2019-11-01",15.15
"90","2019-11-04",15.59
"91","2019-11-05",17.299999
"92","2019-11-06",17.049999
"93","2019-11-07",17.76
"94","2019-11-08",17.790001
"95","2019-11-11",17.25
"96","2019-11-12",17.01
"97","2019-11-13",17.65
"98","2019-11-14",17.389999
"99","2019-11-15",17.68
"100","2019-11-18",96
"101","2019-11-19",123.989998
"102","2019-11-20",108.949997
"103","2019-11-21",79.364998
"104","2019-11-22",85.010002
