"","date","CALA"
"1","2014-10-02",9.41
"2","2014-10-03",9.35
"3","2014-10-06",9.35
"4","2014-10-07",9.25
"5","2014-10-08",9.13
"6","2014-10-09",8.42
"7","2014-10-10",7.47
"8","2014-10-13",7.01
"9","2014-10-14",7.15
"10","2014-10-15",7.49
"11","2014-10-16",8.42
"12","2014-10-17",9.02
"13","2014-10-20",10.07
"14","2014-10-21",10.53
"15","2014-10-22",9.62
"16","2014-10-23",9.9
"17","2014-10-24",11.04
"18","2014-10-27",10.4
"19","2014-10-28",10.56
"20","2014-10-29",10.33
"21","2014-10-30",10.31
"22","2014-10-31",9.42
"23","2014-11-03",9.85
"24","2014-11-04",10.15
"25","2014-11-05",10.17
"26","2014-11-06",9.72
"27","2014-11-07",9.93
"28","2014-11-10",10.13
"29","2014-11-11",10.13
"30","2014-11-12",10.04
"31","2014-11-13",9.96
"32","2014-11-14",9.88
"33","2014-11-17",9.4
"34","2014-11-18",9.68
"35","2014-11-19",9.95
"36","2014-11-20",9.74
"37","2014-11-21",9.8
"38","2014-11-24",10.17
"39","2014-11-25",10.12
"40","2014-11-26",10.5
"41","2014-11-28",10.67
"42","2014-12-01",8.54
"43","2014-12-02",9.64
"44","2014-12-03",10.42
"45","2014-12-04",10.22
"46","2014-12-05",10.57
"47","2014-12-08",12.95
"48","2014-12-09",13.22
"49","2014-12-10",17.17
"50","2014-12-11",23.200001
"51","2014-12-12",29.85
"52","2014-12-15",26.75
"53","2014-12-16",26.32
"54","2014-12-17",26.459999
"55","2014-12-18",28.75
"56","2014-12-19",27.93
"57","2014-12-22",23.030001
"58","2014-12-23",21.17
"59","2014-12-24",22.33
"60","2014-12-26",22.34
"61","2014-12-29",19.809999
"62","2014-12-30",18.309999
"63","2014-12-31",20.200001
"64","2015-01-02",20.9
"65","2015-01-05",21.700001
"66","2015-01-06",23.85
"67","2015-01-07",24.4
"68","2015-01-08",23.58
"69","2015-01-09",23.639999
"70","2015-01-12",22.860001
"71","2015-01-13",22.139999
"72","2015-01-14",22.82
"73","2015-01-15",21.469999
"74","2015-01-16",23.18
"75","2015-01-20",22.620001
"76","2015-01-21",21.530001
"77","2015-01-22",20.74
"78","2015-01-23",19.700001
"79","2015-01-26",20.280001
"80","2015-01-27",20.43
"81","2015-01-28",18.84
"82","2015-01-29",19.82
"83","2015-01-30",19.889999
"84","2015-02-02",20.940001
"85","2015-02-03",19.690001
"86","2015-02-04",17.75
"87","2015-02-05",17.629999
"88","2015-02-06",17.18
"89","2015-02-09",18.18
"90","2015-02-10",17.940001
"91","2015-02-11",16.4
"92","2015-02-12",15.49
"93","2015-02-13",16.110001
"94","2015-02-17",16.700001
"95","2015-02-18",16.389999
"96","2015-02-19",16.34
"97","2015-02-20",16.209999
"98","2015-02-23",16.110001
"99","2015-02-24",15.72
"100","2015-02-25",16.030001
"101","2015-02-26",16.190001
