"","date","BRBR"
"1","2019-10-18",16.35
"2","2019-10-21",16.68
"3","2019-10-22",16
"4","2019-10-23",16.25
"5","2019-10-24",16.299999
"6","2019-10-25",16.299999
"7","2019-10-28",16.68
"8","2019-10-29",17.26
"9","2019-10-30",17.41
"10","2019-10-31",17.469999
"11","2019-11-01",17.99
"12","2019-11-04",18.4
"13","2019-11-05",17.77
"14","2019-11-06",17.389999
"15","2019-11-07",17.950001
"16","2019-11-08",18.25
"17","2019-11-11",18.940001
"18","2019-11-12",18.65
"19","2019-11-13",19.219999
"20","2019-11-14",19.26
"21","2019-11-15",19.08
"22","2019-11-18",19.24
"23","2019-11-19",19.4
"24","2019-11-20",19.309999
"25","2019-11-21",18.870001
"26","2019-11-22",20.370001
"27","2019-11-25",20.1
"28","2019-11-26",20.040001
"29","2019-11-27",20.09
"30","2019-11-29",20.030001
"31","2019-12-02",20.23
"32","2019-12-03",20.25
"33","2019-12-04",20.799999
"34","2019-12-05",20.77
"35","2019-12-06",21
"36","2019-12-09",21.24
"37","2019-12-10",21
"38","2019-12-11",21
"39","2019-12-12",20.870001
"40","2019-12-13",21.41
"41","2019-12-16",21.549999
"42","2019-12-17",21.6
"43","2019-12-18",21.780001
"44","2019-12-19",22.6
"45","2019-12-20",22.120001
"46","2019-12-23",23
"47","2019-12-24",23.139999
"48","2019-12-26",23.82
"49","2019-12-27",22.99
"50","2019-12-30",22.41
"51","2019-12-31",21.290001
"52","2020-01-02",20.32
"53","2020-01-03",20.34
"54","2020-01-06",21.040001
"55","2020-01-07",21.969999
"56","2020-01-08",22.209999
"57","2020-01-09",21.41
"58","2020-01-10",20.629999
"59","2020-01-13",20.530001
"60","2020-01-14",21.65
"61","2020-01-15",22.450001
"62","2020-01-16",22.450001
"63","2020-01-17",22.559999
"64","2020-01-21",22.950001
"65","2020-01-22",22.780001
"66","2020-01-23",23.4
"67","2020-01-24",22.690001
"68","2020-01-27",22.32
"69","2020-01-28",23.360001
"70","2020-01-29",22.83
"71","2020-01-30",22.629999
"72","2020-01-31",21.639999
"73","2020-02-03",21.860001
"74","2020-02-04",22.549999
"75","2020-02-05",22.75
"76","2020-02-06",22.85
"77","2020-02-07",21.26
"78","2020-02-10",21.540001
"79","2020-02-11",21.969999
"80","2020-02-12",22.34
"81","2020-02-13",22.43
"82","2020-02-14",22.33
"83","2020-02-18",22.139999
"84","2020-02-19",21.559999
"85","2020-02-20",22.17
"86","2020-02-21",22.24
"87","2020-02-24",21.35
"88","2020-02-25",21
"89","2020-02-26",21.32
"90","2020-02-27",20.549999
"91","2020-02-28",19.65
"92","2020-03-02",20.16
"93","2020-03-03",19.879999
"94","2020-03-04",20.280001
"95","2020-03-05",19.719999
"96","2020-03-06",19.309999
"97","2020-03-09",17.35
"98","2020-03-10",16.620001
"99","2020-03-11",16.440001
"100","2020-03-12",16.02
"101","2020-03-13",17.99
"102","2020-03-16",17.01
"103","2020-03-17",18.280001
"104","2020-03-18",16.620001
"105","2020-03-19",15.27
"106","2020-03-20",15.27
"107","2020-03-23",14.44
"108","2020-03-24",14.65
"109","2020-03-25",14.72
"110","2020-03-26",16.4
"111","2020-03-27",16.84
"112","2020-03-30",17.16
"113","2020-03-31",17.049999
"114","2020-04-01",17.559999
"115","2020-04-02",18.51
"116","2020-04-03",19.700001
"117","2020-04-06",19.110001
"118","2020-04-07",17.16
"119","2020-04-08",17.059999
"120","2020-04-09",16.889999
"121","2020-04-13",17.52
"122","2020-04-14",17.23
"123","2020-04-15",15.9
"124","2020-04-16",16.49
"125","2020-04-17",15.92
"126","2020-04-20",15.61
"127","2020-04-21",15.66
"128","2020-04-22",16.780001
"129","2020-04-23",17.139999
"130","2020-04-24",17.030001
"131","2020-04-27",17.469999
"132","2020-04-28",17.34
"133","2020-04-29",18
"134","2020-04-30",17.530001
"135","2020-05-01",16.66
"136","2020-05-04",17.110001
"137","2020-05-05",16.440001
"138","2020-05-06",15.87
"139","2020-05-07",17.110001
"140","2020-05-08",18.32
"141","2020-05-11",19.049999
"142","2020-05-12",19.76
"143","2020-05-13",18.82
"144","2020-05-14",19
"145","2020-05-15",19.66
"146","2020-05-18",20.07
"147","2020-05-19",19.82
"148","2020-05-20",19.48
"149","2020-05-21",19.18
"150","2020-05-22",19.379999
"151","2020-05-26",19.91
