"","date","NOA"
"1","2007-01-03",16.549999
"2","2007-01-04",16.440001
"3","2007-01-05",16.08
"4","2007-01-08",15.9
"5","2007-01-09",15.04
"6","2007-01-10",15.25
"7","2007-01-11",15.31
"8","2007-01-12",15.71
"9","2007-01-16",15.99
"10","2007-01-17",16.6
"11","2007-01-18",16.620001
"12","2007-01-19",17.200001
"13","2007-01-22",16.940001
"14","2007-01-23",17.110001
"15","2007-01-24",16.57
"16","2007-01-25",16.530001
"17","2007-01-26",16.65
"18","2007-01-29",16.5
"19","2007-01-30",16.780001
"20","2007-01-31",17.139999
"21","2007-02-01",17.23
"22","2007-02-02",17.24
"23","2007-02-05",17.35
"24","2007-02-06",17.360001
"25","2007-02-07",17.299999
"26","2007-02-08",17.290001
"27","2007-02-09",17.02
"28","2007-02-12",17.15
"29","2007-02-13",17.66
"30","2007-02-14",18.17
"31","2007-02-15",18.639999
"32","2007-02-16",18.620001
"33","2007-02-20",18.379999
"34","2007-02-21",18.5
"35","2007-02-22",18.780001
"36","2007-02-23",18.879999
"37","2007-02-26",19.219999
"38","2007-02-27",18.950001
"39","2007-02-28",19.129999
"40","2007-03-01",19.35
"41","2007-03-02",19.26
"42","2007-03-05",18.879999
"43","2007-03-06",19.32
"44","2007-03-07",19.49
"45","2007-03-08",19.790001
"46","2007-03-09",19.52
"47","2007-03-12",19.709999
"48","2007-03-13",19.629999
"49","2007-03-14",19.719999
"50","2007-03-15",19.629999
"51","2007-03-16",19.6
"52","2007-03-19",19.809999
"53","2007-03-20",19.639999
"54","2007-03-21",19.73
"55","2007-03-22",19.700001
"56","2007-03-23",20
"57","2007-03-26",20.440001
"58","2007-03-27",20.700001
"59","2007-03-28",21.1
"60","2007-03-29",20.620001
"61","2007-03-30",21.09
"62","2007-04-02",20.65
"63","2007-04-03",18.870001
"64","2007-04-04",19.200001
"65","2007-04-05",19.370001
"66","2007-04-09",19.52
"67","2007-04-10",19.85
"68","2007-04-11",20.4
"69","2007-04-12",20.75
"70","2007-04-13",20.799999
"71","2007-04-16",21.08
"72","2007-04-17",21.75
"73","2007-04-18",22.799999
"74","2007-04-19",22.370001
"75","2007-04-20",22.290001
"76","2007-04-23",22.24
"77","2007-04-24",22.139999
"78","2007-04-25",21.549999
"79","2007-04-26",21.290001
"80","2007-04-27",21.41
"81","2007-04-30",21.4
"82","2007-05-01",21.57
"83","2007-05-02",21.51
"84","2007-05-03",22.200001
"85","2007-05-04",22.469999
"86","2007-05-07",22.530001
"87","2007-05-08",22.879999
"88","2007-05-09",22.809999
"89","2007-05-10",22.950001
"90","2007-05-11",23.25
"91","2007-05-14",23.33
"92","2007-05-15",23.4
"93","2007-05-16",23.1
"94","2007-05-17",23.059999
"95","2007-05-18",22.879999
"96","2007-05-21",22.290001
"97","2007-05-22",22
"98","2007-05-23",21.280001
"99","2007-05-24",20.92
"100","2007-05-25",21.309999
"101","2007-05-29",21.200001
"102","2007-05-30",21.120001
"103","2007-05-31",21.18
"104","2007-06-01",21.34
"105","2007-06-04",21.860001
"106","2007-06-05",21.85
"107","2007-06-06",21.870001
"108","2007-06-07",21.799999
"109","2007-06-08",21.799999
"110","2007-06-11",21.950001
"111","2007-06-12",21.51
"112","2007-06-13",21.49
"113","2007-06-14",21.48
"114","2007-06-15",21.450001
"115","2007-06-18",21.26
"116","2007-06-19",20.959999
"117","2007-06-20",20.959999
"118","2007-06-21",20.809999
"119","2007-06-22",20.66
"120","2007-06-25",20.57
"121","2007-06-26",20.209999
"122","2007-06-27",20.24
"123","2007-06-28",20.15
"124","2007-06-29",20.26
"125","2007-07-02",20.08
"126","2007-07-03",20.07
"127","2007-07-05",20.17
"128","2007-07-06",20.110001
"129","2007-07-09",20.110001
"130","2007-07-10",19.709999
"131","2007-07-11",19.780001
"132","2007-07-12",19.780001
"133","2007-07-13",19.83
"134","2007-07-16",19.76
"135","2007-07-17",20.07
"136","2007-07-18",20.360001
"137","2007-07-19",21.299999
"138","2007-07-20",20.959999
"139","2007-07-23",20.4
"140","2007-07-24",19.549999
"141","2007-07-25",19.4
"142","2007-07-26",18.66
"143","2007-07-27",18.450001
"144","2007-07-30",17.549999
"145","2007-07-31",17.24
"146","2007-08-01",17.75
"147","2007-08-02",18
"148","2007-08-03",18.049999
"149","2007-08-06",17.67
"150","2007-08-07",17.299999
"151","2007-08-08",17.5
"152","2007-08-09",18.1
"153","2007-08-10",18.6
"154","2007-08-13",18.700001
"155","2007-08-14",18.200001
"156","2007-08-15",17.540001
"157","2007-08-16",16.85
"158","2007-08-17",17.08
"159","2007-08-20",17.09
"160","2007-08-21",16.9
"161","2007-08-22",16.77
"162","2007-08-23",16.299999
"163","2007-08-24",16.809999
"164","2007-08-27",17.290001
"165","2007-08-28",16.66
"166","2007-08-29",16.889999
"167","2007-08-30",17.209999
"168","2007-08-31",17.26
"169","2007-09-04",17.870001
"170","2007-09-05",17.5
"171","2007-09-06",17.67
"172","2007-09-07",17.799999
"173","2007-09-10",17.620001
"174","2007-09-11",17.48
"175","2007-09-12",17.43
"176","2007-09-13",17.41
"177","2007-09-14",17.24
"178","2007-09-17",16.559999
"179","2007-09-18",16.389999
"180","2007-09-19",16.76
"181","2007-09-20",16.969999
"182","2007-09-21",17.5
"183","2007-09-24",17.58
"184","2007-09-25",17.459999
"185","2007-09-26",17.25
"186","2007-09-27",17.35
"187","2007-09-28",17.26
"188","2007-10-01",18
"189","2007-10-02",17.950001
"190","2007-10-03",18.01
"191","2007-10-04",17.700001
"192","2007-10-05",17.91
"193","2007-10-08",17.950001
"194","2007-10-09",17.24
"195","2007-10-10",17.4
"196","2007-10-11",18
"197","2007-10-12",18.809999
"198","2007-10-15",19.08
"199","2007-10-16",18.75
"200","2007-10-17",18.889999
"201","2007-10-18",18.84
"202","2007-10-19",18.870001
"203","2007-10-22",18.34
"204","2007-10-23",18.25
"205","2007-10-24",18
"206","2007-10-25",17.76
"207","2007-10-26",17.73
"208","2007-10-29",18.02
"209","2007-10-30",18.32
"210","2007-10-31",18.559999
"211","2007-11-01",18.959999
"212","2007-11-02",19.59
"213","2007-11-05",19.200001
"214","2007-11-06",19.370001
"215","2007-11-07",18.719999
"216","2007-11-08",17.66
