"","date","KOSS"
"1","2007-01-03",11.75
"2","2007-01-04",11.825
"3","2007-01-05",11.825
"4","2007-01-08",11.93
"5","2007-01-09",11.62
"6","2007-01-10",11.815
"7","2007-01-11",11.875
"8","2007-01-12",11.055
"9","2007-01-16",10.77
"10","2007-01-17",10.865
"11","2007-01-18",10.75
"12","2007-01-19",10.625
"13","2007-01-22",10.395
"14","2007-01-23",10.32
"15","2007-01-24",10.35
"16","2007-01-25",10.64
"17","2007-01-26",10.8
"18","2007-01-29",10.685
"19","2007-01-30",11.05
"20","2007-01-31",10.655
"21","2007-02-01",10.655
"22","2007-02-02",10.75
"23","2007-02-05",10.75
"24","2007-02-06",10.75
"25","2007-02-07",10.875
"26","2007-02-08",10.875
"27","2007-02-09",10.875
"28","2007-02-12",10.66
"29","2007-02-13",10.59
"30","2007-02-14",10.675
"31","2007-02-15",10.6
"32","2007-02-16",10.6
"33","2007-02-20",10.61
"34","2007-02-21",10.615
"35","2007-02-22",10.365
"36","2007-02-23",10.25
"37","2007-02-26",10.375
"38","2007-02-27",10.375
"39","2007-02-28",10.33
"40","2007-03-01",10.375
"41","2007-03-02",10.375
"42","2007-03-05",10.375
"43","2007-03-06",10.375
"44","2007-03-07",10.275
"45","2007-03-08",10.275
"46","2007-03-09",10.255
"47","2007-03-12",10.25
"48","2007-03-13",10.32
"49","2007-03-14",10.57
"50","2007-03-15",10.53
"51","2007-03-16",10.53
"52","2007-03-19",10.385
"53","2007-03-20",10.385
"54","2007-03-21",10.385
"55","2007-03-22",10.32
"56","2007-03-23",10.32
"57","2007-03-26",10.475
"58","2007-03-27",10.475
"59","2007-03-28",10.3
"60","2007-03-29",10.175
"61","2007-03-30",10.175
"62","2007-04-02",10.175
"63","2007-04-03",10.075
"64","2007-04-04",10.04
"65","2007-04-05",10.04
"66","2007-04-09",10.28
"67","2007-04-10",10.25
"68","2007-04-11",9.855
"69","2007-04-12",9.65
"70","2007-04-13",9.75
"71","2007-04-16",9.885
"72","2007-04-17",9.7
