"","date","DRD"
"1","2007-01-03",8.4
"2","2007-01-04",8.1
"3","2007-01-05",7.8
"4","2007-01-08",8.4
"5","2007-01-09",8.1
"6","2007-01-10",8
"7","2007-01-11",8.2
"8","2007-01-12",8.6
"9","2007-01-16",8.1
"10","2007-01-17",7.9
"11","2007-01-18",7.8
"12","2007-01-19",8
"13","2007-01-22",7.9
"14","2007-01-23",8.5
"15","2007-01-24",8.4
"16","2007-01-25",8.2
"17","2007-01-26",8.1
"18","2007-01-29",8
"19","2007-01-30",8
"20","2007-01-31",8.1
"21","2007-02-01",8.5
"22","2007-02-02",8.3
"23","2007-02-05",8.3
"24","2007-02-06",8.3
"25","2007-02-07",8.3
"26","2007-02-08",8
"27","2007-02-09",7.9
"28","2007-02-12",7.7
"29","2007-02-13",7.6
"30","2007-02-14",7.5
"31","2007-02-15",7.6
"32","2007-02-16",7.5
"33","2007-02-20",7.6
"34","2007-02-21",7.9
"35","2007-02-22",7.8
"36","2007-02-23",8.6
"37","2007-02-26",8.8
"38","2007-02-27",8
"39","2007-02-28",8
"40","2007-03-01",7.7
"41","2007-03-02",7.4
"42","2007-03-05",7.2
"43","2007-03-06",7.4
"44","2007-03-07",7.1
"45","2007-03-08",7
"46","2007-03-09",6.5
"47","2007-03-12",6.1
"48","2007-03-13",5.7
"49","2007-03-14",5.7
"50","2007-03-15",5.9
"51","2007-03-16",6.2
"52","2007-03-19",6.2
"53","2007-03-20",6.3
"54","2007-03-21",6.6
"55","2007-03-22",7
"56","2007-03-23",7
"57","2007-03-26",6.6
"58","2007-03-27",6.5
"59","2007-03-28",6.6
"60","2007-03-29",6.6
"61","2007-03-30",6.7
"62","2007-04-02",6.9
"63","2007-04-03",7
"64","2007-04-04",6.7
"65","2007-04-05",6.7
"66","2007-04-09",6.5
"67","2007-04-10",6.6
"68","2007-04-11",6.6
"69","2007-04-12",6.9
"70","2007-04-13",7.3
"71","2007-04-16",7.6
"72","2007-04-17",7.6
"73","2007-04-18",7.6
"74","2007-04-19",7.4
"75","2007-04-20",7.8
"76","2007-04-23",7.6
"77","2007-04-24",7.3
"78","2007-04-25",7.3
"79","2007-04-26",7.4
"80","2007-04-27",7.4
"81","2007-04-30",7.6
"82","2007-05-01",7.8
"83","2007-05-02",8.5
"84","2007-05-03",8.7
"85","2007-05-04",8.3
"86","2007-05-07",8.7
"87","2007-05-08",8
"88","2007-05-09",8.2
