"","date","AZPN"
"1","2007-01-03",10.71
"2","2007-01-04",11.14
"3","2007-01-05",10.63
"4","2007-01-08",10.63
"5","2007-01-09",10.7
"6","2007-01-10",10.58
"7","2007-01-11",10.75
"8","2007-01-12",10.72
"9","2007-01-16",10.57
"10","2007-01-17",10.58
"11","2007-01-18",10.53
"12","2007-01-19",10.56
"13","2007-01-22",10.34
"14","2007-01-23",10.3
"15","2007-01-24",10.34
"16","2007-01-25",10.27
"17","2007-01-26",10.36
"18","2007-01-29",10.35
"19","2007-01-30",10.2
"20","2007-01-31",10.25
"21","2007-02-01",10.51
"22","2007-02-02",10.81
"23","2007-02-05",10.58
"24","2007-02-06",10.29
"25","2007-02-07",12.96
"26","2007-02-08",12.81
"27","2007-02-09",12.9
"28","2007-02-12",12.77
"29","2007-02-13",12.67
"30","2007-02-14",12.91
"31","2007-02-15",12.58
"32","2007-02-16",12.86
"33","2007-02-20",12.97
"34","2007-02-21",12.99
"35","2007-02-22",12.87
"36","2007-02-23",12.81
"37","2007-02-26",12.6
"38","2007-02-27",12.01
"39","2007-02-28",12
"40","2007-03-01",11.87
"41","2007-03-02",11.43
"42","2007-03-05",11.7
"43","2007-03-06",12.04
"44","2007-03-07",11.97
"45","2007-03-08",12.03
"46","2007-03-09",11.96
"47","2007-03-12",12.13
"48","2007-03-13",11.75
"49","2007-03-14",11.82
"50","2007-03-15",12.01
"51","2007-03-16",12.52
"52","2007-03-19",12.43
"53","2007-03-20",12.81
"54","2007-03-21",12.81
"55","2007-03-22",12.95
"56","2007-03-23",13
"57","2007-03-26",12.96
"58","2007-03-27",13.05
"59","2007-03-28",13.07
"60","2007-03-29",13.08
"61","2007-03-30",13
"62","2007-04-02",12.85
"63","2007-04-03",13.19
"64","2007-04-04",13.21
"65","2007-04-05",13.08
"66","2007-04-09",13.5
"67","2007-04-10",13.64
"68","2007-04-11",13.6
"69","2007-04-12",14.02
"70","2007-04-13",13.99
"71","2007-04-16",14
"72","2007-04-17",13.99
"73","2007-04-18",13.77
"74","2007-04-19",13.92
"75","2007-04-20",13.96
"76","2007-04-23",14
"77","2007-04-24",13.94
"78","2007-04-25",14
"79","2007-04-26",14.32
"80","2007-04-27",14
"81","2007-04-30",13.58
"82","2007-05-01",13.98
"83","2007-05-02",14.15
"84","2007-05-03",14.5
"85","2007-05-04",14.62
"86","2007-05-07",14.4
"87","2007-05-08",14.62
"88","2007-05-09",13.85
"89","2007-05-10",14.28
"90","2007-05-11",14.69
"91","2007-05-14",14.38
"92","2007-05-15",14.2
"93","2007-05-16",14.37
"94","2007-05-17",14.21
"95","2007-05-18",14.46
"96","2007-05-21",14.58
"97","2007-05-22",15.37
"98","2007-05-23",15.31
"99","2007-05-24",14.58
"100","2007-05-25",14.81
"101","2007-05-29",14.89
"102","2007-05-30",14.81
"103","2007-05-31",14.86
"104","2007-06-01",15.39
"105","2007-06-04",15.66
"106","2007-06-05",15.75
"107","2007-06-06",15.71
"108","2007-06-07",15.12
"109","2007-06-08",15.32
"110","2007-06-11",15.47
"111","2007-06-12",14.54
"112","2007-06-13",14.49
"113","2007-06-14",14.61
"114","2007-06-15",14.71
"115","2007-06-18",14.61
"116","2007-06-19",14.58
"117","2007-06-20",14.2
"118","2007-06-21",14.12
"119","2007-06-22",13.78
"120","2007-06-25",13.97
"121","2007-06-26",13.82
"122","2007-06-27",13.97
"123","2007-06-28",13.98
"124","2007-06-29",14
"125","2007-07-02",13.44
"126","2007-07-03",13.79
"127","2007-07-05",13.32
"128","2007-07-06",13.29
"129","2007-07-09",13.47
"130","2007-07-10",13.26
"131","2007-07-11",13.44
"132","2007-07-12",13.72
"133","2007-07-13",13.54
"134","2007-07-16",13.73
"135","2007-07-17",14.06
"136","2007-07-18",14
"137","2007-07-19",14.24
"138","2007-07-20",13.67
