"","date","YGYI"
"1","2012-02-03",6.2
"2","2012-02-06",6.1
"3","2012-02-07",5.8
"4","2012-02-08",5.5
"5","2012-02-09",5.6
"6","2012-02-10",5.4
"7","2012-02-13",5.98
"8","2012-02-14",5.6
"9","2012-02-15",5.8
"10","2012-02-16",6.2
"11","2012-02-17",6
"12","2012-02-21",6.12
"13","2012-02-22",6.6
"14","2012-02-23",6.4
"15","2012-02-24",6.4
"16","2012-02-27",6
"17","2012-02-28",6.2
"18","2012-02-29",6.2
"19","2012-03-01",6.4
"20","2012-03-02",6.5
"21","2012-03-05",6.4
"22","2012-03-06",6.2
"23","2012-03-07",6
"24","2012-03-08",6
"25","2012-03-09",6
"26","2012-03-12",6
"27","2012-03-13",6
"28","2012-03-14",5.86
"29","2012-03-15",5.84
"30","2012-03-16",5.8
"31","2012-03-19",5.8
"32","2012-03-20",5.98
"33","2012-03-21",5.68
"34","2012-03-22",5.8
"35","2012-03-23",5.6
"36","2012-03-26",5.8
"37","2012-03-27",5.8
"38","2012-03-28",5.8
"39","2012-03-29",5.5
"40","2012-03-30",5.6
"41","2012-04-02",5.56
"42","2012-04-03",5.2
"43","2012-04-04",5.4
"44","2012-04-05",5.4
"45","2012-04-09",5.54
"46","2012-04-10",4.98
"47","2012-04-11",5.5
"48","2012-04-12",5
"49","2012-04-13",4.7
"50","2012-04-16",5
"51","2012-04-17",4.9
"52","2012-04-18",5.44
"53","2012-04-19",5.6
"54","2012-04-20",5.8
"55","2012-04-23",5.8
"56","2012-04-24",5.8
"57","2012-04-25",6
"58","2012-04-26",6.2
"59","2012-04-27",6.18
"60","2012-04-30",6.08
"61","2012-05-01",5.94
"62","2012-05-02",5.8
"63","2012-05-03",5.92
"64","2012-05-04",5.62
"65","2012-05-07",5.8
"66","2012-05-08",5.8
"67","2012-05-09",5.7
"68","2012-05-10",5.9
"69","2012-05-11",5.9
"70","2012-05-14",5.9
"71","2012-05-15",5.8
"72","2012-05-16",4.9
"73","2012-05-17",4.9
"74","2012-05-18",4.8
"75","2012-05-21",4.6
"76","2012-05-22",4.6
"77","2012-05-23",4.6
"78","2012-05-24",4.6
"79","2012-05-25",4.48
"80","2012-05-29",4.6
"81","2012-05-30",4.6
"82","2012-05-31",4.3
"83","2012-06-01",4.5
"84","2012-06-04",4.4
"85","2012-06-05",4.3
"86","2012-06-06",4.38
"87","2012-06-07",4.38
"88","2012-06-08",4.36
"89","2012-06-11",4.6
"90","2012-06-12",5
"91","2012-06-13",5.28
"92","2012-06-14",5
"93","2012-06-15",5.4
"94","2012-06-18",5.2
"95","2012-06-19",5.1
"96","2012-06-20",5.4
"97","2012-06-21",5.38
"98","2012-06-22",5.86
"99","2012-06-25",5.7
"100","2012-06-26",5.78
"101","2012-06-27",5.7
"102","2012-06-28",5.8
"103","2012-06-29",5.7
"104","2012-07-02",5.64
"105","2012-07-03",5.7
"106","2012-07-05",6
"107","2012-07-06",5.7
"108","2012-07-09",5.6
"109","2012-07-10",5.2
"110","2012-07-11",4.78
"111","2012-07-12",5
"112","2012-07-13",5
"113","2012-07-16",5
"114","2012-07-17",5
"115","2012-07-18",4.8
"116","2012-07-19",4.94
"117","2012-07-20",4.8
"118","2012-07-23",4.8
"119","2012-07-24",4.5
"120","2012-07-25",4.4
"121","2012-07-26",4.08
"122","2012-07-27",4.9
"123","2012-07-30",4.72
"124","2012-07-31",4.8
"125","2012-08-01",4.8
"126","2012-08-02",4.58
"127","2012-08-03",4.8
"128","2012-08-06",4.7
"129","2012-08-07",4.8
"130","2012-08-08",4.7
"131","2012-08-09",4.64
"132","2012-08-10",4.8
"133","2012-08-13",4.64
"134","2012-08-14",4.4
"135","2012-08-15",4.4
"136","2012-08-16",4.7
"137","2012-08-17",4.7
"138","2012-08-20",4.4
"139","2012-08-21",4.4
"140","2012-08-22",4.16
"141","2012-08-23",4.2
"142","2012-08-24",4.04
"143","2012-08-27",4
"144","2012-08-28",3.8
"145","2012-08-29",3.6
"146","2012-08-30",3.6
"147","2012-08-31",3.2
"148","2012-09-04",2.6
"149","2012-09-05",3.38
"150","2012-09-06",3.58
"151","2012-09-07",3.3
"152","2012-09-10",3.5
"153","2012-09-11",3.58
"154","2012-09-12",3.38
"155","2012-09-13",3.4
"156","2012-09-14",3.34
"157","2012-09-17",3.36
"158","2012-09-18",3.4
"159","2012-09-19",3.56
"160","2012-09-20",3.5
"161","2012-09-21",3.8
"162","2012-09-24",4.08
"163","2012-09-25",3.9
"164","2012-09-26",3.78
"165","2012-09-27",3.6
"166","2012-09-28",3.6
"167","2012-10-01",3.7
"168","2012-10-02",3.7
"169","2012-10-03",3.4
"170","2012-10-04",3.4
"171","2012-10-05",3.38
"172","2012-10-08",3.44
"173","2012-10-09",3.4
"174","2012-10-10",3.2
"175","2012-10-11",3.18
"176","2012-10-12",3.2
"177","2012-10-15",3.1
"178","2012-10-16",3.5
"179","2012-10-17",3.5
"180","2012-10-18",3.5
"181","2012-10-19",3.2
"182","2012-10-22",3.38
"183","2012-10-23",3.4
"184","2012-10-24",3.3
"185","2012-10-25",3.3
"186","2012-10-26",3.2
"187","2012-10-31",3.2
"188","2012-11-01",3.2
"189","2012-11-02",3.24
"190","2012-11-05",3.4
"191","2012-11-06",3.4
"192","2012-11-07",3.2
"193","2012-11-08",3.04
"194","2012-11-09",3.06
"195","2012-11-12",3.2
"196","2012-11-13",3.18
"197","2012-11-14",3
"198","2012-11-15",3.16
"199","2012-11-16",3.18
"200","2012-11-19",3.1
"201","2012-11-20",3.06
"202","2012-11-21",3.32
"203","2012-11-23",3.24
"204","2012-11-26",3.1
"205","2012-11-27",3.02
"206","2012-11-28",3.3
"207","2012-11-29",3.3
"208","2012-11-30",3.3
"209","2012-12-03",3.2
"210","2012-12-04",3.3
"211","2012-12-05",3.2
"212","2012-12-06",3.2
"213","2012-12-07",2.98
"214","2012-12-10",3.36
"215","2012-12-11",3.18
"216","2012-12-12",3
"217","2012-12-13",2.9
"218","2012-12-14",2.9
"219","2012-12-17",2.8
"220","2012-12-18",3
"221","2012-12-19",3.14
"222","2012-12-20",3.34
"223","2012-12-21",3.24
"224","2012-12-24",3.24
"225","2012-12-26",3.36
"226","2012-12-27",3.3
"227","2012-12-28",3.3
