"","date","WPM"
"1","2007-01-03",9.97
"2","2007-01-04",9.6
"3","2007-01-05",9.43
"4","2007-01-08",9.41
"5","2007-01-09",9.05
"6","2007-01-10",9.22
"7","2007-01-11",9.56
"8","2007-01-12",9.82
"9","2007-01-16",9.58
"10","2007-01-17",9.83
"11","2007-01-18",9.64
"12","2007-01-19",9.7
"13","2007-01-22",9.52
"14","2007-01-23",10.21
"15","2007-01-24",10.5
"16","2007-01-25",10.35
"17","2007-01-26",10.42
"18","2007-01-29",10.25
"19","2007-01-30",10.37
"20","2007-01-31",10.8
"21","2007-02-01",10.82
"22","2007-02-02",10.62
"23","2007-02-05",10.68
"24","2007-02-06",10.81
"25","2007-02-07",10.62
"26","2007-02-08",10.85
"27","2007-02-09",10.73
"28","2007-02-12",10.49
"29","2007-02-13",10.64
"30","2007-02-14",10.81
"31","2007-02-15",10.72
"32","2007-02-16",10.5
"33","2007-02-20",10.49
"34","2007-02-21",10.88
"35","2007-02-22",10.7
"36","2007-02-23",10.89
"37","2007-02-26",10.88
"38","2007-02-27",10.01
"39","2007-02-28",10.02
"40","2007-03-01",9.82
"41","2007-03-02",9.37
"42","2007-03-05",9.12
"43","2007-03-06",9.53
"44","2007-03-07",9.54
"45","2007-03-08",9.44
"46","2007-03-09",9.3
"47","2007-03-12",9.43
"48","2007-03-13",9.04
"49","2007-03-14",9.24
"50","2007-03-15",9.29
"51","2007-03-16",9.4
"52","2007-03-19",9.5
"53","2007-03-20",9.39
"54","2007-03-21",9.52
"55","2007-03-22",9.37
"56","2007-03-23",9.51
"57","2007-03-26",9.86
"58","2007-03-27",9.62
"59","2007-03-28",9.67
"60","2007-03-29",9.59
"61","2007-03-30",9.48
"62","2007-04-02",9.54
"63","2007-04-03",9.69
"64","2007-04-04",10.08
"65","2007-04-05",10.3
"66","2007-04-09",10.68
"67","2007-04-10",10.83
"68","2007-04-11",10.67
"69","2007-04-12",10.84
"70","2007-04-13",11.19
"71","2007-04-16",11.36
"72","2007-04-17",11.58
"73","2007-04-18",11.48
"74","2007-04-19",10.95
"75","2007-04-20",11.61
"76","2007-04-23",11.39
"77","2007-04-24",11.29
"78","2007-04-25",11.52
"79","2007-04-26",11.09
"80","2007-04-27",11.43
"81","2007-04-30",11.12
"82","2007-05-01",11
"83","2007-05-02",11.42
"84","2007-05-03",11.81
"85","2007-05-04",11.99
"86","2007-05-07",12.4
"87","2007-05-08",11.99
"88","2007-05-09",11.91
"89","2007-05-10",11.42
"90","2007-05-11",11.59
"91","2007-05-14",11.25
"92","2007-05-15",11.25
"93","2007-05-16",10.99
"94","2007-05-17",10.99
"95","2007-05-18",11.26
"96","2007-05-21",11.51
"97","2007-05-22",11.06
"98","2007-05-23",11.29
"99","2007-05-24",10.75
"100","2007-05-25",10.87
"101","2007-05-29",10.76
"102","2007-05-30",10.79
"103","2007-05-31",11.47
"104","2007-06-01",11.84
"105","2007-06-04",11.93
"106","2007-06-05",11.92
"107","2007-06-06",11.77
"108","2007-06-07",11.16
"109","2007-06-08",11.21
"110","2007-06-11",11.15
"111","2007-06-12",10.83
"112","2007-06-13",11.05
"113","2007-06-14",11.27
"114","2007-06-15",11.37
"115","2007-06-18",11.5
"116","2007-06-19",11.9
"117","2007-06-20",11.9
"118","2007-06-21",11.88
"119","2007-06-22",11.7
"120","2007-06-25",11.49
"121","2007-06-26",11.34
"122","2007-06-27",11.55
"123","2007-06-28",11.64
"124","2007-06-29",11.69
"125","2007-07-02",12.06
"126","2007-07-03",12.1
"127","2007-07-05",12.49
"128","2007-07-06",13.17
"129","2007-07-09",13.6
"130","2007-07-10",13.38
"131","2007-07-11",13.5
"132","2007-07-12",14.22
"133","2007-07-13",13.98
"134","2007-07-16",13.64
"135","2007-07-17",13.47
"136","2007-07-18",14.25
"137","2007-07-19",14.8
"138","2007-07-20",14.65
"139","2007-07-23",14.58
"140","2007-07-24",14.05
"141","2007-07-25",14.1
"142","2007-07-26",13.49
"143","2007-07-27",13.4
"144","2007-07-30",13.89
"145","2007-07-31",13.71
"146","2007-08-01",13.48
"147","2007-08-02",13.57
"148","2007-08-03",13.25
"149","2007-08-06",12.99
"150","2007-08-07",13.31
"151","2007-08-08",13.63
"152","2007-08-09",13.03
"153","2007-08-10",13.48
"154","2007-08-13",13.2
"155","2007-08-14",12.78
"156","2007-08-15",11.77
