"","date","TYHT"
"1","2016-09-28",259.920013
"2","2016-09-29",147.455994
"3","2016-09-30",100.709999
"4","2016-10-03",82.169998
"5","2016-10-04",63.720001
"6","2016-10-05",55.799999
"7","2016-10-06",59.580002
"8","2016-10-07",57.150002
"9","2016-10-10",51.75
"10","2016-10-11",48.599998
"11","2016-10-12",47.07
"12","2016-10-13",45.450001
"13","2016-10-14",47.07
"14","2016-10-17",48.509998
"15","2016-10-18",49.41
"16","2016-10-19",50.400002
"17","2016-10-20",49.68
"18","2016-10-21",48.599998
"19","2016-10-24",48.599998
"20","2016-10-25",47.700001
"21","2016-10-26",46.619999
"22","2016-10-27",45
"23","2016-10-28",44.099998
"24","2016-10-31",41.400002
"25","2016-11-01",38.700001
"26","2016-11-02",32.130001
"27","2016-11-03",34.200001
"28","2016-11-04",31.23
"29","2016-11-07",34.02
"30","2016-11-08",32.580002
"31","2016-11-09",33.389999
"32","2016-11-10",45.450001
"33","2016-11-11",43.290001
"34","2016-11-14",43.200001
"35","2016-11-15",41.669998
"36","2016-11-16",44.009998
"37","2016-11-17",50.400002
"38","2016-11-18",49.950001
"39","2016-11-21",43.650002
"40","2016-11-22",41.625
"41","2016-11-23",39.509998
"42","2016-11-25",37.98
"43","2016-11-28",39.330002
"44","2016-11-29",39.150002
"45","2016-11-30",38.52
"46","2016-12-01",40.5
"47","2016-12-02",39.959999
"48","2016-12-05",38.880001
"49","2016-12-06",40.049999
"50","2016-12-07",42.029999
"51","2016-12-08",44.099998
"52","2016-12-09",41.759998
"53","2016-12-12",41.220001
"54","2016-12-13",39.959999
"55","2016-12-14",37.259998
"56","2016-12-15",38.43
"57","2016-12-16",36.18
"58","2016-12-19",38.07
"59","2016-12-20",37.349998
"60","2016-12-21",36.360001
"61","2016-12-22",36.360001
"62","2016-12-23",37.169998
"63","2016-12-27",36.990002
"64","2016-12-28",33.75
"65","2016-12-29",36
"66","2016-12-30",37.799999
"67","2017-01-03",35.369999
"68","2017-01-04",34.380001
"69","2017-01-05",35.369999
"70","2017-01-06",34.380001
"71","2017-01-09",34.919998
"72","2017-01-10",35.009998
"73","2017-01-11",34.965
"74","2017-01-12",35.369999
"75","2017-01-13",34.560001
"76","2017-01-17",34.919998
"77","2017-01-18",34.740002
"78","2017-01-19",34.290001
"79","2017-01-20",34.650002
"80","2017-01-23",34.605
"81","2017-01-24",33.84
"82","2017-01-25",33.389999
"83","2017-01-26",33.75
"84","2017-01-27",32.939999
"85","2017-01-30",31.68
"86","2017-01-31",31.59
"87","2017-02-01",32.400002
"88","2017-02-02",32.130001
"89","2017-02-03",32.220001
"90","2017-02-06",32.040001
