"","date","GASS"
"1","2007-01-03",11.8
"2","2007-01-04",11.82
"3","2007-01-05",11.53
"4","2007-01-08",11.64
"5","2007-01-09",11.6
"6","2007-01-10",11.59
"7","2007-01-11",11.5
"8","2007-01-12",11.5
"9","2007-01-16",11.52
"10","2007-01-17",11.55
"11","2007-01-18",11.6
"12","2007-01-19",11.6
"13","2007-01-22",11.6
"14","2007-01-23",11.59
"15","2007-01-24",11.55
"16","2007-01-25",11.6
"17","2007-01-26",11.5
"18","2007-01-29",11.6
"19","2007-01-30",12.18
"20","2007-01-31",12.16
"21","2007-02-01",12.12
"22","2007-02-02",12.41
"23","2007-02-05",12.55
"24","2007-02-06",12.71
"25","2007-02-07",12.85
"26","2007-02-08",12.92
"27","2007-02-09",12.99
"28","2007-02-12",12.69
"29","2007-02-13",12.84
"30","2007-02-14",12.82
"31","2007-02-15",12.54
"32","2007-02-16",12.6
"33","2007-02-20",13
"34","2007-02-21",12.79
"35","2007-02-22",12.52
"36","2007-02-23",12.94
"37","2007-02-26",13.05
"38","2007-02-27",12.94
"39","2007-02-28",12.88
"40","2007-03-01",12.83
"41","2007-03-02",12.96
"42","2007-03-05",12.73
"43","2007-03-06",12.79
"44","2007-03-07",12.69
"45","2007-03-08",12.68
"46","2007-03-09",12.59
"47","2007-03-12",12.53
"48","2007-03-13",12.63
"49","2007-03-14",12.78
"50","2007-03-15",12.82
"51","2007-03-16",12.9
"52","2007-03-19",12.65
"53","2007-03-20",12.65
"54","2007-03-21",13.07
"55","2007-03-22",13.17
"56","2007-03-23",13.25
"57","2007-03-26",13.17
"58","2007-03-27",13.48
"59","2007-03-28",13.71
"60","2007-03-29",13.52
"61","2007-03-30",13.74
"62","2007-04-02",13.89
"63","2007-04-03",14.1
"64","2007-04-04",14.16
"65","2007-04-05",14.2
"66","2007-04-09",14.8
"67","2007-04-10",14.65
"68","2007-04-11",14.75
"69","2007-04-12",15.1
"70","2007-04-13",15.9
"71","2007-04-16",15.93
"72","2007-04-17",16.030001
"73","2007-04-18",15.96
"74","2007-04-19",15.93
"75","2007-04-20",16
"76","2007-04-23",15.95
"77","2007-04-24",16.1
"78","2007-04-25",16.200001
"79","2007-04-26",16.1
"80","2007-04-27",15.9
"81","2007-04-30",15.9
"82","2007-05-01",15.18
"83","2007-05-02",15.4
"84","2007-05-03",15.47
"85","2007-05-04",14.9
"86","2007-05-07",14.67
"87","2007-05-08",14.5
"88","2007-05-09",14.82
"89","2007-05-10",15.2
"90","2007-05-11",15.7
"91","2007-05-14",15.58
"92","2007-05-15",15.99
"93","2007-05-16",16.389999
"94","2007-05-17",16.299999
"95","2007-05-18",16.440001
"96","2007-05-21",16.6
"97","2007-05-22",17.08
"98","2007-05-23",17.24
"99","2007-05-24",16.98
"100","2007-05-25",16.99
"101","2007-05-29",17
"102","2007-05-30",17.18
"103","2007-05-31",16.940001
"104","2007-06-01",17.1
"105","2007-06-04",17.1
"106","2007-06-05",17.1
"107","2007-06-06",16.93
"108","2007-06-07",16.940001
"109","2007-06-08",16.879999
"110","2007-06-11",17.07
"111","2007-06-12",17.200001
"112","2007-06-13",17.52
"113","2007-06-14",17.780001
"114","2007-06-15",17.75
"115","2007-06-18",17.540001
"116","2007-06-19",17.299999
"117","2007-06-20",17.58
"118","2007-06-21",17.74
"119","2007-06-22",17.719999
"120","2007-06-25",17.530001
"121","2007-06-26",17.84
"122","2007-06-27",17.4
"123","2007-06-28",17.389999
"124","2007-06-29",17.870001
"125","2007-07-02",18.15
"126","2007-07-03",18.790001
"127","2007-07-05",18.98
"128","2007-07-06",19.5
"129","2007-07-09",18.58
"130","2007-07-10",18.93
"131","2007-07-11",18.57
"132","2007-07-12",17.91
"133","2007-07-13",18.43
"134","2007-07-16",18.43
"135","2007-07-17",18.450001
"136","2007-07-18",18
"137","2007-07-19",18.1
"138","2007-07-20",18.299999
"139","2007-07-23",18.35
"140","2007-07-24",18.17
"141","2007-07-25",18.09
"142","2007-07-26",17.84
"143","2007-07-27",17.76
"144","2007-07-30",16.379999
"145","2007-07-31",17.25
"146","2007-08-01",17.5
"147","2007-08-02",17.74
"148","2007-08-03",16.85
"149","2007-08-06",15.72
"150","2007-08-07",16.030001
"151","2007-08-08",17.82
"152","2007-08-09",17.049999
"153","2007-08-10",16.549999
"154","2007-08-13",17.18
"155","2007-08-14",17.1
"156","2007-08-15",17.08
"157","2007-08-16",16.040001
"158","2007-08-17",16.129999
"159","2007-08-20",16.24
"160","2007-08-21",16.6
"161","2007-08-22",16.93
"162","2007-08-23",16.709999
"163","2007-08-24",17.040001
"164","2007-08-27",17.5
"165","2007-08-28",17.4
"166","2007-08-29",17.299999
"167","2007-08-30",17.27
"168","2007-08-31",17.25
"169","2007-09-04",17.48
"170","2007-09-05",17.35
"171","2007-09-06",17.32
"172","2007-09-07",16.99
"173","2007-09-10",16.950001
"174","2007-09-11",16.610001
"175","2007-09-12",16.77
"176","2007-09-13",16.82
"177","2007-09-14",16.709999
"178","2007-09-17",16.870001
