"","date","MD"
"1","2007-01-03",24.264999
"2","2007-01-04",24.51
"3","2007-01-05",24.525
"4","2007-01-08",24.605
"5","2007-01-09",24.535
"6","2007-01-10",24.32
"7","2007-01-11",24.76
"8","2007-01-12",25.059999
"9","2007-01-16",25.42
"10","2007-01-17",25.360001
"11","2007-01-18",25.379999
"12","2007-01-19",25.780001
"13","2007-01-22",25.745001
"14","2007-01-23",25.780001
"15","2007-01-24",25.785
"16","2007-01-25",25.584999
"17","2007-01-26",25.379999
"18","2007-01-29",25.584999
"19","2007-01-30",25.76
"20","2007-01-31",26.27
"21","2007-02-01",26.110001
"22","2007-02-02",26.094999
"23","2007-02-05",26.200001
"24","2007-02-06",26.33
"25","2007-02-07",26.395
"26","2007-02-08",26.875
"27","2007-02-09",26.915001
"28","2007-02-12",26.75
"29","2007-02-13",26.834999
"30","2007-02-14",26.525
"31","2007-02-15",26.625
"32","2007-02-16",26.799999
"33","2007-02-20",27.514999
"34","2007-02-21",27.67
"35","2007-02-22",27.6
"36","2007-02-23",27.5
"37","2007-02-26",27.73
"38","2007-02-27",27.32
"39","2007-02-28",27.049999
"40","2007-03-01",27.105
"41","2007-03-02",26.540001
"42","2007-03-05",26.395
"43","2007-03-06",26.584999
"44","2007-03-07",26.690001
"45","2007-03-08",26.924999
"46","2007-03-09",26.860001
"47","2007-03-12",27.195
"48","2007-03-13",26.605
"49","2007-03-14",26.799999
"50","2007-03-15",27.08
"51","2007-03-16",27.459999
"52","2007-03-19",27.885
"53","2007-03-20",27.995001
"54","2007-03-21",28.35
"55","2007-03-22",28.285
"56","2007-03-23",28.235001
"57","2007-03-26",28.285
"58","2007-03-27",28.495001
"59","2007-03-28",28.105
"60","2007-03-29",28.135
"61","2007-03-30",28.530001
"62","2007-04-02",28.82
"63","2007-04-03",28.92
"64","2007-04-04",29.514999
"65","2007-04-05",29.530001
"66","2007-04-09",29.440001
"67","2007-04-10",29.295
"68","2007-04-11",29.049999
"69","2007-04-12",29.32
"70","2007-04-13",29.1
"71","2007-04-16",29.370001
"72","2007-04-17",29.355
"73","2007-04-18",29.25
"74","2007-04-19",28.924999
"75","2007-04-20",28.735001
"76","2007-04-23",29.035
"77","2007-04-24",28.975
"78","2007-04-25",28.785
"79","2007-04-26",28.879999
"80","2007-04-27",28.725
"81","2007-04-30",28.525
"82","2007-05-01",28.705
"83","2007-05-02",29.09
"84","2007-05-03",29.1
"85","2007-05-04",29.309999
"86","2007-05-07",29.4
"87","2007-05-08",29.4
"88","2007-05-09",29.174999
"89","2007-05-10",28.32
"90","2007-05-11",28.4
"91","2007-05-14",28.754999
"92","2007-05-15",28.59
"93","2007-05-16",28.645
"94","2007-05-17",28.004999
"95","2007-05-18",27.969999
"96","2007-05-21",28.309999
"97","2007-05-22",28.75
"98","2007-05-23",28.639999
"99","2007-05-24",28.375
"100","2007-05-25",28.465
"101","2007-05-29",28.290001
"102","2007-05-30",28.795
"103","2007-05-31",28.809999
"104","2007-06-01",28.545
"105","2007-06-04",29.25
"106","2007-06-05",28.895
"107","2007-06-06",28.1
"108","2007-06-07",27.68
"109","2007-06-08",27.5
"110","2007-06-11",27.475
"111","2007-06-12",27.254999
"112","2007-06-13",27.344999
"113","2007-06-14",27.48
"114","2007-06-15",27.450001
"115","2007-06-18",27.565001
"116","2007-06-19",27.674999
"117","2007-06-20",27.625
"118","2007-06-21",27.584999
"119","2007-06-22",27.334999
"120","2007-06-25",27.16
"121","2007-06-26",27.275
"122","2007-06-27",27.4
"123","2007-06-28",27.545
"124","2007-06-29",27.575001
"125","2007-07-02",27.809999
"126","2007-07-03",28.125
"127","2007-07-05",28.075001
"128","2007-07-06",28.205
"129","2007-07-09",28.32
"130","2007-07-10",27.67
"131","2007-07-11",28.07
"132","2007-07-12",28.275
"133","2007-07-13",28.65
"134","2007-07-16",28.84
"135","2007-07-17",28.844999
"136","2007-07-18",28.915001
"137","2007-07-19",28.825001
"138","2007-07-20",28.719999
"139","2007-07-23",28.75
"140","2007-07-24",28.514999
"141","2007-07-25",28.495001
"142","2007-07-26",27.93
"143","2007-07-27",27.495001
"144","2007-07-30",26.924999
"145","2007-07-31",26.98
"146","2007-08-01",26.25
"147","2007-08-02",27.379999
"148","2007-08-03",27.504999
"149","2007-08-06",27.865
"150","2007-08-07",29.035
"151","2007-08-08",28.59
"152","2007-08-09",26.995001
"153","2007-08-10",28.025
"154","2007-08-13",27.575001
"155","2007-08-14",28.125
"156","2007-08-15",28.575001
"157","2007-08-16",28.5
"158","2007-08-17",29.344999
"159","2007-08-20",29.59
"160","2007-08-21",29.5
"161","2007-08-22",29.57
"162","2007-08-23",29.5
"163","2007-08-24",29.495001
"164","2007-08-27",29.6
"165","2007-08-28",28.940001
"166","2007-08-29",29.139999
"167","2007-08-30",29.49
"168","2007-08-31",29.825001
"169","2007-09-04",30.355
"170","2007-09-05",30.344999
