"","date","RACE"
"1","2015-10-21",55
"2","2015-10-22",56.75
"3","2015-10-23",56.380001
"4","2015-10-26",55.02
"5","2015-10-27",53.849998
"6","2015-10-28",51.869999
"7","2015-10-29",51.02
"8","2015-10-30",50.43
"9","2015-11-02",53.080002
"10","2015-11-03",52.380001
"11","2015-11-04",53.439999
"12","2015-11-05",51.740002
"13","2015-11-06",52.43
"14","2015-11-09",53.200001
"15","2015-11-10",54
"16","2015-11-11",54.34
"17","2015-11-12",54.119999
"18","2015-11-13",51.400002
"19","2015-11-16",49.509998
"20","2015-11-17",48.98
"21","2015-11-18",47.279999
"22","2015-11-19",47.599998
"23","2015-11-20",48.080002
"24","2015-11-23",46
"25","2015-11-24",46.279999
"26","2015-11-25",45.66
"27","2015-11-27",46.060001
"28","2015-11-30",46.349998
"29","2015-12-01",47.639999
"30","2015-12-02",47.209999
"31","2015-12-03",47.060001
"32","2015-12-04",48.549999
"33","2015-12-07",47.990002
"34","2015-12-08",47.619999
"35","2015-12-09",47.75
"36","2015-12-10",48.98
"37","2015-12-11",48.790001
"38","2015-12-14",46.93
"39","2015-12-15",47.549999
"40","2015-12-16",48.5
"41","2015-12-17",47.48
"42","2015-12-18",46.360001
"43","2015-12-21",47.41
"44","2015-12-22",46.619999
"45","2015-12-23",47.049999
"46","2015-12-24",46.75
"47","2015-12-28",46.43
"48","2015-12-29",47.93
"49","2015-12-30",48.41
"50","2015-12-31",48
"51","2016-01-04",47.389999
"52","2016-01-05",48.490002
"53","2016-01-06",47.07
"54","2016-01-07",46.650002
"55","2016-01-08",43.110001
"56","2016-01-11",43.380001
"57","2016-01-12",43.66
"58","2016-01-13",42.669998
"59","2016-01-14",41.990002
"60","2016-01-15",40.02
"61","2016-01-19",41.669998
"62","2016-01-20",39.900002
"63","2016-01-21",40.540001
"64","2016-01-22",41.849998
"65","2016-01-25",40.240002
"66","2016-01-26",41.450001
"67","2016-01-27",40.610001
"68","2016-01-28",39.959999
"69","2016-01-29",39.77
"70","2016-02-01",39.93
"71","2016-02-02",34.98
"72","2016-02-03",37.09
"73","2016-02-04",38.880001
"74","2016-02-05",37.700001
"75","2016-02-08",35.950001
"76","2016-02-09",33.959999
"77","2016-02-10",33.27
"78","2016-02-11",32
"79","2016-02-12",34.150002
"80","2016-02-16",35.650002
"81","2016-02-17",39.099998
"82","2016-02-18",38.759998
"83","2016-02-19",38.509998
"84","2016-02-22",39.939999
"85","2016-02-23",38.939999
"86","2016-02-24",38.57
"87","2016-02-25",38.700001
"88","2016-02-26",38.459999
"89","2016-02-29",37.98
"90","2016-03-01",39.490002
"91","2016-03-02",39.540001
"92","2016-03-03",39.400002
"93","2016-03-04",39.740002
"94","2016-03-07",40.599998
"95","2016-03-08",41.220001
"96","2016-03-09",42.029999
"97","2016-03-10",41.57
"98","2016-03-11",42.77
"99","2016-03-14",42.040001
"100","2016-03-15",41.41
"101","2016-03-16",42.259998
"102","2016-03-17",42.709999
"103","2016-03-18",42.400002
"104","2016-03-21",42.040001
"105","2016-03-22",41.66
"106","2016-03-23",40.68
"107","2016-03-24",41.150002
"108","2016-03-28",41.099998
"109","2016-03-29",41.52
"110","2016-03-30",42.310001
"111","2016-03-31",41.700001
"112","2016-04-01",41.049999
"113","2016-04-04",41.150002
"114","2016-04-05",40.25
"115","2016-04-06",41.389999
"116","2016-04-07",40.650002
"117","2016-04-08",41.130001
"118","2016-04-11",41.380001
