"","date","CLNC"
"1","2018-02-01",20.4
"2","2018-02-02",19.5
"3","2018-02-05",18.450001
"4","2018-02-06",18.9
"5","2018-02-07",19
"6","2018-02-08",18.809999
"7","2018-02-09",18.9
"8","2018-02-12",18.75
"9","2018-02-13",19
"10","2018-02-14",19.139999
"11","2018-02-15",19
"12","2018-02-16",19.200001
"13","2018-02-20",19.450001
"14","2018-02-21",19.85
"15","2018-02-22",20.08
"16","2018-02-23",20.559999
"17","2018-02-26",20.4
"18","2018-02-27",20.610001
"19","2018-02-28",20.879999
"20","2018-03-01",20.5
"21","2018-03-02",20.91
"22","2018-03-05",20.440001
"23","2018-03-06",20.540001
"24","2018-03-07",20.83
"25","2018-03-08",20.92
"26","2018-03-09",21.049999
"27","2018-03-12",20.51
"28","2018-03-13",20.530001
"29","2018-03-14",20.1
"30","2018-03-15",19.389999
"31","2018-03-16",18.809999
"32","2018-03-19",19.02
"33","2018-03-20",18.74
"34","2018-03-21",18.91
"35","2018-03-22",18.77
"36","2018-03-23",18.5
"37","2018-03-26",19
"38","2018-03-27",18.950001
"39","2018-03-28",19.18
"40","2018-03-29",18.950001
"41","2018-04-02",18.92
"42","2018-04-03",19.35
"43","2018-04-04",19.48
"44","2018-04-05",19.75
"45","2018-04-06",19.700001
"46","2018-04-09",19.700001
"47","2018-04-10",19.700001
"48","2018-04-11",19.389999
"49","2018-04-12",19.27
"50","2018-04-13",19.049999
"51","2018-04-16",19.379999
"52","2018-04-17",19.42
"53","2018-04-18",19.559999
"54","2018-04-19",19.34
"55","2018-04-20",18.950001
"56","2018-04-23",19.200001
"57","2018-04-24",19.030001
"58","2018-04-25",19.09
"59","2018-04-26",19.049999
"60","2018-04-27",19.370001
"61","2018-04-30",19.040001
"62","2018-05-01",19.57
"63","2018-05-02",19.32
"64","2018-05-03",19.15
"65","2018-05-04",19.059999
"66","2018-05-07",19.120001
"67","2018-05-08",18.790001
"68","2018-05-09",19.379999
"69","2018-05-10",19.57
"70","2018-05-11",19.26
"71","2018-05-14",19.4
"72","2018-05-15",19.33
"73","2018-05-16",19.360001
"74","2018-05-17",19.1
"75","2018-05-18",19.34
