"","date","FTACU"
"1","2018-11-16",10.04
"2","2018-11-19",10.04
"3","2018-11-20",10.02
"4","2018-11-21",10.02
"5","2018-11-23",10.02
"6","2018-11-26",10
"7","2018-11-27",10
"8","2018-11-28",10.01
"9","2018-11-29",10.01
"10","2018-11-30",10.01
"11","2018-12-03",10.01
"12","2018-12-04",10.01
"13","2018-12-06",10.05
"14","2018-12-07",10.05
"15","2018-12-10",10.04
"16","2018-12-11",10
"17","2018-12-12",10.03
"18","2018-12-13",10.03
"19","2018-12-14",10.03
"20","2018-12-17",10.03
"21","2018-12-18",10.03
"22","2018-12-19",10.04
"23","2018-12-20",10.03
"24","2018-12-21",10.03
"25","2018-12-24",10.03
"26","2018-12-26",10.03
"27","2018-12-27",10.03
"28","2018-12-28",9.96
"29","2018-12-31",10
"30","2019-01-02",10.04
"31","2019-01-03",10.04
"32","2019-01-04",10
"33","2019-01-07",10
"34","2019-01-08",10.02
"35","2019-01-09",10.02
"36","2019-01-10",10.04
"37","2019-01-11",10.04
"38","2019-01-14",10.04
"39","2019-01-15",10.04
"40","2019-01-16",10.04
"41","2019-01-17",10.08
"42","2019-01-18",10.08
"43","2019-01-22",10.08
"44","2019-01-23",10.08
"45","2019-01-24",10.05
"46","2019-01-25",10.05
"47","2019-01-28",10.05
"48","2019-01-29",10.05
"49","2019-01-30",10.05
"50","2019-01-31",10.05
"51","2019-02-01",10.05
"52","2019-02-04",10.05
"53","2019-02-05",10.05
"54","2019-02-06",10.05
"55","2019-02-07",10.08
"56","2019-02-08",10.12
"57","2019-02-11",10.14
"58","2019-02-12",10.14
"59","2019-02-13",10.14
"60","2019-02-14",10.14
"61","2019-02-15",10.14
"62","2019-02-19",10.14
"63","2019-02-20",10.17
"64","2019-02-21",10.18
"65","2019-02-22",10.17
"66","2019-02-25",10.17
"67","2019-02-26",10.17
"68","2019-02-27",10.18
"69","2019-02-28",10.18
"70","2019-03-01",10.18
"71","2019-03-04",10.18
"72","2019-03-05",10.18
"73","2019-03-06",10.18
"74","2019-03-07",10.15
"75","2019-03-08",10.15
"76","2019-03-11",10.15
"77","2019-03-12",10.18
"78","2019-03-13",10.17
"79","2019-03-14",10.18
"80","2019-03-15",10.18
"81","2019-03-18",10.18
"82","2019-03-19",10.18
"83","2019-03-20",10.16
"84","2019-03-21",10.18
"85","2019-03-22",10.18
"86","2019-03-25",10.18
"87","2019-03-26",10.19
"88","2019-03-27",10.19
"89","2019-03-28",10.19
"90","2019-03-29",10.19
"91","2019-04-01",10.2
"92","2019-04-02",10.22
"93","2019-04-03",10.25
"94","2019-04-04",10.25
"95","2019-04-05",10.24
"96","2019-04-08",10.25
"97","2019-04-09",10.25
"98","2019-04-10",10.25
"99","2019-04-11",10.25
"100","2019-04-12",10.27
"101","2019-04-15",10.3
"102","2019-04-16",10.3
"103","2019-04-17",10.3
"104","2019-04-18",10.35
"105","2019-04-22",10.35
"106","2019-04-23",10.4
"107","2019-04-24",10.4
"108","2019-04-25",10.4
"109","2019-04-26",10.4
"110","2019-04-29",10.4
"111","2019-04-30",10.4
"112","2019-05-01",10.4
"113","2019-05-02",10.4
"114","2019-05-03",10.42
"115","2019-05-06",10.45
"116","2019-05-07",10.45
"117","2019-05-08",10.48
"118","2019-05-09",10.5
"119","2019-05-10",10.5
"120","2019-05-13",10.45
"121","2019-05-14",10.45
"122","2019-05-15",10.45
"123","2019-05-16",10.45
"124","2019-05-17",10.5
"125","2019-05-20",10.52
"126","2019-05-21",10.5
"127","2019-05-22",10.53
"128","2019-05-23",10.53
"129","2019-05-24",10.55
"130","2019-05-28",10.55
"131","2019-05-29",10.55
"132","2019-05-30",10.55
"133","2019-05-31",10.53
"134","2019-06-03",10.53
"135","2019-06-04",10.55
"136","2019-06-05",10.54
"137","2019-06-06",10.54
"138","2019-06-07",10.55
"139","2019-06-10",10.55
"140","2019-06-11",10.57
"141","2019-06-12",10.6
"142","2019-06-13",10.6
"143","2019-06-14",10.6
"144","2019-06-17",10.6
"145","2019-06-18",10.65
"146","2019-06-19",10.75
"147","2019-06-20",10.75
"148","2019-06-21",10.75
"149","2019-06-24",10.75
"150","2019-06-25",10.75
