"","date","ANDA"
"1","2019-03-06",9.7
"2","2019-03-07",9.7
"3","2019-03-08",9.7
"4","2019-03-11",9.7
"5","2019-03-12",9.7
"6","2019-03-13",9.7
"7","2019-03-14",9.7
"8","2019-03-15",9.7
"9","2019-03-18",9.7
"10","2019-03-19",9.7
"11","2019-03-20",9.736
"12","2019-03-21",9.73
"13","2019-03-22",9.73
"14","2019-03-25",9.73
"15","2019-03-26",9.75
"16","2019-03-27",9.75
"17","2019-03-28",9.75
"18","2019-03-29",9.75
"19","2019-04-01",9.77
"20","2019-04-02",9.76
"21","2019-04-03",9.76
"22","2019-04-04",9.76
"23","2019-04-05",9.74
"24","2019-04-08",9.75
"25","2019-04-09",9.75
"26","2019-04-10",9.75
"27","2019-04-11",9.77
"28","2019-04-12",9.77
"29","2019-04-15",9.78
"30","2019-04-16",9.8
"31","2019-04-17",9.81
"32","2019-04-18",9.8
"33","2019-04-22",9.81
"34","2019-04-23",9.81
"35","2019-04-24",9.81
"36","2019-04-25",9.81
"37","2019-04-26",9.81
"38","2019-04-29",9.83
"39","2019-04-30",9.8
"40","2019-05-01",9.79
"41","2019-05-02",9.79
"42","2019-05-03",9.82
"43","2019-05-06",9.82
"44","2019-05-07",9.81
"45","2019-05-08",9.81
"46","2019-05-09",9.81
"47","2019-05-10",9.83
"48","2019-05-13",9.83
"49","2019-05-14",9.83
"50","2019-05-15",9.82
"51","2019-05-16",9.83
"52","2019-05-17",9.76
"53","2019-05-20",9.76
"54","2019-05-21",9.82
"55","2019-05-22",9.82
"56","2019-05-23",9.82
"57","2019-05-24",9.82
"58","2019-05-28",9.83
"59","2019-05-29",9.82
"60","2019-05-30",9.82
"61","2019-05-31",9.84
"62","2019-06-03",9.84
"63","2019-06-04",9.81
"64","2019-06-05",9.81
"65","2019-06-06",9.82
"66","2019-06-07",9.84
"67","2019-06-10",9.84
"68","2019-06-11",9.84
"69","2019-06-12",9.84
"70","2019-06-13",9.84
"71","2019-06-14",9.86
"72","2019-06-17",9.86
"73","2019-06-18",9.87
"74","2019-06-19",9.87
"75","2019-06-20",9.87
"76","2019-06-21",9.87
"77","2019-06-24",9.87
"78","2019-06-25",9.87
"79","2019-06-26",9.89
"80","2019-06-27",9.91
"81","2019-06-28",9.91
"82","2019-07-01",9.91
"83","2019-07-02",9.91
"84","2019-07-03",9.91
"85","2019-07-05",9.91
"86","2019-07-08",9.91
"87","2019-07-09",9.84
"88","2019-07-10",9.84
"89","2019-07-11",9.91
"90","2019-07-12",9.88
"91","2019-07-15",9.88
"92","2019-07-16",9.92
"93","2019-07-17",9.9
"94","2019-07-18",9.92
"95","2019-07-19",9.92
"96","2019-07-22",9.93
"97","2019-07-23",9.93
"98","2019-07-24",9.9
"99","2019-07-25",9.9
"100","2019-07-26",9.92
"101","2019-07-29",9.92
"102","2019-07-30",9.901
"103","2019-07-31",9.89
"104","2019-08-01",9.9
"105","2019-08-02",9.9
"106","2019-08-05",9.9
"107","2019-08-06",9.85
"108","2019-08-07",9.85
"109","2019-08-08",9.85
"110","2019-08-09",9.85
"111","2019-08-12",9.95
"112","2019-08-13",9.95
"113","2019-08-14",9.92
"114","2019-08-15",9.92
"115","2019-08-16",9.92
"116","2019-08-19",9.92
"117","2019-08-20",9.95
"118","2019-08-21",9.95
"119","2019-08-22",9.95
"120","2019-08-23",9.95
"121","2019-08-26",9.92
"122","2019-08-27",9.95
"123","2019-08-28",9.95
"124","2019-08-29",9.95
"125","2019-08-30",9.95
"126","2019-09-03",9.95
"127","2019-09-04",9.95
"128","2019-09-05",9.95
"129","2019-09-06",9.97
"130","2019-09-09",9.97
"131","2019-09-10",9.97
"132","2019-09-11",9.97
"133","2019-09-12",9.97
"134","2019-09-13",9.97
"135","2019-09-16",9.97
"136","2019-09-17",9.97
"137","2019-09-18",9.97
"138","2019-09-19",9.94
"139","2019-09-20",9.94
"140","2019-09-23",9.949
"141","2019-09-24",9.95
"142","2019-09-25",9.95
"143","2019-09-26",9.95
"144","2019-09-27",9.96
"145","2019-09-30",9.99
"146","2019-10-01",9.99
"147","2019-10-02",9.99
"148","2019-10-03",9.99
"149","2019-10-04",9.96
"150","2019-10-07",9.98
"151","2019-10-08",9.98
"152","2019-10-09",9.98
"153","2019-10-10",9.98
"154","2019-10-11",9.98
"155","2019-10-14",9.98
"156","2019-10-15",9.98
"157","2019-10-16",9.98
"158","2019-10-17",9.98
"159","2019-10-18",9.98
"160","2019-10-21",10
"161","2019-10-22",9.98
"162","2019-10-23",9.98
"163","2019-10-24",10
"164","2019-10-25",10
"165","2019-10-28",10
"166","2019-10-29",10.01
"167","2019-10-30",10.02
"168","2019-10-31",10.02
"169","2019-11-01",10.02
"170","2019-11-04",10.02
"171","2019-11-05",10.01
"172","2019-11-06",10.01
"173","2019-11-07",9.99
"174","2019-11-08",10.02
"175","2019-11-11",10.02
"176","2019-11-12",10.02
"177","2019-11-13",10.02
"178","2019-11-14",10.02
"179","2019-11-15",10.02
"180","2019-11-18",10.04
"181","2019-11-19",10.04
"182","2019-11-20",10.04
"183","2019-11-21",10.04
