"","date","FCPT"
"221","2016-09-26",21.469999
"222","2016-09-27",21.32
"223","2016-09-28",21.459999
"224","2016-09-29",21.17
"225","2016-09-30",21.33
"226","2016-10-03",21.129999
"227","2016-10-04",20.73
"228","2016-10-05",20.16
"229","2016-10-06",19.93
"230","2016-10-07",20.120001
"231","2016-10-10",20.33
"232","2016-10-11",19.93
"233","2016-10-12",20.219999
"234","2016-10-13",20.540001
"235","2016-10-14",20.459999
"236","2016-10-17",20.530001
"237","2016-10-18",20.68
"238","2016-10-19",20.75
"239","2016-10-20",20.870001
"240","2016-10-21",20.780001
"241","2016-10-24",21.059999
"242","2016-10-25",20.959999
"243","2016-10-26",20.530001
"244","2016-10-27",19.969999
"245","2016-10-28",19.870001
"246","2016-10-31",20.08
"247","2016-11-01",19.950001
"248","2016-11-02",19.67
"249","2016-11-03",19.219999
"250","2016-11-04",19.25
"251","2016-11-07",19.07
"252","2016-11-08",19.190001
"253","2016-11-09",18.34
"254","2016-11-10",17.74
"255","2016-11-11",18.4
"256","2016-11-14",18.42
"257","2016-11-15",18.639999
"258","2016-11-16",18.629999
"259","2016-11-17",18.57
"260","2016-11-18",18.629999
"261","2016-11-21",18.6
"262","2016-11-22",19.01
"263","2016-11-23",19.01
"264","2016-11-25",19.27
"265","2016-11-28",19.48
"266","2016-11-29",19.66
"267","2016-11-30",19.18
"268","2016-12-01",18.440001
"269","2016-12-02",18.959999
"270","2016-12-05",19.219999
"271","2016-12-06",19.219999
"272","2016-12-07",19.59
"273","2016-12-08",19.74
"274","2016-12-09",19.65
"275","2016-12-12",19.629999
"276","2016-12-13",19.620001
"277","2016-12-14",19.18
"278","2016-12-15",19.16
"279","2016-12-16",19.459999
"280","2016-12-19",20.08
"281","2016-12-20",20.02
"282","2016-12-21",19.629999
"283","2016-12-22",19.85
"284","2016-12-23",19.950001
"285","2016-12-27",19.870001
"286","2016-12-28",19.629999
"287","2016-12-29",20.110001
"288","2016-12-30",20.52
"289","2017-01-03",20.42
"290","2017-01-04",20.65
"291","2017-01-05",20.610001
"292","2017-01-06",20.66
"293","2017-01-09",20.52
"294","2017-01-10",20.65
"295","2017-01-11",20.67
"296","2017-01-12",20.67
"297","2017-01-13",20.549999
"298","2017-01-17",21
"299","2017-01-18",20.92
"300","2017-01-19",20.73
"301","2017-01-20",20.879999
"302","2017-01-23",21.129999
"303","2017-01-24",20.98
"304","2017-01-25",21.15
"305","2017-01-26",21.32
"306","2017-01-27",21.51
"307","2017-01-30",21.4
"308","2017-01-31",21.809999
"309","2017-02-01",21.34
"310","2017-02-02",21.280001
"311","2017-02-03",21.34
"312","2017-02-06",21.219999
"313","2017-02-07",21.16
"314","2017-02-08",21.34
"315","2017-02-09",21.42
"316","2017-02-10",21.59
"317","2017-02-13",21.610001
"318","2017-02-14",21.35
"319","2017-02-15",21.26
"320","2017-02-16",21.4
"321","2017-02-17",21.77
"322","2017-02-21",22.049999
"323","2017-02-22",21.99
"324","2017-02-23",22.16
"325","2017-02-24",22.49
"326","2017-02-27",22.469999
"327","2017-02-28",22.18
"328","2017-03-01",22.139999
"329","2017-03-02",21.959999
"330","2017-03-03",21.870001
"331","2017-03-06",21.969999
"332","2017-03-07",21.84
"333","2017-03-08",21.280001
"334","2017-03-09",21.120001
"335","2017-03-10",21
"336","2017-03-13",20.99
"337","2017-03-14",20.93
"338","2017-03-15",21.35
"339","2017-03-16",21.48
"340","2017-03-17",21.809999
"341","2017-03-20",21.690001
"342","2017-03-21",21.610001
"343","2017-03-22",21.48
"344","2017-03-23",22.07
"345","2017-03-24",22.49
"346","2017-03-27",22.26
"347","2017-03-28",22.190001
"348","2017-03-29",22.32
"349","2017-03-30",22.440001
"350","2017-03-31",22.83
"351","2017-04-03",22.370001
"352","2017-04-04",22.42
"353","2017-04-05",22.799999
"354","2017-04-06",23.209999
"355","2017-04-07",23.059999
"356","2017-04-10",23.1
"357","2017-04-11",23.450001
"358","2017-04-12",23.139999
"359","2017-04-13",23.25
"360","2017-04-17",23.559999
"361","2017-04-18",23.77
"362","2017-04-19",23.809999
"363","2017-04-20",23.59
"364","2017-04-21",23.530001
"365","2017-04-24",23.209999
"366","2017-04-25",23.540001
"367","2017-04-26",23.860001
"368","2017-04-27",23.83
"369","2017-04-28",23.33
"370","2017-05-01",23.389999
"371","2017-05-02",23.4
"372","2017-05-03",22.950001
"373","2017-05-04",22.09
"374","2017-05-05",22.549999
"375","2017-05-08",22.290001
"376","2017-05-09",21.99
"377","2017-05-10",22.280001
"378","2017-05-11",22.030001
"379","2017-05-12",22.200001
"380","2017-05-15",22.440001
"381","2017-05-16",22.73
"382","2017-05-17",23.290001
"383","2017-05-18",23.27
"384","2017-05-19",23.780001
"385","2017-05-22",24.190001
"386","2017-05-23",24.18
"387","2017-05-24",24.08
"388","2017-05-25",24.27
"389","2017-05-26",24.459999
"390","2017-05-30",24.370001
"391","2017-05-31",24.620001
"392","2017-06-01",25.120001
"393","2017-06-02",25.450001
"394","2017-06-05",25.27
"395","2017-06-06",25.26
"396","2017-06-07",25.379999
"397","2017-06-08",25.290001
"398","2017-06-09",25.42
"399","2017-06-12",25.82
"400","2017-06-13",25.459999
"401","2017-06-14",25.58
"402","2017-06-15",25.690001
"403","2017-06-16",25.559999
"404","2017-06-19",25.43
"405","2017-06-20",25.370001
"406","2017-06-21",25.41
"407","2017-06-22",25.450001
"408","2017-06-23",25.85
"409","2017-06-26",25.77
"410","2017-06-27",25.719999
"411","2017-06-28",25.52
"412","2017-06-29",24.950001
"413","2017-06-30",25.110001
"414","2017-07-03",25.24
"415","2017-07-05",25.17
"416","2017-07-06",24.9
"417","2017-07-07",25.24
"418","2017-07-10",24.75
"419","2017-07-11",24.969999
"420","2017-07-12",25.190001
"421","2017-07-13",24.879999
"422","2017-07-14",25.1
"423","2017-07-17",25.26
"424","2017-07-18",25.18
"425","2017-07-19",25.51
"426","2017-07-20",25.27
"427","2017-07-21",25.280001
"428","2017-07-24",25.18
"429","2017-07-25",25.24
"430","2017-07-26",25.65
