"","date","EYEN"
"1","2018-01-25",9.92
"2","2018-01-26",9.95
"3","2018-01-29",9.94
"4","2018-01-30",9.6
"5","2018-01-31",9.59
"6","2018-02-01",9.11
"7","2018-02-02",9.05
"8","2018-02-05",8.99
"9","2018-02-06",8.57
"10","2018-02-07",8.59
"11","2018-02-08",8.87
"12","2018-02-09",9.1
"13","2018-02-12",8.85
"14","2018-02-13",9
"15","2018-02-14",8.88
"16","2018-02-15",8.75
"17","2018-02-16",9
"18","2018-02-20",9.49
"19","2018-02-21",9.9
"20","2018-02-22",9.5
"21","2018-02-23",9.55
"22","2018-02-26",9.43
"23","2018-02-27",9.19
"24","2018-02-28",9.4
"25","2018-03-01",8.8
"26","2018-03-02",8.64
"27","2018-03-05",8.95
"28","2018-03-06",9.3
"29","2018-03-07",9.05
"30","2018-03-08",9.19
"31","2018-03-09",9.241
"32","2018-03-12",9.045
"33","2018-03-13",9.01
"34","2018-03-14",8.83
"35","2018-03-15",8.78
"36","2018-03-16",8.51
"37","2018-03-19",8.41
"38","2018-03-20",8.11
"39","2018-03-21",8.5
"40","2018-03-22",8.5
"41","2018-03-23",8.95
"42","2018-03-26",8.73
"43","2018-03-27",9.2
"44","2018-03-28",9
"45","2018-03-29",9.15
"46","2018-04-02",8.763
"47","2018-04-03",9.2
"48","2018-04-04",9.49
"49","2018-04-05",9.48
"50","2018-04-06",9.25
"51","2018-04-09",8.5
"52","2018-04-10",8.62
"53","2018-04-11",8.71
"54","2018-04-12",8.78
"55","2018-04-13",9
"56","2018-04-16",8.72
"57","2018-04-17",8.72
"58","2018-04-18",8.678
"59","2018-04-19",8.678
"60","2018-04-20",8.43
"61","2018-04-23",8.809
"62","2018-04-24",8.5
"63","2018-04-25",8.6
"64","2018-04-26",8.6
"65","2018-04-27",8.55
"66","2018-04-30",8.33
"67","2018-05-01",8.01
"68","2018-05-02",8.75
"69","2018-05-03",8.13
"70","2018-05-04",8.5
"71","2018-05-07",8.7
"72","2018-05-08",8.7
"73","2018-05-09",8.7
"74","2018-05-10",8.45
"75","2018-05-11",8.5
"76","2018-05-14",8.459
"77","2018-05-15",8.6
"78","2018-05-16",8.46
"79","2018-05-17",8.488
"80","2018-05-18",8.269
"81","2018-05-21",7.9
"82","2018-05-22",8.45
"83","2018-05-23",7.63
"84","2018-05-24",8.03
"85","2018-05-25",8.056
"86","2018-05-29",8
"87","2018-05-30",7.93
"88","2018-05-31",7.94
"89","2018-06-01",8.02
"90","2018-06-04",8.102
"91","2018-06-05",8.19
"92","2018-06-06",8.13
"93","2018-06-07",8.32
