"","date","RPTX"
"1","2020-06-19",30.799999
"2","2020-06-22",32.990002
"3","2020-06-23",32.950001
"4","2020-06-24",32.900002
"5","2020-06-25",32.599998
"6","2020-06-26",32.299999
"7","2020-06-29",31.25
"8","2020-06-30",31.02
"9","2020-07-01",29.690001
"10","2020-07-02",29.139999
"11","2020-07-06",29.74
"12","2020-07-07",27.5
"13","2020-07-08",28.08
"14","2020-07-09",26.26
"15","2020-07-10",25.15
"16","2020-07-13",24.01
"17","2020-07-14",23.209999
"18","2020-07-15",22.52
"19","2020-07-16",22.790001
"20","2020-07-17",22.9
"21","2020-07-20",23.09
"22","2020-07-21",23.01
"23","2020-07-22",22.5
"24","2020-07-23",22.360001
"25","2020-07-24",21.549999
"26","2020-07-27",21.75
"27","2020-07-28",22.74
"28","2020-07-29",24.57
"29","2020-07-30",23.889999
"30","2020-07-31",23.860001
"31","2020-08-03",23.98
"32","2020-08-04",24.08
"33","2020-08-05",24.33
"34","2020-08-06",24.040001
"35","2020-08-07",24.719999
"36","2020-08-10",25.299999
"37","2020-08-11",23.959999
"38","2020-08-12",23.280001
"39","2020-08-13",24.059999
"40","2020-08-14",23.889999
"41","2020-08-17",25.65
"42","2020-08-18",24.809999
"43","2020-08-19",24.92
"44","2020-08-20",25.6
"45","2020-08-21",24.92
"46","2020-08-24",23.99
"47","2020-08-25",23.719999
"48","2020-08-26",24.34
"49","2020-08-27",23.57
"50","2020-08-28",24.02
"51","2020-08-31",24.74
"52","2020-09-01",25.15
"53","2020-09-02",29.049999
"54","2020-09-03",28.67
"55","2020-09-04",27.1
"56","2020-09-08",27.6
"57","2020-09-09",29.139999
"58","2020-09-10",28.440001
"59","2020-09-11",30.02
"60","2020-09-14",32.860001
"61","2020-09-15",32.639999
"62","2020-09-16",33.290001
"63","2020-09-17",33.919998
"64","2020-09-18",32.990002
"65","2020-09-21",30.59
"66","2020-09-22",33.009998
"67","2020-09-23",32.669998
"68","2020-09-24",30.139999
"69","2020-09-25",31.049999
"70","2020-09-28",31.83
"71","2020-09-29",31.68
"72","2020-09-30",30.77
"73","2020-10-01",29.65
"74","2020-10-02",30
"75","2020-10-05",27.299999
"76","2020-10-06",25.530001
"77","2020-10-07",24.93
"78","2020-10-08",25.26
"79","2020-10-09",24.559999
"80","2020-10-12",23.790001
"81","2020-10-13",23.42
"82","2020-10-14",25.34
"83","2020-10-15",24.389999
"84","2020-10-16",25.27
"85","2020-10-19",25
"86","2020-10-20",24.26
"87","2020-10-21",24.219999
"88","2020-10-22",27.030001
"89","2020-10-23",27.48
"90","2020-10-26",26.629999
"91","2020-10-27",26.299999
"92","2020-10-28",25.290001
"93","2020-10-29",25.99
"94","2020-10-30",27.030001
"95","2020-11-02",26.299999
"96","2020-11-03",27.34
"97","2020-11-04",27.75
"98","2020-11-05",28.639999
"99","2020-11-06",27.83
"100","2020-11-09",28.68
"101","2020-11-10",28.16
"102","2020-11-11",27.74
"103","2020-11-12",27.5
"104","2020-11-13",28.08
"105","2020-11-16",27.799999
"106","2020-11-17",27.85
"107","2020-11-18",27.790001
"108","2020-11-19",27.809999
"109","2020-11-20",30.469999
"110","2020-11-23",32.849998
"111","2020-11-24",30.02
"112","2020-11-25",30.389999
"113","2020-11-27",30
