"","date","MHLD"
"1","2008-05-06",8
"2","2008-05-07",7.9
"3","2008-05-08",7.9
"4","2008-05-09",7.74
"5","2008-05-12",7.73
"6","2008-05-13",7.8
"7","2008-05-14",7.5
"8","2008-05-15",7.56
"9","2008-05-16",7.56
"10","2008-05-19",7.56
"11","2008-05-20",7.56
"12","2008-05-21",7.78
"13","2008-05-22",7.6
"14","2008-05-23",7.6
"15","2008-05-27",7.53
"16","2008-05-28",7.56
"17","2008-05-29",7.5
"18","2008-05-30",7.57
"19","2008-06-02",7.49
"20","2008-06-03",7.47
"21","2008-06-04",7.5
"22","2008-06-05",7.5
"23","2008-06-06",7.3
"24","2008-06-09",6.79
"25","2008-06-10",7.54
"26","2008-06-11",7.33
"27","2008-06-12",7.47
"28","2008-06-13",7.64
"29","2008-06-16",7.62
"30","2008-06-17",7.51
"31","2008-06-18",7.5
"32","2008-06-19",7.6
"33","2008-06-20",7.6
"34","2008-06-23",7.18
"35","2008-06-24",7.08
"36","2008-06-25",7.08
"37","2008-06-26",6.92
"38","2008-06-27",6.7
"39","2008-06-30",6.4
"40","2008-07-01",6.38
"41","2008-07-02",6.1
"42","2008-07-03",5.55
"43","2008-07-07",5.22
"44","2008-07-08",6.05
"45","2008-07-09",5.62
"46","2008-07-10",5.95
"47","2008-07-11",5.87
"48","2008-07-14",5.22
"49","2008-07-15",5.7
"50","2008-07-16",5.75
"51","2008-07-17",6.15
"52","2008-07-18",6.3
"53","2008-07-21",6.31
"54","2008-07-22",6.75
"55","2008-07-23",6.97
"56","2008-07-24",6.98
"57","2008-07-25",6.95
"58","2008-07-28",6.61
"59","2008-07-29",7
"60","2008-07-30",7.05
"61","2008-07-31",6.98
"62","2008-08-01",6.75
"63","2008-08-04",5.9
"64","2008-08-05",6.88
"65","2008-08-06",6.82
"66","2008-08-07",6.58
"67","2008-08-08",6.8
"68","2008-08-11",7.03
"69","2008-08-12",7.01
"70","2008-08-13",7.24
"71","2008-08-14",7.37
"72","2008-08-15",7.06
"73","2008-08-18",6.6
"74","2008-08-19",6.45
"75","2008-08-20",6.28
"76","2008-08-21",6.28
"77","2008-08-22",6.69
"78","2008-08-25",6.33
"79","2008-08-26",6.31
"80","2008-08-27",6.46
"81","2008-08-28",6.55
"82","2008-08-29",6.52
"83","2008-09-02",6.59
"84","2008-09-03",6.47
"85","2008-09-04",6.4
"86","2008-09-05",6.22
"87","2008-09-08",6.6
"88","2008-09-09",6.24
"89","2008-09-10",6.46
"90","2008-09-11",6.48
"91","2008-09-12",6.18
"92","2008-09-15",5.41
"93","2008-09-16",5.53
"94","2008-09-17",4.65
"95","2008-09-18",5.1
"96","2008-09-19",5.7
"97","2008-09-22",5.19
"98","2008-09-23",4.92
"99","2008-09-24",4.9
"100","2008-09-25",5
"101","2008-09-26",5.19
"102","2008-09-29",4.52
"103","2008-09-30",4.35
"104","2008-10-01",4.55
"105","2008-10-02",4.42
"106","2008-10-03",4.37
"107","2008-10-06",4.66
"108","2008-10-07",4.25
"109","2008-10-08",4.12
"110","2008-10-09",3.91
"111","2008-10-10",3.61
"112","2008-10-13",5.2
"113","2008-10-14",4.65
"114","2008-10-15",3.75
"115","2008-10-16",4.14
"116","2008-10-17",3.7
"117","2008-10-20",3.79
"118","2008-10-21",4.02
"119","2008-10-22",3.67
"120","2008-10-23",4.11
"121","2008-10-24",4.02
"122","2008-10-27",3.51
"123","2008-10-28",3.75
"124","2008-10-29",3.88
"125","2008-10-30",4.08
"126","2008-10-31",4.52
"127","2008-11-03",4.3
"128","2008-11-04",4.53
"129","2008-11-05",4.05
"130","2008-11-06",3.89
"131","2008-11-07",3.88
"132","2008-11-10",3.87
"133","2008-11-11",3.28
"134","2008-11-12",3.19
"135","2008-11-13",3.05
"136","2008-11-14",3.25
"137","2008-11-17",3.49
"138","2008-11-18",3.34
"139","2008-11-19",2.83
"140","2008-11-20",2.81
"141","2008-11-21",3.45
"142","2008-11-24",3.69
"143","2008-11-25",3.7
