"","date","ATNI"
"1","2007-01-03",30.799999
"2","2007-01-04",31.120001
"3","2007-01-05",30.620001
"4","2007-01-08",31.33
"5","2007-01-09",31.379999
"6","2007-01-10",30.9
"7","2007-01-11",30.860001
"8","2007-01-12",30.9
"9","2007-01-16",30.809999
"10","2007-01-17",30.18
"11","2007-01-18",27.629999
"12","2007-01-19",27.41
"13","2007-01-22",25.76
"14","2007-01-23",26.6
"15","2007-01-24",28.02
"16","2007-01-25",29.049999
"17","2007-01-26",29.389999
"18","2007-01-29",30.709999
"19","2007-01-30",31
"20","2007-01-31",30.040001
"21","2007-02-01",30.08
"22","2007-02-02",31.030001
"23","2007-02-05",30.76
"24","2007-02-06",30.9
"25","2007-02-07",30.5
"26","2007-02-08",30.6
"27","2007-02-09",30.030001
"28","2007-02-12",29.34
"29","2007-02-13",30.549999
"30","2007-02-14",30
"31","2007-02-15",30.91
"32","2007-02-16",30.92
"33","2007-02-20",30.639999
"34","2007-02-21",29.65
"35","2007-02-22",30.360001
"36","2007-02-23",29.620001
"37","2007-02-26",29.58
"38","2007-02-27",27.120001
"39","2007-02-28",28.200001
"40","2007-03-01",28.33
"41","2007-03-02",25.34
"42","2007-03-05",24.459999
"43","2007-03-06",23.73
"44","2007-03-07",25.15
"45","2007-03-08",25.389999
"46","2007-03-09",25.23
"47","2007-03-12",26.99
"48","2007-03-13",25.809999
"49","2007-03-14",25.65
"50","2007-03-15",25.52
"51","2007-03-16",25.58
"52","2007-03-19",25.379999
"53","2007-03-20",25.99
"54","2007-03-21",26.16
"55","2007-03-22",26.459999
"56","2007-03-23",26.4
"57","2007-03-26",26.23
"58","2007-03-27",26.360001
"59","2007-03-28",26.030001
"60","2007-03-29",25.709999
"61","2007-03-30",26.129999
"62","2007-04-02",25.700001
"63","2007-04-03",25.99
"64","2007-04-04",26.01
"65","2007-04-05",26.309999
"66","2007-04-09",26.5
"67","2007-04-10",25.83
"68","2007-04-11",25.57
"69","2007-04-12",25.790001
"70","2007-04-13",26.15
"71","2007-04-16",26.15
"72","2007-04-17",25.940001
"73","2007-04-18",25.74
"74","2007-04-19",25.59
"75","2007-04-20",25.559999
"76","2007-04-23",25.33
"77","2007-04-24",25.889999
"78","2007-04-25",25.74
"79","2007-04-26",26.09
"80","2007-04-27",25.469999
"81","2007-04-30",25.24
"82","2007-05-01",25.610001
"83","2007-05-02",25.639999
"84","2007-05-03",25.67
"85","2007-05-04",26.32
"86","2007-05-07",27.719999
"87","2007-05-08",28.48
"88","2007-05-09",27.610001
"89","2007-05-10",28.219999
"90","2007-05-11",27.799999
"91","2007-05-14",27.74
"92","2007-05-15",27.77
"93","2007-05-16",26.98
"94","2007-05-17",25.780001
"95","2007-05-18",26.049999
"96","2007-05-21",26.879999
"97","2007-05-22",27.34
"98","2007-05-23",27.290001
