"","date","KBLMU"
"1","2017-06-02",10
"2","2017-06-05",10
"3","2017-06-06",10
"4","2017-06-07",10
"5","2017-06-08",10.0016
"6","2017-06-09",10.01
"7","2017-06-12",10.01
"8","2017-06-13",10.01
"9","2017-06-14",10
"10","2017-06-15",10.01
"11","2017-06-16",10.01
"12","2017-06-19",10.05
"13","2017-06-20",10.01
"14","2017-06-21",10.01
"15","2017-06-22",10.02
"16","2017-06-23",10.04
"17","2017-06-26",10.06
"18","2017-06-27",10.2
"19","2017-06-28",10.25
"20","2017-06-29",10.23
"21","2017-06-30",10.2005
"22","2017-07-03",10.16
"23","2017-07-05",10.17
"24","2017-07-06",10.17
"25","2017-07-07",10.1
"26","2017-07-10",10.17
"27","2017-07-11",10.1699
"28","2017-07-12",10.21
"29","2017-07-13",10.18
"30","2017-07-14",10.2
"31","2017-07-17",10.21
"32","2017-07-18",10.24
"33","2017-07-19",10.24
"34","2017-07-20",10.25
"35","2017-07-21",10.25
"36","2017-07-24",10.25
"37","2017-07-25",10.25
"38","2017-07-26",10.28
"39","2017-07-27",10.27
"40","2017-07-28",10.19
"41","2017-07-31",10.14
"42","2017-08-01",10.2
"43","2017-08-02",10.1992
"44","2017-08-03",10.13
"45","2017-08-04",10.125
"46","2017-08-07",10.1392
"47","2017-08-08",10.1485
"48","2017-08-09",10.2189
"49","2017-08-10",10.1
"50","2017-08-11",10.13
"51","2017-08-14",10.1684
"52","2017-08-15",10.1684
"53","2017-08-16",10.15
"54","2017-08-17",10.15
"55","2017-08-18",10.15
"56","2017-08-21",10.15
"57","2017-08-22",10.15
"58","2017-08-23",10.179
"59","2017-08-24",10.17
"60","2017-08-25",10.17
"61","2017-08-28",10.18
"62","2017-08-29",10.12
"63","2017-08-30",10.12
"64","2017-08-31",10.16
"65","2017-09-01",10.16
"66","2017-09-05",10.16
"67","2017-09-06",10.16
"68","2017-09-07",10.18
"69","2017-09-08",10.2
"70","2017-09-11",10.1689
"71","2017-09-12",10.16
"72","2017-09-13",10.16
"73","2017-09-14",10.16
"74","2017-09-15",10.13
"75","2017-09-18",10.15
"76","2017-09-19",10.1534
"77","2017-09-20",10.1465
"78","2017-09-21",10.15
"79","2017-09-22",10.13
"80","2017-09-25",10.1
"81","2017-09-26",10.15
"82","2017-09-27",10.1499
"83","2017-09-28",10.15
"84","2017-09-29",10.2
"85","2017-10-02",10.16
"86","2017-10-03",10.16
"87","2017-10-04",10.16
"88","2017-10-05",10.17
"89","2017-10-06",10.17
"90","2017-10-09",10.17
"91","2017-10-10",10.17
"92","2017-10-11",10.17
"93","2017-10-12",10.15
"94","2017-10-13",10.17
"95","2017-10-16",10.17
"96","2017-10-17",10.17
"97","2017-10-18",10.16
"98","2017-10-19",10.15
"99","2017-10-20",10.15
"100","2017-10-23",10.15
"101","2017-10-24",10.19
"102","2017-10-25",10.22
"103","2017-10-26",10.2
"104","2017-10-27",10.2
"105","2017-10-30",10.19
"106","2017-10-31",10.17
"107","2017-11-01",10.17
"108","2017-11-02",10.15
"109","2017-11-03",10.15
"110","2017-11-06",10.13
"111","2017-11-07",10.13
"112","2017-11-08",10.11
"113","2017-11-09",10.13
"114","2017-11-10",10.13
"115","2017-11-13",10.24
"116","2017-11-14",10.24
"117","2017-11-15",10.16
"118","2017-11-16",10.19
"119","2017-11-17",10.22
"120","2017-11-20",10.18
"121","2017-11-21",10.11
"122","2017-11-22",10.24
"123","2017-11-24",10.24
"124","2017-11-27",10.25
"125","2017-11-28",10.1792
"126","2017-11-29",10.15
"127","2017-11-30",10.17
"128","2017-12-01",10.18
"129","2017-12-04",10.24
"130","2017-12-05",10.24
"131","2017-12-06",10.22
"132","2017-12-07",10.2
"133","2017-12-08",10.25
"134","2017-12-11",10.25
"135","2017-12-12",10.21
"136","2017-12-13",10.21
"137","2017-12-14",10.21
"138","2017-12-15",10.21
"139","2017-12-18",10.21
"140","2017-12-19",10.21
"141","2017-12-20",10.21
"142","2017-12-21",10.16
