"","date","IRET"
"1","2007-01-03",102.699997
"2","2007-01-04",102.900002
"3","2007-01-05",101.400002
"4","2007-01-08",101.5
"5","2007-01-09",101.699997
"6","2007-01-10",101.900002
"7","2007-01-11",102.699997
"8","2007-01-12",101.599998
"9","2007-01-16",102.400002
"10","2007-01-17",101.199997
"11","2007-01-18",100.400002
"12","2007-01-19",101.699997
"13","2007-01-22",101.300003
"14","2007-01-23",102.199997
"15","2007-01-24",102.400002
"16","2007-01-25",101.900002
"17","2007-01-26",101.699997
"18","2007-01-29",102.099998
"19","2007-01-30",103.5
"20","2007-01-31",103.599998
"21","2007-02-01",104.5
"22","2007-02-02",104.599998
"23","2007-02-05",102.900002
"24","2007-02-06",104.5
"25","2007-02-07",104.900002
"26","2007-02-08",105.199997
"27","2007-02-09",107
"28","2007-02-12",107.599998
"29","2007-02-13",107.800003
"30","2007-02-14",105
"31","2007-02-15",102.599998
"32","2007-02-16",103
"33","2007-02-20",104.900002
"34","2007-02-21",104.199997
"35","2007-02-22",106.699997
"36","2007-02-23",106.900002
"37","2007-02-26",107.199997
"38","2007-02-27",102.099998
"39","2007-02-28",100.5
"40","2007-03-01",100.5
"41","2007-03-02",97.900002
"42","2007-03-05",96.599998
"43","2007-03-06",101.300003
"44","2007-03-07",100.099998
"45","2007-03-08",100.300003
"46","2007-03-09",103
"47","2007-03-12",102.800003
"48","2007-03-13",101.699997
"49","2007-03-14",102.199997
"50","2007-03-15",104.599998
"51","2007-03-16",102.800003
"52","2007-03-19",105.400002
"53","2007-03-20",104.599998
"54","2007-03-21",108.300003
"55","2007-03-22",105.5
"56","2007-03-23",107.900002
"57","2007-03-26",106.300003
"58","2007-03-27",104.5
"59","2007-03-28",103.900002
"60","2007-03-29",104.400002
"61","2007-03-30",105.900002
"62","2007-04-02",106.699997
"63","2007-04-03",109
"64","2007-04-04",109.099998
"65","2007-04-05",107.599998
"66","2007-04-09",105.300003
"67","2007-04-10",106.699997
"68","2007-04-11",107
"69","2007-04-12",106.900002
"70","2007-04-13",108.300003
"71","2007-04-16",110
"72","2007-04-17",109.699997
"73","2007-04-18",108.900002
"74","2007-04-19",106.300003
"75","2007-04-20",107.699997
"76","2007-04-23",108.400002
"77","2007-04-24",108.400002
