"","date","MCFT"
"1","2015-07-17",15.92
"2","2015-07-20",15.11
"3","2015-07-21",15.65
"4","2015-07-22",15.65
"5","2015-07-23",15.67
"6","2015-07-24",15.66
"7","2015-07-27",15.42
"8","2015-07-28",15.47
"9","2015-07-29",15.48
"10","2015-07-30",15.6
"11","2015-07-31",15.3
"12","2015-08-03",15.6
"13","2015-08-04",15.62
"14","2015-08-05",15.43
"15","2015-08-06",15.49
"16","2015-08-07",15.14
"17","2015-08-10",15.25
"18","2015-08-11",14.92
"19","2015-08-12",15.77
"20","2015-08-13",15.79
"21","2015-08-14",16.23
"22","2015-08-17",15.6
"23","2015-08-18",15.25
"24","2015-08-19",15.17
"25","2015-08-20",14.97
"26","2015-08-21",14.94
"27","2015-08-24",15.1
"28","2015-08-25",15.1
"29","2015-08-26",15.29
"30","2015-08-27",14.57
"31","2015-08-28",14.33
"32","2015-08-31",14.9
"33","2015-09-01",15.07
"34","2015-09-02",15.46
"35","2015-09-03",15.17
"36","2015-09-04",14.99
"37","2015-09-08",15.35
"38","2015-09-09",14.99
"39","2015-09-10",15.26
"40","2015-09-11",14.19
"41","2015-09-14",15.09
"42","2015-09-15",13.9
"43","2015-09-16",14.66
"44","2015-09-17",14.39
"45","2015-09-18",13.51
"46","2015-09-21",13.02
"47","2015-09-22",12.58
"48","2015-09-23",12.48
"49","2015-09-24",12.25
"50","2015-09-25",12.17
"51","2015-09-28",11.64
"52","2015-09-29",13.52
"53","2015-09-30",12.96
"54","2015-10-01",12.72
"55","2015-10-02",12.77
"56","2015-10-05",12.69
"57","2015-10-06",13.42
"58","2015-10-07",13.3
"59","2015-10-08",13.52
"60","2015-10-09",13.31
"61","2015-10-12",13.18
"62","2015-10-13",13.46
"63","2015-10-14",13.5
"64","2015-10-15",13.97
"65","2015-10-16",13.73
"66","2015-10-19",13.77
"67","2015-10-20",14.51
"68","2015-10-21",14.49
"69","2015-10-22",14.1
"70","2015-10-23",14.66
"71","2015-10-26",13.66
"72","2015-10-27",13.16
"73","2015-10-28",13.84
"74","2015-10-29",13.57
"75","2015-10-30",13.17
"76","2015-11-02",13.25
"77","2015-11-03",13.84
"78","2015-11-04",13.96
"79","2015-11-05",13.7
"80","2015-11-06",14.4
"81","2015-11-09",14.5
"82","2015-11-10",14.63
"83","2015-11-11",13.81
"84","2015-11-12",13.55
"85","2015-11-13",13.77
"86","2015-11-16",13.57
"87","2015-11-17",13.64
"88","2015-11-18",13.78
"89","2015-11-19",13.23
"90","2015-11-20",13.69
"91","2015-11-23",14.11
"92","2015-11-24",14.15
"93","2015-11-25",14.28
"94","2015-11-27",14.11
"95","2015-11-30",14.35
"96","2015-12-01",14.51
"97","2015-12-02",14.37
"98","2015-12-03",14.19
"99","2015-12-04",13.98
"100","2015-12-07",13.78
"101","2015-12-08",13.86
"102","2015-12-09",14.08
"103","2015-12-10",14.1
"104","2015-12-11",14.03
"105","2015-12-14",13.88
"106","2015-12-15",14.26
"107","2015-12-16",14.74
"108","2015-12-17",14.62
"109","2015-12-18",14.3
"110","2015-12-21",14.13
"111","2015-12-22",14.08
"112","2015-12-23",14.17
"113","2015-12-24",14.15
"114","2015-12-28",13.66
"115","2015-12-29",13.82
"116","2015-12-30",13.52
"117","2015-12-31",13.7
"118","2016-01-04",13.38
"119","2016-01-05",13.6
"120","2016-01-06",13.34
"121","2016-01-07",12.82
"122","2016-01-08",12.52
"123","2016-01-11",13.07
"124","2016-01-12",12.97
"125","2016-01-13",12.86
"126","2016-01-14",12.86
"127","2016-01-15",12.56
"128","2016-01-19",12.86
"129","2016-01-20",12.2
"130","2016-01-21",12.06
"131","2016-01-22",12.05
"132","2016-01-25",12.1
"133","2016-01-26",12.11
"134","2016-01-27",11.95
"135","2016-01-28",11.7
"136","2016-01-29",12.62
"137","2016-02-01",12.08
"138","2016-02-02",11.64
"139","2016-02-03",12.07
"140","2016-02-04",12.27
"141","2016-02-05",11.79
"142","2016-02-08",11.97
"143","2016-02-09",11.51
"144","2016-02-10",11.42
"145","2016-02-11",11.51
"146","2016-02-12",11.19
"147","2016-02-16",11.31
"148","2016-02-17",11.31
"149","2016-02-18",11.26
"150","2016-02-19",11.94
"151","2016-02-22",12.59
"152","2016-02-23",12.6
"153","2016-02-24",12.57
"154","2016-02-25",13.44
"155","2016-02-26",13.27
"156","2016-02-29",13.28
"157","2016-03-01",13.44
"158","2016-03-02",13.3
"159","2016-03-03",13.91
"160","2016-03-04",13.5
"161","2016-03-07",13.97
"162","2016-03-08",13.14
"163","2016-03-09",13.49
"164","2016-03-10",13.25
