"","date","FIVN"
"1","2014-04-04",7.64
"2","2014-04-07",7.11
"3","2014-04-08",7.1
"4","2014-04-09",7.12
"5","2014-04-10",7.27
"6","2014-04-11",7.37
"7","2014-04-14",7.36
"8","2014-04-15",7.8
"9","2014-04-16",7.73
"10","2014-04-17",7.55
"11","2014-04-21",7.13
"12","2014-04-22",7.39
"13","2014-04-23",7.24
"14","2014-04-24",7.05
"15","2014-04-25",6.95
"16","2014-04-28",6.58
"17","2014-04-29",6.98
"18","2014-04-30",7.13
"19","2014-05-01",7.08
"20","2014-05-02",7
"21","2014-05-05",7.04
"22","2014-05-06",6.83
"23","2014-05-07",6.55
"24","2014-05-08",5.96
"25","2014-05-09",5.56
"26","2014-05-12",5.74
"27","2014-05-13",5.6
"28","2014-05-14",5.68
"29","2014-05-15",5.84
"30","2014-05-16",5.7
"31","2014-05-19",6.05
"32","2014-05-20",6.68
"33","2014-05-21",6.72
"34","2014-05-22",6.82
"35","2014-05-23",6.74
"36","2014-05-27",6.64
"37","2014-05-28",6.8
"38","2014-05-29",7.04
"39","2014-05-30",7.49
"40","2014-06-02",7.38
"41","2014-06-03",7.12
"42","2014-06-04",7.04
"43","2014-06-05",7.14
"44","2014-06-06",7.4
"45","2014-06-09",8.03
"46","2014-06-10",7.98
"47","2014-06-11",8.01
"48","2014-06-12",7.95
"49","2014-06-13",7.88
"50","2014-06-16",7.9
"51","2014-06-17",7.92
"52","2014-06-18",7.87
"53","2014-06-19",7.81
"54","2014-06-20",7.27
"55","2014-06-23",6.9
"56","2014-06-24",6.91
"57","2014-06-25",6.67
"58","2014-06-26",6.73
"59","2014-06-27",6.7
"60","2014-06-30",7.2
"61","2014-07-01",6.77
"62","2014-07-02",6.74
"63","2014-07-03",6.98
"64","2014-07-07",7.04
"65","2014-07-08",6.95
"66","2014-07-09",6.9
"67","2014-07-10",6.88
"68","2014-07-11",6.78
"69","2014-07-14",7
"70","2014-07-15",6.94
"71","2014-07-16",6.97
"72","2014-07-17",6.99
"73","2014-07-18",7.25
"74","2014-07-21",7.39
"75","2014-07-22",7.64
"76","2014-07-23",7.37
"77","2014-07-24",7.3
"78","2014-07-25",7.81
"79","2014-07-28",7.75
"80","2014-07-29",7.7
"81","2014-07-30",7.73
"82","2014-07-31",7.28
"83","2014-08-01",7.23
"84","2014-08-04",7.62
"85","2014-08-05",6.58
"86","2014-08-06",6.42
"87","2014-08-07",6.05
"88","2014-08-08",6.2
"89","2014-08-11",6.29
"90","2014-08-12",6.33
"91","2014-08-13",6.35
"92","2014-08-14",6.17
"93","2014-08-15",6.17
"94","2014-08-18",6.15
"95","2014-08-19",5.92
"96","2014-08-20",6.02
"97","2014-08-21",5.95
"98","2014-08-22",6.04
"99","2014-08-25",5.96
"100","2014-08-26",6.09
"101","2014-08-27",5.96
"102","2014-08-28",5.81
"103","2014-08-29",5.87
"104","2014-09-02",5.93
"105","2014-09-03",5.9
"106","2014-09-04",5.8
"107","2014-09-05",6.01
"108","2014-09-08",5.925
"109","2014-09-09",5.76
"110","2014-09-10",5.93
"111","2014-09-11",6
"112","2014-09-12",6.01
"113","2014-09-15",5.99
"114","2014-09-16",6
"115","2014-09-17",6.01
"116","2014-09-18",6.15
"117","2014-09-19",6.04
"118","2014-09-22",6
"119","2014-09-23",5.99
"120","2014-09-24",6.03
"121","2014-09-25",5.99
"122","2014-09-26",6
"123","2014-09-29",5.99
"124","2014-09-30",6.54
"125","2014-10-01",5.99
"126","2014-10-02",6
"127","2014-10-03",5.98
"128","2014-10-06",5.86
"129","2014-10-07",5.65
"130","2014-10-08",5.57
"131","2014-10-09",5.29
"132","2014-10-10",5.16
"133","2014-10-13",4.94
"134","2014-10-14",4.77
"135","2014-10-15",4.71
"136","2014-10-16",4.59
"137","2014-10-17",4.31
"138","2014-10-20",4.49
"139","2014-10-21",4.45
"140","2014-10-22",4.29
"141","2014-10-23",4.35
"142","2014-10-24",4.33
"143","2014-10-27",4.39
"144","2014-10-28",4.39
"145","2014-10-29",4.33
"146","2014-10-30",4.29
