"","date","SAVA"
"1","2007-01-03",62.509998
"2","2007-01-04",62.650002
"3","2007-01-05",60.549999
"4","2007-01-08",61.669998
"5","2007-01-09",61.32
"6","2007-01-10",61.740002
"7","2007-01-11",62.790001
"8","2007-01-12",62.720001
"9","2007-01-16",61.669998
"10","2007-01-17",60.41
"11","2007-01-18",60.900002
"12","2007-01-19",62.439999
"13","2007-01-22",62.439999
"14","2007-01-23",62.720001
"15","2007-01-24",62.93
"16","2007-01-25",60.759998
"17","2007-01-26",62.650002
"18","2007-01-29",63
"19","2007-01-30",62.790001
"20","2007-01-31",63.07
"21","2007-02-01",63.91
"22","2007-02-02",62.860001
"23","2007-02-05",62.02
"24","2007-02-06",61.669998
"25","2007-02-07",62.23
"26","2007-02-08",61.599998
"27","2007-02-09",60.27
"28","2007-02-12",59.080002
"29","2007-02-13",59.57
"30","2007-02-14",59.5
"31","2007-02-15",59.009998
"32","2007-02-16",59.009998
"33","2007-02-20",58.869999
"34","2007-02-21",58.73
"35","2007-02-22",58.099998
"36","2007-02-23",56.700001
"37","2007-02-26",56.209999
"38","2007-02-27",55.02
"39","2007-02-28",55.23
"40","2007-03-01",54.389999
"41","2007-03-02",52.57
"42","2007-03-05",51.029999
"43","2007-03-06",53.48
"44","2007-03-07",52.779999
"45","2007-03-08",51.240002
"46","2007-03-09",51.099998
"47","2007-03-12",51.029999
"48","2007-03-13",50.400002
"49","2007-03-14",49.349998
"50","2007-03-15",51.66
"51","2007-03-16",51.450001
"52","2007-03-19",50.75
"53","2007-03-20",51.029999
"54","2007-03-21",52.220001
"55","2007-03-22",51.799999
"56","2007-03-23",51.799999
"57","2007-03-26",51.029999
"58","2007-03-27",51.029999
"59","2007-03-28",52.009998
"60","2007-03-29",54.389999
"61","2007-03-30",54.880001
"62","2007-04-02",56.139999
"63","2007-04-03",55.650002
"64","2007-04-04",56.560001
"65","2007-04-05",56.349998
"66","2007-04-09",56.419998
"67","2007-04-10",56.139999
"68","2007-04-11",56.84
"69","2007-04-12",56.419998
"70","2007-04-13",57.119999
"71","2007-04-16",58.73
"72","2007-04-17",57.049999
"73","2007-04-18",57.259998
"74","2007-04-19",56.700001
"75","2007-04-20",57.82
"76","2007-04-23",56.77
"77","2007-04-24",56.560001
"78","2007-04-25",56.07
"79","2007-04-26",56
"80","2007-04-27",55.16
"81","2007-04-30",54.389999
"82","2007-05-01",53.549999
"83","2007-05-02",61.529999
"84","2007-05-03",58.939999
"85","2007-05-04",59.5
"86","2007-05-07",60.060001
"87","2007-05-08",60.34
"88","2007-05-09",58.799999
"89","2007-05-10",57.189999
"90","2007-05-11",57.470001
"91","2007-05-14",56.139999
"92","2007-05-15",56.07
"93","2007-05-16",56.279999
"94","2007-05-17",56.490002
"95","2007-05-18",58.310001
"96","2007-05-21",58.939999
"97","2007-05-22",58.869999
"98","2007-05-23",58.310001
"99","2007-05-24",57.189999
"100","2007-05-25",58.169998
