"","date","CUBA"
"1","2007-01-03",15.57
"2","2007-01-04",15.48
"3","2007-01-05",14.01
"4","2007-01-08",12.46
"5","2007-01-09",12.57
"6","2007-01-10",12.25
"7","2007-01-11",12.4
"8","2007-01-12",12.53
"9","2007-01-16",15.01
"10","2007-01-17",17.07
"11","2007-01-18",15.59
"12","2007-01-19",16.41
"13","2007-01-22",17.4
"14","2007-01-23",16.01
"15","2007-01-24",16.27
"16","2007-01-25",15.85
"17","2007-01-26",15.01
"18","2007-01-29",15.45
"19","2007-01-30",15.44
"20","2007-01-31",14.85
"21","2007-02-01",14.79
"22","2007-02-02",14.9
"23","2007-02-05",15.18
"24","2007-02-06",14.6
"25","2007-02-07",13.9
"26","2007-02-08",13.62
"27","2007-02-09",14.07
"28","2007-02-12",13.71
"29","2007-02-13",13.97
"30","2007-02-14",14.52
"31","2007-02-15",14.58
"32","2007-02-16",14
"33","2007-02-20",13.84
"34","2007-02-21",13.72
"35","2007-02-22",13.8
"36","2007-02-23",13.38
"37","2007-02-26",13.21
"38","2007-02-27",12.73
"39","2007-02-28",12.52
"40","2007-03-01",12.25
"41","2007-03-02",12.05
"42","2007-03-05",11.15
"43","2007-03-06",11.46
"44","2007-03-07",11.44
"45","2007-03-08",11.61
"46","2007-03-09",11.65
"47","2007-03-12",12.04
"48","2007-03-13",12.14
"49","2007-03-14",12.01
"50","2007-03-15",11.82
"51","2007-03-16",11.94
"52","2007-03-19",12.15
"53","2007-03-20",12.38
"54","2007-03-21",12.34
"55","2007-03-22",12.52
"56","2007-03-23",12.3
"57","2007-03-26",11.93
"58","2007-03-27",11.81
"59","2007-03-28",11.6
"60","2007-03-29",11.69
"61","2007-03-30",11.85
"62","2007-04-02",11.7
"63","2007-04-03",11.83
"64","2007-04-04",11.68
"65","2007-04-05",11.23
"66","2007-04-09",10.74
"67","2007-04-10",10.55
"68","2007-04-11",10.2
"69","2007-04-12",10.81
"70","2007-04-13",11.07
"71","2007-04-16",11.01
"72","2007-04-17",11.19
"73","2007-04-18",11.1
"74","2007-04-19",11.04
"75","2007-04-20",11.19
"76","2007-04-23",11.03
"77","2007-04-24",11.03
"78","2007-04-25",11.35
"79","2007-04-26",11.38
"80","2007-04-27",11.61
"81","2007-04-30",11.23
"82","2007-05-01",12.56
"83","2007-05-02",12.6
"84","2007-05-03",12.9
"85","2007-05-04",14.25
"86","2007-05-07",13.95
"87","2007-05-08",12.86
"88","2007-05-09",13.06
"89","2007-05-10",13.1
"90","2007-05-11",12.79
"91","2007-05-14",12.75
"92","2007-05-15",12.9
"93","2007-05-16",12.55
"94","2007-05-17",12.92
"95","2007-05-18",13.16
"96","2007-05-21",12.8
"97","2007-05-22",12.38
"98","2007-05-23",12.56
"99","2007-05-24",12.21
"100","2007-05-25",12.41
"101","2007-05-29",12
"102","2007-05-30",12.05
"103","2007-05-31",12.04
"104","2007-06-01",12.5
"105","2007-06-04",12.3
"106","2007-06-05",12.86
"107","2007-06-06",12.93
"108","2007-06-07",12.49
"109","2007-06-08",13.03
"110","2007-06-11",13.26
"111","2007-06-12",13.36
"112","2007-06-13",13.62
"113","2007-06-14",13.55
"114","2007-06-15",13.39
"115","2007-06-18",13.33
"116","2007-06-19",13.8
"117","2007-06-20",13.84
"118","2007-06-21",13.85
"119","2007-06-22",14.19
"120","2007-06-25",14.23
"121","2007-06-26",14.34
"122","2007-06-27",14.1
"123","2007-06-28",14.15
"124","2007-06-29",13.59
"125","2007-07-02",13.15
"126","2007-07-03",13.2
"127","2007-07-05",13.19
"128","2007-07-06",13.56
"129","2007-07-09",14.31
"130","2007-07-10",14.49
"131","2007-07-11",14.23
"132","2007-07-12",14.14
"133","2007-07-13",14.18
"134","2007-07-16",14.18
"135","2007-07-17",14.05
"136","2007-07-18",14.2
"137","2007-07-19",14.3
"138","2007-07-20",14
