"","date","NEU"
"1","2007-01-03",57.349998
"2","2007-01-04",57.630001
"3","2007-01-05",56.209999
"4","2007-01-08",55.619999
"5","2007-01-09",56.509998
"6","2007-01-10",55.5
"7","2007-01-11",57.669998
"8","2007-01-12",58.529999
"9","2007-01-16",57.27
"10","2007-01-17",57.32
"11","2007-01-18",55.91
"12","2007-01-19",54.619999
"13","2007-01-22",53.93
"14","2007-01-23",55.66
"15","2007-01-24",55.619999
"16","2007-01-25",53.790001
"17","2007-01-26",54.040001
"18","2007-01-29",54.889999
"19","2007-01-30",54.700001
"20","2007-01-31",55.700001
"21","2007-02-01",56.799999
"22","2007-02-02",56.200001
"23","2007-02-05",45.900002
"24","2007-02-06",47.330002
"25","2007-02-07",49.380001
"26","2007-02-08",49.029999
"27","2007-02-09",48.599998
"28","2007-02-12",49.830002
"29","2007-02-13",49.18
"30","2007-02-14",49.040001
"31","2007-02-15",48.970001
"32","2007-02-16",48.959999
"33","2007-02-20",48.849998
"34","2007-02-21",48.599998
"35","2007-02-22",48.040001
"36","2007-02-23",47.259998
"37","2007-02-26",46.759998
"38","2007-02-27",43.959999
"39","2007-02-28",43.880001
"40","2007-03-01",43.630001
"41","2007-03-02",42.549999
"42","2007-03-05",41.869999
"43","2007-03-06",43.130001
"44","2007-03-07",42.470001
"45","2007-03-08",43.450001
"46","2007-03-09",43.240002
"47","2007-03-12",42.689999
"48","2007-03-13",41.5
"49","2007-03-14",40.75
"50","2007-03-15",41.189999
"51","2007-03-16",40.380001
"52","2007-03-19",40.779999
"53","2007-03-20",40.790001
"54","2007-03-21",41.959999
"55","2007-03-22",40.82
"56","2007-03-23",40.860001
"57","2007-03-26",40.5
"58","2007-03-27",41.16
"59","2007-03-28",41.75
"60","2007-03-29",41.130001
"61","2007-03-30",40.669998
"62","2007-04-02",40.16
"63","2007-04-03",39.740002
"64","2007-04-04",39.360001
"65","2007-04-05",39.439999
"66","2007-04-09",39.619999
"67","2007-04-10",39.759998
"68","2007-04-11",40.57
"69","2007-04-12",41.650002
"70","2007-04-13",44.400002
"71","2007-04-16",45.439999
