"","date","OSN"
"1","2010-12-21",12.75
"2","2010-12-22",12.75
"3","2010-12-23",12.66
"4","2010-12-27",12.87
"5","2010-12-28",12.63
"6","2010-12-29",14.7
"7","2010-12-30",15
"8","2010-12-31",14.22
"9","2011-01-03",14.94
"10","2011-01-04",14.22
"11","2011-01-05",13.95
"12","2011-01-06",13.71
"13","2011-01-07",13.65
"14","2011-01-10",13.5
"15","2011-01-11",13.68
"16","2011-01-12",13.71
"17","2011-01-13",13.14
"18","2011-01-14",13.62
"19","2011-01-18",13.65
"20","2011-01-19",13.53
"21","2011-01-20",13.53
"22","2011-01-21",12.9
"23","2011-01-24",12.75
"24","2011-01-25",12.57
"25","2011-01-26",12.75
"26","2011-01-27",12.84
"27","2011-01-28",12.75
"28","2011-01-31",12.9
"29","2011-02-01",13.5
"30","2011-02-02",13.5
"31","2011-02-03",13.47
"32","2011-02-04",13.11
"33","2011-02-07",13.2
"34","2011-02-08",13.65
"35","2011-02-09",13.5
"36","2011-02-10",13.44
"37","2011-02-11",13.08
"38","2011-02-14",12.9
"39","2011-02-15",13.05
"40","2011-02-16",13.11
"41","2011-02-17",13.35
"42","2011-02-18",13.47
"43","2011-02-22",13.26
"44","2011-02-23",12.87
"45","2011-02-24",13.11
"46","2011-02-25",13.05
"47","2011-02-28",12.78
"48","2011-03-01",12.72
"49","2011-03-02",12.81
"50","2011-03-03",12.84
"51","2011-03-04",12.63
"52","2011-03-07",12.69
"53","2011-03-08",12.45
"54","2011-03-09",12.03
"55","2011-03-10",11.22
"56","2011-03-11",11.79
"57","2011-03-14",11.25
"58","2011-03-15",10.95
"59","2011-03-16",10.74
"60","2011-03-17",11.1
"61","2011-03-18",10.68
"62","2011-03-21",10.26
"63","2011-03-22",10.8
"64","2011-03-23",10.98
"65","2011-03-24",10.29
"66","2011-03-25",10.23
"67","2011-03-28",10.08
"68","2011-03-29",10.86
"69","2011-03-30",11.1
"70","2011-03-31",10.77
"71","2011-04-01",10.32
"72","2011-04-04",10.32
"73","2011-04-05",10.05
"74","2011-04-06",9.6
"75","2011-04-07",9.51
"76","2011-04-08",8.31
"77","2011-04-11",7.2
"78","2011-04-12",6.63
"79","2011-04-13",8.31
"80","2011-04-14",8.4
"81","2011-04-15",8.04
"82","2011-04-18",8.01
"83","2011-04-19",9.69
"84","2011-04-20",9.96
"85","2011-04-21",10.14
"86","2011-04-25",10.89
"87","2011-04-26",10.56
"88","2011-04-27",10.32
"89","2011-04-28",9.81
"90","2011-04-29",9.63
"91","2011-05-02",9.69
"92","2011-05-03",9.3
"93","2011-05-04",9.12
"94","2011-05-05",9.18
"95","2011-05-06",9.24
"96","2011-05-09",9
"97","2011-05-10",8.91
"98","2011-05-11",9.18
"99","2011-05-12",9.3
"100","2011-05-13",9.42
"101","2011-05-16",9.24
"102","2011-05-17",9.6
"103","2011-05-18",9.54
"104","2011-05-19",9.03
"105","2011-05-20",9.42
"106","2011-05-23",11.61
"107","2011-05-24",10.98
"108","2011-05-25",10.83
"109","2011-05-26",10.32
"110","2011-05-27",10.08
"111","2011-05-31",9.9
"112","2011-06-01",9.27
"113","2011-06-02",9.06
"114","2011-06-03",9.12
"115","2011-06-06",9.15
