"","date","SONM"
"1","2019-05-10",10.99
"2","2019-05-13",11.02
"3","2019-05-14",11.03
"4","2019-05-15",11.12
"5","2019-05-16",11.05
"6","2019-05-17",11.35
"7","2019-05-20",11.96
"8","2019-05-21",12.28
"9","2019-05-22",12.12
"10","2019-05-23",12
"11","2019-05-24",12.05
"12","2019-05-28",13.68
"13","2019-05-29",14.49
"14","2019-05-30",15
"15","2019-05-31",14.28
"16","2019-06-03",14.67
"17","2019-06-04",14.98
"18","2019-06-05",16.799999
"19","2019-06-06",17.110001
"20","2019-06-07",16.129999
"21","2019-06-10",17.129999
"22","2019-06-11",16.92
"23","2019-06-12",17.26
"24","2019-06-13",17.52
"25","2019-06-14",17.559999
"26","2019-06-17",16.08
"27","2019-06-18",16.219999
"28","2019-06-19",16.129999
"29","2019-06-20",14.75
"30","2019-06-21",14.6
"31","2019-06-24",13.58
"32","2019-06-25",13.04
"33","2019-06-26",12.96
"34","2019-06-27",12.77
"35","2019-06-28",12.73
"36","2019-07-01",12.89
"37","2019-07-02",11.81
"38","2019-07-03",11.88
"39","2019-07-05",11.56
"40","2019-07-08",11.38
"41","2019-07-09",11.86
"42","2019-07-10",12.78
"43","2019-07-11",12.7
"44","2019-07-12",13.39
"45","2019-07-15",13.53
"46","2019-07-16",13.89
"47","2019-07-17",13.75
"48","2019-07-18",13.4
"49","2019-07-19",13.42
"50","2019-07-22",13.02
"51","2019-07-23",13.32
"52","2019-07-24",13.98
"53","2019-07-25",13.33
"54","2019-07-26",12.82
"55","2019-07-29",11.68
"56","2019-07-30",11.7
"57","2019-07-31",11.07
"58","2019-08-01",10.48
"59","2019-08-02",9.92
"60","2019-08-05",9.55
"61","2019-08-06",9.4
"62","2019-08-07",8.79
"63","2019-08-08",9
"64","2019-08-09",7.85
"65","2019-08-12",7.41
"66","2019-08-13",8.84
"67","2019-08-14",7.19
"68","2019-08-15",7.1
"69","2019-08-16",7.98
"70","2019-08-19",7.66
"71","2019-08-20",7.52
"72","2019-08-21",8.67
"73","2019-08-22",8.35
"74","2019-08-23",7.9
"75","2019-08-26",8.02
"76","2019-08-27",7.53
"77","2019-08-28",7.58
"78","2019-08-29",7.19
"79","2019-08-30",7.26
"80","2019-09-03",7.14
"81","2019-09-04",7.69
"82","2019-09-05",7.75
"83","2019-09-06",7.08
"84","2019-09-09",7.06
"85","2019-09-10",3.76
"86","2019-09-11",3.79
"87","2019-09-12",3.38
"88","2019-09-13",3.39
"89","2019-09-16",3.37
"90","2019-09-17",3.33
"91","2019-09-18",3.12
"92","2019-09-19",3.29
"93","2019-09-20",3.14
"94","2019-09-23",3.05
"95","2019-09-24",2.94
"96","2019-09-25",2.86
"97","2019-09-26",3.17
"98","2019-09-27",3.09
"99","2019-09-30",2.93
"100","2019-10-01",2.83
"101","2019-10-02",2.88
"102","2019-10-03",2.88
"103","2019-10-04",2.92
"104","2019-10-07",3.15
"105","2019-10-08",2.87
"106","2019-10-09",2.83
"107","2019-10-10",2.85
"108","2019-10-11",2.93
"109","2019-10-14",2.99
"110","2019-10-15",3.11
"111","2019-10-16",3.1
"112","2019-10-17",3.02
"113","2019-10-18",3.01
"114","2019-10-21",3.01
"115","2019-10-22",3.04
"116","2019-10-23",3.03
"117","2019-10-24",2.99
"118","2019-10-25",2.99
"119","2019-10-28",3.01
"120","2019-10-29",3.2
"121","2019-10-30",2.51
"122","2019-10-31",2.39
"123","2019-11-01",2.26
"124","2019-11-04",2.23
"125","2019-11-05",2.27
"126","2019-11-06",2.29
"127","2019-11-07",2.14
"128","2019-11-08",2.43
"129","2019-11-11",2.47
"130","2019-11-12",2.5
"131","2019-11-13",2.48
"132","2019-11-14",2.5
"133","2019-11-15",2.5
"134","2019-11-18",2.47
"135","2019-11-19",2.5
"136","2019-11-20",2.45
"137","2019-11-21",2.48
"138","2019-11-22",2.41
"139","2019-11-25",2.45
"140","2019-11-26",2.27
"141","2019-11-27",2.35
"142","2019-11-29",2.78
"143","2019-12-02",2.48
"144","2019-12-03",2.4
"145","2019-12-04",2.43
"146","2019-12-05",2.33
"147","2019-12-06",2.36
"148","2019-12-09",2.27
"149","2019-12-10",2.33
"150","2019-12-11",2.29
"151","2019-12-12",2.42
"152","2019-12-13",2.46
"153","2019-12-16",2.75
"154","2019-12-17",2.79
"155","2019-12-18",2.84
"156","2019-12-19",3.06
"157","2019-12-20",2.98
"158","2019-12-23",3.33
"159","2019-12-24",3.33
"160","2019-12-26",3.59
"161","2019-12-27",3.67
"162","2019-12-30",3.87
"163","2019-12-31",3.63
"164","2020-01-02",3.52
"165","2020-01-03",3.39
"166","2020-01-06",3.63
"167","2020-01-07",3.6
"168","2020-01-08",3.61
"169","2020-01-09",3.56
"170","2020-01-10",3.61
"171","2020-01-13",3.78
"172","2020-01-14",3.66
"173","2020-01-15",3.63
"174","2020-01-16",3.85
"175","2020-01-17",3.69
"176","2020-01-21",3.66
"177","2020-01-22",3.66
"178","2020-01-23",3.58
"179","2020-01-24",3.48
"180","2020-01-27",3.54
"181","2020-01-28",3.52
"182","2020-01-29",3.43
"183","2020-01-30",3.29
"184","2020-01-31",3.21
"185","2020-02-03",3.24
"186","2020-02-04",3.23
"187","2020-02-05",3.46
"188","2020-02-06",3.47
"189","2020-02-07",3.49
"190","2020-02-10",3.45
"191","2020-02-11",3.26
"192","2020-02-12",3.23
"193","2020-02-13",3.36
"194","2020-02-14",3.35
"195","2020-02-18",3.27
"196","2020-02-19",3.23
"197","2020-02-20",3.15
"198","2020-02-21",3.1
"199","2020-02-24",3.22
"200","2020-02-25",3.19
"201","2020-02-26",3.06
"202","2020-02-27",3
"203","2020-02-28",2.9
"204","2020-03-02",2.83
"205","2020-03-03",2.74
"206","2020-03-04",2.75
"207","2020-03-05",2.62
"208","2020-03-06",2.47
"209","2020-03-09",1.97
"210","2020-03-10",1.93
"211","2020-03-11",0.922
"212","2020-03-12",0.695
"213","2020-03-13",0.635
"214","2020-03-16",0.595
"215","2020-03-17",0.69
"216","2020-03-18",0.684
"217","2020-03-19",0.73
"218","2020-03-20",0.56
"219","2020-03-23",0.633
"220","2020-03-24",0.732
"221","2020-03-25",0.9
"222","2020-03-26",1.01
"223","2020-03-27",0.84
"224","2020-03-30",0.82
"225","2020-03-31",0.7
"226","2020-04-01",0.854
"227","2020-04-02",0.84
"228","2020-04-03",0.757
"229","2020-04-06",0.84
"230","2020-04-07",0.79
"231","2020-04-08",0.81
"232","2020-04-09",0.815
"233","2020-04-13",0.82
"234","2020-04-14",0.79
"235","2020-04-15",0.77
"236","2020-04-16",0.787
