"","date","SPCE"
"1","2017-09-29",10.1
"2","2017-10-02",10.08
"3","2017-10-03",10.1
"4","2017-10-04",10.11
"5","2017-10-05",10.1
"6","2017-10-06",10.132
"7","2017-10-09",10.12
"8","2017-10-10",10.11
"9","2017-10-11",10.09
"10","2017-10-12",10.12
"11","2017-10-13",10.12
"12","2017-10-16",10.13
"13","2017-10-17",10.17
"14","2017-10-18",10.17
"15","2017-10-19",10.15
"16","2017-10-20",10.18
"17","2017-10-23",10.23
"18","2017-10-24",10.24
"19","2017-10-25",10.225
"20","2017-10-26",10.227
"21","2017-10-27",10.25
"22","2017-10-30",10.216
"23","2017-10-31",10.242
"24","2017-11-01",10.269
"25","2017-11-02",10.25
"26","2017-11-03",10.25
"27","2017-11-06",10.249
"28","2017-11-07",10.25
"29","2017-11-08",10.25
"30","2017-11-09",10.21
"31","2017-11-10",10.22
"32","2017-11-13",10.229
"33","2017-11-14",10.2
"34","2017-11-15",10.1
"35","2017-11-16",10.07
"36","2017-11-17",10.035
"37","2017-11-20",9.982
"38","2017-11-21",10
"39","2017-11-22",10
"40","2017-11-24",10.025
"41","2017-11-27",10.02
"42","2017-11-28",10
"43","2017-11-29",9.97
"44","2017-11-30",9.95
"45","2017-12-01",9.94
"46","2017-12-04",9.92
"47","2017-12-05",9.94
"48","2017-12-06",9.92
"49","2017-12-07",9.89
"50","2017-12-08",9.87
"51","2017-12-11",9.9
"52","2017-12-12",9.98
"53","2017-12-13",9.95
"54","2017-12-14",10.03
"55","2017-12-15",10.01
"56","2017-12-18",10.055
"57","2017-12-19",10.01
"58","2017-12-20",10.02
"59","2017-12-21",10.03
"60","2017-12-22",10.04
"61","2017-12-26",10.07
"62","2017-12-27",10.065
"63","2017-12-28",10.05
"64","2017-12-29",10.09
"65","2018-01-02",10.07
"66","2018-01-03",10.06
"67","2018-01-04",10.06
"68","2018-01-05",10.07
"69","2018-01-08",10.07
"70","2018-01-09",10.05
"71","2018-01-10",10.06
"72","2018-01-11",10.06
"73","2018-01-12",10.05
"74","2018-01-16",10.06
"75","2018-01-17",10.03
"76","2018-01-18",10.05
"77","2018-01-19",10.06
"78","2018-01-22",10.08
"79","2018-01-23",10.08
"80","2018-01-24",10.065
"81","2018-01-25",10.05
"82","2018-01-26",10.06
"83","2018-01-29",10.06
"84","2018-01-30",10.05
"85","2018-01-31",10.06
"86","2018-02-01",10.07
"87","2018-02-02",10.04
"88","2018-02-05",10
"89","2018-02-06",9.99
"90","2018-02-07",10
"91","2018-02-08",10
"92","2018-02-09",9.96
"93","2018-02-12",9.98
"94","2018-02-13",10
"95","2018-02-14",9.98
"96","2018-02-15",9.98
