"","date","PHIO"
"1","2012-05-10",21450
"2","2012-05-11",24750
"3","2012-05-14",26400
"4","2012-05-15",24750
"5","2012-05-16",22275
"6","2012-05-17",19800
"7","2012-05-18",18150
"8","2012-05-21",18150
"9","2012-05-22",14850
"10","2012-05-23",18150
"11","2012-05-24",18150
"12","2012-05-25",16500
"13","2012-05-29",14850
"14","2012-05-30",11880
"15","2012-05-31",13200
"16","2012-06-01",13200
"17","2012-06-04",13860
"18","2012-06-05",13200
"19","2012-06-06",13200
"20","2012-06-07",13200
"21","2012-06-08",14025
"22","2012-06-11",13200
"23","2012-06-12",13200
"24","2012-06-13",13530
"25","2012-06-14",13200
"26","2012-06-15",13200
"27","2012-06-18",12045
"28","2012-06-19",13530
"29","2012-06-20",13530
"30","2012-06-21",12870
"31","2012-06-22",14025
"32","2012-06-25",13200
"33","2012-06-26",14025
"34","2012-06-27",14025
"35","2012-06-28",18150
"36","2012-06-29",21450
"37","2012-07-02",24750
"38","2012-07-03",32835
"39","2012-07-05",37125
"40","2012-07-06",30525
"41","2012-07-09",3135
"42","2012-07-10",2970
"43","2012-07-11",2640
"44","2012-07-12",2640
"45","2012-07-13",2805
"46","2012-07-16",2805
"47","2012-07-17",2640
"48","2012-07-18",23925
"49","2012-07-19",22275
"50","2012-07-20",20625
"51","2012-07-23",21450
"52","2012-07-24",21780
"53","2012-07-25",22275
"54","2012-07-26",20625
"55","2012-07-27",20625
"56","2012-07-30",21450
"57","2012-07-31",19800
"58","2012-08-01",19800
"59","2012-08-02",19965
"60","2012-08-03",19800
"61","2012-08-06",19800
"62","2012-08-07",18975
"63","2012-08-08",18150
"64","2012-08-09",17820
"65","2012-08-10",19800
"66","2012-08-13",19800
"67","2012-08-14",18645
"68","2012-08-15",18645
"69","2012-08-16",18150
"70","2012-08-17",19470
"71","2012-08-20",19800
"72","2012-08-21",21450
"73","2012-08-22",21450
"74","2012-08-23",20130
"75","2012-08-24",20625
"76","2012-08-27",21450
"77","2012-08-28",21450
"78","2012-08-29",19800
"79","2012-08-30",19800
"80","2012-08-31",20130
"81","2012-09-04",20295
"82","2012-09-05",19800
"83","2012-09-06",19800
"84","2012-09-07",19635
"85","2012-09-10",18315
"86","2012-09-11",18975
"87","2012-09-12",19635
"88","2012-09-13",19635
"89","2012-09-14",18150
"90","2012-09-17",18480
"91","2012-09-18",19635
"92","2012-09-19",18150
"93","2012-09-20",18150
"94","2012-09-21",18150
"95","2012-09-24",18975
"96","2012-09-25",17655
"97","2012-09-26",17490
"98","2012-09-27",16995
"99","2012-09-28",17490
"100","2012-10-01",18975
"101","2012-10-02",18150
"102","2012-10-03",19140
"103","2012-10-04",18975
"104","2012-10-05",18480
"105","2012-10-08",18480
"106","2012-10-09",18975
"107","2012-10-10",18645
"108","2012-10-11",18480
"109","2012-10-12",18150
"110","2012-10-15",17820
"111","2012-10-16",17325
"112","2012-10-17",17985
"113","2012-10-18",17985
"114","2012-10-19",17325
"115","2012-10-22",17490
"116","2012-10-23",18150
"117","2012-10-24",17160
"118","2012-10-25",16335
"119","2012-10-26",16335
"120","2012-10-31",15675
"121","2012-11-01",16335
"122","2012-11-02",15180
"123","2012-11-05",14355
"124","2012-11-06",15015
"125","2012-11-07",16005
"126","2012-11-08",15840
"127","2012-11-09",15510
"128","2012-11-12",9570
"129","2012-11-13",12375
"130","2012-11-14",13860
