"","date","EPSN"
"1","2007-11-15",3.93
"2","2007-11-16",3.71
"3","2007-11-19",3.71
"4","2007-11-20",3.72
"5","2007-11-21",3.72
"6","2007-11-23",3.72
"7","2007-11-26",3.72
"8","2007-11-27",3.53
"9","2007-11-28",3.53
"10","2007-11-29",3.53
"11","2007-11-30",3.49
"12","2007-12-03",3.49
"13","2007-12-04",3.49
"14","2007-12-05",3.49
"15","2007-12-06",3.23
"16","2007-12-07",3.25
"17","2007-12-10",3.24
"18","2007-12-11",3.24
"19","2007-12-12",3.19
"20","2007-12-13",3.19
"21","2007-12-14",3.11
"22","2007-12-17",3.09
"23","2007-12-18",2.99
"24","2007-12-19",3
"25","2007-12-20",3
"26","2007-12-21",3.02
"27","2007-12-24",3.02
"28","2007-12-26",3.02
"29","2007-12-27",3.06
"30","2007-12-28",3.06
"31","2007-12-31",2.9
"32","2008-01-02",2.9
"33","2008-01-03",3.05
"34","2008-01-04",3.03
"35","2008-01-07",3.24
"36","2008-01-08",3.24
"37","2008-01-09",3.14
"38","2008-01-10",3.08
"39","2008-01-11",3.08
"40","2008-01-14",3.11
"41","2008-01-15",3.06
"42","2008-01-16",2.98
"43","2008-01-17",3.12
"44","2008-01-18",2.94
"45","2008-01-22",2.35
"46","2008-01-23",2.34
"47","2008-01-24",2.47
"48","2008-01-25",2.59
"49","2008-01-28",2.6
"50","2008-01-29",2.39
"51","2008-01-30",2.54
"52","2008-01-31",2.3
"53","2008-02-01",2.3
"54","2008-02-04",2.28
"55","2008-02-05",2.25
"56","2008-02-06",2.25
"57","2008-02-07",2.25
"58","2008-02-08",2.25
"59","2008-02-11",3.46
"60","2008-02-12",3.46
"61","2008-02-13",3.01
"62","2008-02-14",2.72
"63","2008-02-15",2.72
"64","2008-02-19",2.82
"65","2008-02-20",2.82
"66","2008-02-21",2.93
"67","2008-02-22",2.73
"68","2008-02-25",2.73
"69","2008-02-26",2.73
"70","2008-02-27",2.96
"71","2008-02-28",2.96
"72","2008-02-29",2.96
"73","2008-03-03",2.96
"74","2008-03-04",2.96
"75","2008-03-05",2.79
"76","2008-03-06",2.79
"77","2008-03-07",2.89
"78","2008-03-10",2.89
"79","2008-03-11",2.89
"80","2008-03-12",2.89
"81","2008-03-13",2.89
"82","2008-03-14",2.89
"83","2008-03-17",2.89
"84","2008-03-18",2.23
"85","2008-03-19",2.23
"86","2008-03-20",1.96
"87","2008-03-24",1.96
"88","2008-03-25",1.96
"89","2008-03-26",2
"90","2008-03-27",2.17
"91","2008-03-28",2.17
"92","2008-03-31",1.99
"93","2008-04-01",2.51
"94","2008-04-02",2.51
"95","2008-04-03",3.21
"96","2008-04-04",3.21
"97","2008-04-07",3.21
"98","2008-04-08",2.87
"99","2008-04-09",2.87
"100","2008-04-10",2.94
"101","2008-04-11",2.94
"102","2008-04-14",2.84
"103","2008-04-15",3.12
"104","2008-04-16",3.12
"105","2008-04-17",3.03
"106","2008-04-18",2.84
"107","2008-04-21",2.64
"108","2008-04-22",2.64
"109","2008-04-23",2.64
"110","2008-04-24",2.82
"111","2008-04-25",2.82
"112","2008-04-28",2.82
"113","2008-04-29",2.82
"114","2008-04-30",2.82
"115","2008-05-01",2.89
"116","2008-05-02",2.81
"117","2008-05-05",2.81
"118","2008-05-06",2.72
"119","2008-05-07",2.72
"120","2008-05-08",3.07
"121","2008-05-09",3.68
"122","2008-05-12",3.68
"123","2008-05-13",3.53
"124","2008-05-14",3.8
"125","2008-05-15",4.21
"126","2008-05-16",4.6
"127","2008-05-19",4.6
"128","2008-05-20",5.14
"129","2008-05-21",4.97
"130","2008-05-22",4.5
"131","2008-05-23",4.77
"132","2008-05-27",4.78
"133","2008-05-28",5.53
"134","2008-05-29",5.32
"135","2008-05-30",5.35
"136","2008-06-02",5.53
"137","2008-06-03",5.76
"138","2008-06-04",6.05
"139","2008-06-05",6.18
"140","2008-06-06",6.17
"141","2008-06-09",6.12
"142","2008-06-10",5.74
"143","2008-06-11",6.11
"144","2008-06-12",7.26
"145","2008-06-13",7.55
"146","2008-06-16",7.7
"147","2008-06-17",8.08
"148","2008-06-18",8.86
"149","2008-06-19",8.25
"150","2008-06-20",8.61
"151","2008-06-23",8.61
"152","2008-06-24",7.66
"153","2008-06-25",7.26
"154","2008-06-26",7.42
"155","2008-06-27",7.7
"156","2008-06-30",8.21
"157","2008-07-01",8.21
"158","2008-07-02",8.21
"159","2008-07-03",7.2
"160","2008-07-07",6.82
"161","2008-07-08",6.82
"162","2008-07-09",6.82
"163","2008-07-10",7.02
"164","2008-07-11",6.63
"165","2008-07-14",6.84
"166","2008-07-15",7.25
"167","2008-07-16",6.93
"168","2008-07-17",6.85
"169","2008-07-18",7.3
"170","2008-07-21",7.33
"171","2008-07-22",6.79
"172","2008-07-23",6.5
"173","2008-07-24",6.28
"174","2008-07-25",6.56
"175","2008-07-28",6.59
"176","2008-07-29",6.57
"177","2008-07-30",6.5
"178","2008-07-31",6.32
"179","2008-08-01",6.86
"180","2008-08-04",6.86
"181","2008-08-05",6.21
"182","2008-08-06",6.21
"183","2008-08-07",6.21
"184","2008-08-08",6.21
"185","2008-08-11",5.64
"186","2008-08-12",5.62
"187","2008-08-13",5.62
"188","2008-08-14",5.64
"189","2008-08-15",5.2
"190","2008-08-18",5.26
"191","2008-08-19",4.78
"192","2008-08-20",4.78
"193","2008-08-21",5.99
"194","2008-08-22",5.88
"195","2008-08-25",5.88
"196","2008-08-26",6.02
"197","2008-08-27",6.02
"198","2008-08-28",6
"199","2008-08-29",5.5
"200","2008-09-02",5.26
"201","2008-09-03",5.26
"202","2008-09-04",5.26
"203","2008-09-05",4.71
"204","2008-09-08",4.71
"205","2008-09-09",3.9
"206","2008-09-10",3.68
"207","2008-09-11",3.68
"208","2008-09-12",4.26
"209","2008-09-15",3.7
"210","2008-09-16",3.75
"211","2008-09-17",3.6
"212","2008-09-18",3.6
"213","2008-09-19",3.6
"214","2008-09-22",3.6
"215","2008-09-23",4.57
"216","2008-09-24",4.57
"217","2008-09-25",4.57
