"","date","REDU"
"1","2017-10-20",16.610001
"2","2017-10-23",15.14
"3","2017-10-24",14.27
"4","2017-10-25",12.21
"5","2017-10-26",12.3
"6","2017-10-27",13.74
"7","2017-10-30",14.36
"8","2017-10-31",14.14
"9","2017-11-01",12.92
"10","2017-11-02",12.85
"11","2017-11-03",13.33
"12","2017-11-06",13.57
"13","2017-11-07",12.75
"14","2017-11-08",12.31
"15","2017-11-09",12.13
"16","2017-11-10",11.42
"17","2017-11-13",10.81
"18","2017-11-14",10.32
"19","2017-11-15",9.72
"20","2017-11-16",9.89
"21","2017-11-17",10.69
"22","2017-11-20",9.78
"23","2017-11-21",9.75
"24","2017-11-22",10.06
"25","2017-11-24",9.63
"26","2017-11-27",10.59
"27","2017-11-28",9.92
"28","2017-11-29",9.97
"29","2017-11-30",10.17
"30","2017-12-01",10.06
"31","2017-12-04",10.07
"32","2017-12-05",10.37
"33","2017-12-06",10.56
"34","2017-12-07",10.81
"35","2017-12-08",11.15
"36","2017-12-11",11.76
"37","2017-12-12",12.3
"38","2017-12-13",11.97
"39","2017-12-14",12.2
"40","2017-12-15",12.36
"41","2017-12-18",12.34
"42","2017-12-19",12.61
"43","2017-12-20",12.53
"44","2017-12-21",12.55
"45","2017-12-22",12.5
"46","2017-12-26",12.8
"47","2017-12-27",14.24
"48","2017-12-28",14.62
"49","2017-12-29",14.79
"50","2018-01-02",14.88
"51","2018-01-03",15.31
"52","2018-01-04",15.11
"53","2018-01-05",15
"54","2018-01-08",14.94
"55","2018-01-09",14.49
"56","2018-01-10",14.91
"57","2018-01-11",14.98
"58","2018-01-12",14.96
"59","2018-01-16",14.64
"60","2018-01-17",14.96
"61","2018-01-18",14.95
"62","2018-01-19",16.299999
"63","2018-01-22",16.299999
"64","2018-01-23",16.059999
"65","2018-01-24",16.4
"66","2018-01-25",16.34
"67","2018-01-26",16.299999
"68","2018-01-29",16.5
"69","2018-01-30",16.450001
"70","2018-01-31",16.450001
"71","2018-02-01",16.450001
"72","2018-02-02",16
"73","2018-02-05",14
"74","2018-02-06",15.61
"75","2018-02-07",15.8
"76","2018-02-08",15.27
"77","2018-02-09",15.54
"78","2018-02-12",15.97
"79","2018-02-13",16
"80","2018-02-14",16.34
"81","2018-02-15",16.469999
"82","2018-02-16",16.389999
"83","2018-02-20",16.379999
"84","2018-02-21",16.309999
"85","2018-02-22",16.059999
"86","2018-02-23",16.48
"87","2018-02-26",15.92
"88","2018-02-27",16.49
"89","2018-02-28",16.49
"90","2018-03-01",15.55
"91","2018-03-02",15.38
"92","2018-03-05",15.39
"93","2018-03-06",15.84
"94","2018-03-07",15.81
"95","2018-03-08",15.65
"96","2018-03-09",15.67
"97","2018-03-12",17.08
"98","2018-03-13",17.41
"99","2018-03-14",17.08
"100","2018-03-15",16.34
"101","2018-03-16",14.34
"102","2018-03-19",16.48
"103","2018-03-20",16.98
"104","2018-03-21",17.030001
"105","2018-03-22",15.47
"106","2018-03-23",15.83
"107","2018-03-26",14.94
"108","2018-03-27",15.06
"109","2018-03-28",15.1
"110","2018-03-29",15.31
"111","2018-04-02",15.02
"112","2018-04-03",14.88
"113","2018-04-04",15.06
"114","2018-04-05",15.28
"115","2018-04-06",14.95
"116","2018-04-09",15.36
"117","2018-04-10",14.98
"118","2018-04-11",15.39
"119","2018-04-12",15.36
"120","2018-04-13",15.04
"121","2018-04-16",14.93
"122","2018-04-17",14.97
"123","2018-04-18",15.09
"124","2018-04-19",15.82
"125","2018-04-20",16.1
"126","2018-04-23",16.030001
"127","2018-04-24",16.24
"128","2018-04-25",16.450001
"129","2018-04-26",15.72
"130","2018-04-27",15.95
"131","2018-04-30",16.33
"132","2018-05-01",15.6
"133","2018-05-02",15.7
"134","2018-05-03",15.63
"135","2018-05-04",15.58
"136","2018-05-07",15.69
"137","2018-05-08",15.54
"138","2018-05-09",16.02
"139","2018-05-10",16.17
"140","2018-05-11",17.15
"141","2018-05-14",17.209999
"142","2018-05-15",17.75
"143","2018-05-16",17.02
"144","2018-05-17",16.34
"145","2018-05-18",15.87
"146","2018-05-21",16.24
"147","2018-05-22",16.110001
"148","2018-05-23",16.18
"149","2018-05-24",16.030001
"150","2018-05-25",16.02
"151","2018-05-29",15.93
"152","2018-05-30",15.74
"153","2018-05-31",15.69
"154","2018-06-01",16.379999
"155","2018-06-04",16.01
"156","2018-06-05",15.45
"157","2018-06-06",15.02
"158","2018-06-07",14.6
"159","2018-06-08",14.7
"160","2018-06-11",14.5
"161","2018-06-12",14.5
"162","2018-06-13",14
"163","2018-06-14",13.91
"164","2018-06-15",13.91
"165","2018-06-18",15.15
"166","2018-06-19",14.62
"167","2018-06-20",14.69
"168","2018-06-21",14.4
"169","2018-06-22",14.56
"170","2018-06-25",14.32
"171","2018-06-26",14.72
"172","2018-06-27",14.2
"173","2018-06-28",14.08
"174","2018-06-29",14.12
"175","2018-07-02",14.23
"176","2018-07-03",14.51
"177","2018-07-05",14.09
"178","2018-07-06",14.75
"179","2018-07-09",14.57
"180","2018-07-10",13.81
"181","2018-07-11",13.42
"182","2018-07-12",13.74
"183","2018-07-13",13.93
"184","2018-07-16",13.27
"185","2018-07-17",13.14
"186","2018-07-18",13
"187","2018-07-19",12.78
"188","2018-07-20",12.67
"189","2018-07-23",12.98
"190","2018-07-24",13.19
"191","2018-07-25",13.37
"192","2018-07-26",13.14
"193","2018-07-27",13.23
"194","2018-07-30",12.8
"195","2018-07-31",13.28
"196","2018-08-01",13.01
"197","2018-08-02",12.76
"198","2018-08-03",13.12
"199","2018-08-06",12.9
"200","2018-08-07",12.78
"201","2018-08-08",12.76
"202","2018-08-09",12.84
"203","2018-08-10",12.89
"204","2018-08-13",12.6
"205","2018-08-14",11.42
"206","2018-08-15",11.1
"207","2018-08-16",11.13
"208","2018-08-17",11.03
"209","2018-08-20",10.66
"210","2018-08-21",10.29
"211","2018-08-22",10.31
"212","2018-08-23",10.46
"213","2018-08-24",10.29
"214","2018-08-27",10.65
"215","2018-08-28",10.48
"216","2018-08-29",10.44
"217","2018-08-30",9.83
"218","2018-08-31",10.55
"219","2018-09-04",10.25
"220","2018-09-05",9.91
"221","2018-09-06",10
"222","2018-09-07",10.14
"223","2018-09-10",9.89
"224","2018-09-11",9.95
"225","2018-09-12",10.22
"226","2018-09-13",10.62
"227","2018-09-14",10.63
"228","2018-09-17",10.83
"229","2018-09-18",11.09
"230","2018-09-19",11.51
"231","2018-09-20",12.42
"232","2018-09-21",12.24
"233","2018-09-24",12.07
"234","2018-09-25",11.63
"235","2018-09-26",11.51
"236","2018-09-27",11.75
"237","2018-09-28",11.83
"238","2018-10-01",12.26
"239","2018-10-02",11.95
"240","2018-10-03",11.94
"241","2018-10-04",11.67
"242","2018-10-05",11.54
"243","2018-10-08",11.65
"244","2018-10-09",11.46
"245","2018-10-10",10.92
"246","2018-10-11",10.88
"247","2018-10-12",11.47
"248","2018-10-15",11.11
"249","2018-10-16",11.09
"250","2018-10-17",10.88
"251","2018-10-18",10.74
"252","2018-10-19",10.66
"253","2018-10-22",10.69
"254","2018-10-23",10.59
"255","2018-10-24",10.4
"256","2018-10-25",10.79
"257","2018-10-26",10.44
"258","2018-10-29",10.3
"259","2018-10-30",12
"260","2018-10-31",11.37
"261","2018-11-01",11.5
"262","2018-11-02",11.56
"263","2018-11-05",12
"264","2018-11-06",11.62
"265","2018-11-07",11.21
"266","2018-11-08",11.15
"267","2018-11-09",11.01
"268","2018-11-12",11.01
"269","2018-11-13",10.58
"270","2018-11-14",10.83
"271","2018-11-15",10.2
"272","2018-11-16",9.01
