"","date","TKC"
"1","2007-01-03",13.67
"2","2007-01-04",13.45
"3","2007-01-05",13.25
"4","2007-01-08",13.27
"5","2007-01-09",12.7
"6","2007-01-10",12.78
"7","2007-01-11",13.02
"8","2007-01-12",12.96
"9","2007-01-16",12.87
"10","2007-01-17",13.15
"11","2007-01-18",13.81
"12","2007-01-19",14.16
"13","2007-01-22",14.51
"14","2007-01-23",14.33
"15","2007-01-24",14.1
"16","2007-01-25",14.14
"17","2007-01-26",14.68
"18","2007-01-29",14.38
"19","2007-01-30",14.57
"20","2007-01-31",14.46
"21","2007-02-01",14.77
"22","2007-02-02",14.67
"23","2007-02-05",14.5
"24","2007-02-06",14.72
"25","2007-02-07",14.59
"26","2007-02-08",14.53
"27","2007-02-09",14.34
"28","2007-02-12",14.38
"29","2007-02-13",14.5
"30","2007-02-14",14.6
"31","2007-02-15",14.8
"32","2007-02-16",14.68
"33","2007-02-20",14.3
"34","2007-02-21",14.11
"35","2007-02-22",14.44
"36","2007-02-23",14.12
"37","2007-02-26",14.25
"38","2007-02-27",13.1
"39","2007-02-28",13.41
"40","2007-03-01",13.13
"41","2007-03-02",13.08
"42","2007-03-05",12.7
"43","2007-03-06",13.16
"44","2007-03-07",13.15
"45","2007-03-08",13.45
"46","2007-03-09",13.48
"47","2007-03-12",13.69
"48","2007-03-13",13.26
"49","2007-03-14",13.08
"50","2007-03-15",13.08
"51","2007-03-16",13.19
"52","2007-03-19",13.23
"53","2007-03-20",13.19
"54","2007-03-21",13.65
"55","2007-03-22",13.46
"56","2007-03-23",13.34
"57","2007-03-26",13.27
"58","2007-03-27",13.23
"59","2007-03-28",12.95
"60","2007-03-29",13.16
"61","2007-03-30",13.25
"62","2007-04-02",13.21
"63","2007-04-03",13.83
"64","2007-04-04",13.8
"65","2007-04-05",14.02
"66","2007-04-09",14.25
"67","2007-04-10",14.29
"68","2007-04-11",13.89
"69","2007-04-12",13.9
"70","2007-04-13",14.18
"71","2007-04-16",14.24
"72","2007-04-17",14.26
"73","2007-04-18",14.3
"74","2007-04-19",14.61
"75","2007-04-20",14.7
"76","2007-04-23",14.59
"77","2007-04-24",14.5
"78","2007-04-25",15.02
"79","2007-04-26",14.78
"80","2007-04-27",14.83
"81","2007-04-30",14.14
"82","2007-05-01",14.71
"83","2007-05-02",14.82
"84","2007-05-03",15.46
"85","2007-05-04",15.04
"86","2007-05-07",14.99
"87","2007-05-08",14.98
"88","2007-05-09",14.93
"89","2007-05-10",14.92
"90","2007-05-11",15.06
"91","2007-05-14",14.93
