"","date","AX"
"1","2007-01-03",1.7325
"2","2007-01-04",1.7375
"3","2007-01-05",1.725
"4","2007-01-08",1.7325
"5","2007-01-09",1.725
"6","2007-01-10",1.725
"7","2007-01-11",1.73
"8","2007-01-12",1.7225
"9","2007-01-16",1.7175
"10","2007-01-17",1.7225
"11","2007-01-18",1.7225
"12","2007-01-19",1.7225
"13","2007-01-22",1.73
"14","2007-01-23",1.7325
"15","2007-01-24",1.7325
"16","2007-01-25",1.725
"17","2007-01-26",1.725
"18","2007-01-29",1.7275
"19","2007-01-30",1.775
"20","2007-01-31",1.7625
"21","2007-02-01",1.7775
"22","2007-02-02",1.7775
"23","2007-02-05",1.805
"24","2007-02-06",1.805
"25","2007-02-07",1.9825
"26","2007-02-08",1.985
"27","2007-02-09",1.9825
"28","2007-02-12",1.8875
"29","2007-02-13",1.94
"30","2007-02-14",1.9375
"31","2007-02-15",1.985
"32","2007-02-16",1.8775
"33","2007-02-20",1.9075
"34","2007-02-21",1.9
"35","2007-02-22",1.8875
"36","2007-02-23",1.95
"37","2007-02-26",1.9125
"38","2007-02-27",1.855
"39","2007-02-28",1.845
"40","2007-03-01",1.7525
"41","2007-03-02",1.755
"42","2007-03-05",1.725
"43","2007-03-06",1.7575
"44","2007-03-07",1.7575
"45","2007-03-08",1.755
"46","2007-03-09",1.73
"47","2007-03-12",1.7575
"48","2007-03-13",1.74
"49","2007-03-14",1.725
"50","2007-03-15",1.75
"51","2007-03-16",1.8075
"52","2007-03-19",1.7925
"53","2007-03-20",1.7475
"54","2007-03-21",1.7375
"55","2007-03-22",1.7525
"56","2007-03-23",1.75
"57","2007-03-26",1.7475
"58","2007-03-27",1.7475
"59","2007-03-28",1.75
"60","2007-03-29",1.75
"61","2007-03-30",1.78
"62","2007-04-02",1.7475
"63","2007-04-03",1.7475
"64","2007-04-04",1.75
"65","2007-04-05",1.75
"66","2007-04-09",1.765
"67","2007-04-10",1.75
"68","2007-04-11",1.75
"69","2007-04-12",1.75
"70","2007-04-13",1.75
"71","2007-04-16",1.7675
"72","2007-04-17",1.75
"73","2007-04-18",1.765
"74","2007-04-19",1.75
"75","2007-04-20",1.75
"76","2007-04-23",1.7525
"77","2007-04-24",1.7525
"78","2007-04-25",1.75
"79","2007-04-26",1.7775
"80","2007-04-27",1.7525
"81","2007-04-30",1.9175
"82","2007-05-01",1.905
"83","2007-05-02",1.86
"84","2007-05-03",1.8475
