"","date","NTIC"
"1","2007-01-03",4.35
"2","2007-01-04",4.375
"3","2007-01-05",4.375
"4","2007-01-08",4.505
"5","2007-01-09",4.25
"6","2007-01-10",3.865
"7","2007-01-11",3.86
"8","2007-01-12",3.765
"9","2007-01-16",3.705
"10","2007-01-17",3.795
"11","2007-01-18",3.75
"12","2007-01-19",3.755
"13","2007-01-22",3.725
"14","2007-01-23",3.755
"15","2007-01-24",3.73
"16","2007-01-25",3.88
"17","2007-01-26",3.805
"18","2007-01-29",3.88
"19","2007-01-30",3.925
"20","2007-01-31",3.8
"21","2007-02-01",3.775
"22","2007-02-02",3.82
"23","2007-02-05",3.82
"24","2007-02-06",3.9
"25","2007-02-07",3.9
"26","2007-02-08",3.9
"27","2007-02-09",3.9
"28","2007-02-12",3.9
"29","2007-02-13",3.925
"30","2007-02-14",3.925
"31","2007-02-15",3.825
"32","2007-02-16",3.755
"33","2007-02-20",3.875
"34","2007-02-21",3.875
"35","2007-02-22",3.845
"36","2007-02-23",3.9
"37","2007-02-26",3.855
"38","2007-02-27",3.975
"39","2007-02-28",3.97
"40","2007-03-01",3.8
"41","2007-03-02",3.75
"42","2007-03-05",3.995
"43","2007-03-06",3.74
"44","2007-03-07",3.81
"45","2007-03-08",3.815
"46","2007-03-09",3.815
"47","2007-03-12",3.83
"48","2007-03-13",3.75
"49","2007-03-14",3.82
"50","2007-03-15",3.875
"51","2007-03-16",3.75
"52","2007-03-19",3.865
"53","2007-03-20",3.88
"54","2007-03-21",3.86
"55","2007-03-22",3.88
"56","2007-03-23",3.975
"57","2007-03-26",4.075
"58","2007-03-27",4.09
"59","2007-03-28",4.04
"60","2007-03-29",4.13
"61","2007-03-30",4.265
"62","2007-04-02",4.09
"63","2007-04-03",4.12
"64","2007-04-04",4.085
"65","2007-04-05",4.09
"66","2007-04-09",4.15
"67","2007-04-10",4.15
"68","2007-04-11",4.075
"69","2007-04-12",4.05
"70","2007-04-13",4
"71","2007-04-16",4.02
"72","2007-04-17",4.075
"73","2007-04-18",4.03
"74","2007-04-19",4.03
"75","2007-04-20",4.075
"76","2007-04-23",4.125
"77","2007-04-24",4.045
"78","2007-04-25",4
"79","2007-04-26",4
"80","2007-04-27",4
"81","2007-04-30",4.1
"82","2007-05-01",4.025
"83","2007-05-02",4.15
"84","2007-05-03",4
"85","2007-05-04",4.05
"86","2007-05-07",4
"87","2007-05-08",4
"88","2007-05-09",4
"89","2007-05-10",4.1
"90","2007-05-11",4.125
"91","2007-05-14",4.25
"92","2007-05-15",4.25
"93","2007-05-16",4.3
"94","2007-05-17",4.3
"95","2007-05-18",4.35
"96","2007-05-21",4.495
"97","2007-05-22",4.25
"98","2007-05-23",4.45
"99","2007-05-24",4.495
"100","2007-05-25",4.4
"101","2007-05-29",4.475
"102","2007-05-30",4.5
"103","2007-05-31",4.5
"104","2007-06-01",4.5
"105","2007-06-04",4.5
"106","2007-06-05",4.455
"107","2007-06-06",4.545
"108","2007-06-07",4.35
"109","2007-06-08",4.6
"110","2007-06-11",4.6
"111","2007-06-12",4.6
"112","2007-06-13",4.7
"113","2007-06-14",4.365
"114","2007-06-15",4.6
"115","2007-06-18",4.75
"116","2007-06-19",5.05
"117","2007-06-20",4.85
"118","2007-06-21",4.75
"119","2007-06-22",4.655
"120","2007-06-25",4.725
"121","2007-06-26",4.825
"122","2007-06-27",4.75
"123","2007-06-28",4.85
