"","date","SYY"
"1","2007-01-03",36.080002
"2","2007-01-04",36
"3","2007-01-05",35.889999
"4","2007-01-08",35.580002
"5","2007-01-09",35.790001
"6","2007-01-10",35.700001
"7","2007-01-11",35.939999
"8","2007-01-12",35.509998
"9","2007-01-16",35.740002
"10","2007-01-17",35.740002
"11","2007-01-18",36.049999
"12","2007-01-19",36.220001
"13","2007-01-22",36.110001
"14","2007-01-23",36.18
"15","2007-01-24",36.720001
"16","2007-01-25",36.349998
"17","2007-01-26",36.099998
"18","2007-01-29",34.02
"19","2007-01-30",34.34
"20","2007-01-31",34.549999
"21","2007-02-01",34.77
"22","2007-02-02",35.099998
"23","2007-02-05",34.779999
"24","2007-02-06",34.900002
"25","2007-02-07",34.360001
"26","2007-02-08",34.200001
"27","2007-02-09",33.98
"28","2007-02-12",34.150002
"29","2007-02-13",34.240002
"30","2007-02-14",34.34
"31","2007-02-15",34.43
"32","2007-02-16",34.669998
"33","2007-02-20",35.07
"34","2007-02-21",34.459999
"35","2007-02-22",33.77
"36","2007-02-23",33.75
"37","2007-02-26",33.580002
"38","2007-02-27",32.610001
"39","2007-02-28",32.959999
"40","2007-03-01",32.709999
"41","2007-03-02",32
"42","2007-03-05",31.780001
"43","2007-03-06",31.68
"44","2007-03-07",31.73
"45","2007-03-08",31.99
"46","2007-03-09",32.209999
"47","2007-03-12",32.25
"48","2007-03-13",31.67
"49","2007-03-14",32.200001
"50","2007-03-15",32.549999
"51","2007-03-16",32.439999
"52","2007-03-19",32.720001
"53","2007-03-20",32.57
"54","2007-03-21",32.880001
"55","2007-03-22",32.66
"56","2007-03-23",32.959999
"57","2007-03-26",33.669998
"58","2007-03-27",33.450001
"59","2007-03-28",33.470001
"60","2007-03-29",33.740002
"61","2007-03-30",33.830002
"62","2007-04-02",33.700001
"63","2007-04-03",33.810001
"64","2007-04-04",33.419998
"65","2007-04-05",33.25
"66","2007-04-09",33.439999
"67","2007-04-10",34.099998
"68","2007-04-11",33.799999
"69","2007-04-12",33.970001
"70","2007-04-13",33.869999
"71","2007-04-16",33.830002
"72","2007-04-17",33.860001
"73","2007-04-18",33.459999
"74","2007-04-19",33.34
"75","2007-04-20",33.689999
"76","2007-04-23",33.75
"77","2007-04-24",33.400002
"78","2007-04-25",33.5
"79","2007-04-26",34.689999
"80","2007-04-27",34.32
"81","2007-04-30",32.740002
"82","2007-05-01",32.209999
"83","2007-05-02",33.139999
"84","2007-05-03",34.110001
"85","2007-05-04",33.650002
"86","2007-05-07",33.57
"87","2007-05-08",33.48
"88","2007-05-09",33.43
"89","2007-05-10",32.849998
"90","2007-05-11",32.759998
"91","2007-05-14",33.279999
"92","2007-05-15",32.91
"93","2007-05-16",33.740002
"94","2007-05-17",33.209999
"95","2007-05-18",33.560001
"96","2007-05-21",32.950001
"97","2007-05-22",32.900002
"98","2007-05-23",33.220001
"99","2007-05-24",33.169998
"100","2007-05-25",33.099998
"101","2007-05-29",33.049999
"102","2007-05-30",33.16
"103","2007-05-31",33.119999
"104","2007-06-01",33.290001
"105","2007-06-04",33.5
"106","2007-06-05",32.82
