"","date","QDEL"
"1","2007-01-03",13.52
"2","2007-01-04",12.97
"3","2007-01-05",12.98
"4","2007-01-08",13
"5","2007-01-09",12.85
"6","2007-01-10",13.37
"7","2007-01-11",13.39
"8","2007-01-12",13.66
"9","2007-01-16",13.66
"10","2007-01-17",13.85
"11","2007-01-18",13.77
"12","2007-01-19",13.96
"13","2007-01-22",13.37
"14","2007-01-23",13.25
"15","2007-01-24",13.16
"16","2007-01-25",12.77
"17","2007-01-26",13.21
"18","2007-01-29",13
"19","2007-01-30",13.18
"20","2007-01-31",13.59
"21","2007-02-01",13.42
"22","2007-02-02",13.22
"23","2007-02-05",13.41
"24","2007-02-06",13.36
"25","2007-02-07",13.53
"26","2007-02-08",13.4
"27","2007-02-09",13.35
"28","2007-02-12",13.77
"29","2007-02-13",13.86
"30","2007-02-14",13.92
"31","2007-02-15",13.29
"32","2007-02-16",11.8
"33","2007-02-20",12.02
"34","2007-02-21",12.1
"35","2007-02-22",12.57
"36","2007-02-23",11.7
"37","2007-02-26",11.03
"38","2007-02-27",10.7
"39","2007-02-28",10.77
"40","2007-03-01",10.64
"41","2007-03-02",10.37
"42","2007-03-05",10.2
"43","2007-03-06",10.62
"44","2007-03-07",10.83
"45","2007-03-08",10.72
"46","2007-03-09",10.79
"47","2007-03-12",11.18
"48","2007-03-13",10.9
"49","2007-03-14",10.85
"50","2007-03-15",10.99
"51","2007-03-16",10.91
"52","2007-03-19",10.93
"53","2007-03-20",10.79
"54","2007-03-21",10.8
"55","2007-03-22",10.97
"56","2007-03-23",11.07
"57","2007-03-26",11.17
"58","2007-03-27",12
"59","2007-03-28",12.05
"60","2007-03-29",12.05
"61","2007-03-30",12
"62","2007-04-02",12.28
"63","2007-04-03",12.18
"64","2007-04-04",12.44
"65","2007-04-05",12.46
"66","2007-04-09",12.37
"67","2007-04-10",12.55
"68","2007-04-11",12.5
"69","2007-04-12",12.56
"70","2007-04-13",12.61
"71","2007-04-16",13.03
"72","2007-04-17",13.04
"73","2007-04-18",13.31
"74","2007-04-19",13.03
"75","2007-04-20",13.49
"76","2007-04-23",13.16
"77","2007-04-24",13.27
"78","2007-04-25",13.18
"79","2007-04-26",13.4
"80","2007-04-27",14.26
"81","2007-04-30",13.98
"82","2007-05-01",14.12
"83","2007-05-02",14
"84","2007-05-03",13.95
"85","2007-05-04",14.11
"86","2007-05-07",13.97
"87","2007-05-08",13.72
"88","2007-05-09",13.64
"89","2007-05-10",13.31
"90","2007-05-11",13.64
"91","2007-05-14",13.47
"92","2007-05-15",13.3
"93","2007-05-16",13.64
"94","2007-05-17",13.33
"95","2007-05-18",13.61
"96","2007-05-21",14.06
"97","2007-05-22",14.07
"98","2007-05-23",13.96
"99","2007-05-24",13.97
"100","2007-05-25",14.02
"101","2007-05-29",14.27
"102","2007-05-30",14.82
"103","2007-05-31",14.7
"104","2007-06-01",14.57
"105","2007-06-04",14.46
"106","2007-06-05",14.28
"107","2007-06-06",14.01
"108","2007-06-07",13.66
"109","2007-06-08",13.82
"110","2007-06-11",13.8
"111","2007-06-12",13.25
"112","2007-06-13",13.9
"113","2007-06-14",14.2
"114","2007-06-15",14.57
"115","2007-06-18",15.51
"116","2007-06-19",15.28
"117","2007-06-20",15.32
"118","2007-06-21",15.68
"119","2007-06-22",15.4
"120","2007-06-25",16.24
"121","2007-06-26",17.1
"122","2007-06-27",17.4
"123","2007-06-28",17.559999
"124","2007-06-29",17.559999
"125","2007-07-02",17.92
"126","2007-07-03",18.129999
