"","date","NXPI"
"1","2010-08-06",14
"2","2010-08-09",14
"3","2010-08-10",13.6
"4","2010-08-11",12.75
"5","2010-08-12",12.39
"6","2010-08-13",12
"7","2010-08-16",11.78
"8","2010-08-17",12.22
"9","2010-08-18",12
"10","2010-08-19",11.55
"11","2010-08-20",11.15
"12","2010-08-23",10.98
"13","2010-08-24",10.68
"14","2010-08-25",10.75
"15","2010-08-26",11
"16","2010-08-27",11.11
"17","2010-08-30",11.1
"18","2010-08-31",11.08
"19","2010-09-01",11.73
"20","2010-09-02",11.87
"21","2010-09-03",11.89
"22","2010-09-07",12.03
"23","2010-09-08",12.16
"24","2010-09-09",11.9
"25","2010-09-10",11.98
"26","2010-09-13",11.94
"27","2010-09-14",12.24
"28","2010-09-15",12.47
"29","2010-09-16",12.02
"30","2010-09-17",12.08
"31","2010-09-20",12.69
"32","2010-09-21",12.51
"33","2010-09-22",12.18
"34","2010-09-23",12
"35","2010-09-24",12.22
"36","2010-09-27",12.25
"37","2010-09-28",12.61
"38","2010-09-29",12.55
"39","2010-09-30",12.39
"40","2010-10-01",12.36
"41","2010-10-04",12.35
"42","2010-10-05",12.35
"43","2010-10-06",12.47
"44","2010-10-07",11.85
"45","2010-10-08",11.98
"46","2010-10-11",12.05
"47","2010-10-12",12.3
"48","2010-10-13",12.07
"49","2010-10-14",12.15
"50","2010-10-15",11.94
"51","2010-10-18",12.24
"52","2010-10-19",12.11
"53","2010-10-20",12.2
"54","2010-10-21",12.25
"55","2010-10-22",12.33
"56","2010-10-25",12.37
"57","2010-10-26",12.28
"58","2010-10-27",12.77
"59","2010-10-28",13.19
"60","2010-10-29",13.19
"61","2010-11-01",12.69
"62","2010-11-02",13.27
"63","2010-11-03",13.64
"64","2010-11-04",13.97
"65","2010-11-05",13.97
"66","2010-11-08",13.77
"67","2010-11-09",13.63
"68","2010-11-10",13.32
"69","2010-11-11",12.86
"70","2010-11-12",12.82
"71","2010-11-15",12.98
"72","2010-11-16",12.84
"73","2010-11-17",12.8
"74","2010-11-18",12.9
"75","2010-11-19",12.9
"76","2010-11-22",12.99
"77","2010-11-23",12.8
"78","2010-11-24",12.66
"79","2010-11-26",12.83
"80","2010-11-29",12.73
"81","2010-11-30",12.58
"82","2010-12-01",13.26
"83","2010-12-02",13.98
"84","2010-12-03",16.139999
"85","2010-12-06",15.94
"86","2010-12-07",16.370001
"87","2010-12-08",18.440001
"88","2010-12-09",19.129999
"89","2010-12-10",19.950001
"90","2010-12-13",18.860001
"91","2010-12-14",18.73
"92","2010-12-15",18.33
"93","2010-12-16",18.440001
"94","2010-12-17",18.110001
"95","2010-12-20",18.6
"96","2010-12-21",19.25
"97","2010-12-22",20.25
"98","2010-12-23",20.09
"99","2010-12-27",20.200001
"100","2010-12-28",20.290001
"101","2010-12-29",20.709999
"102","2010-12-30",20.700001
"103","2010-12-31",20.93
"104","2011-01-03",21.43
"105","2011-01-04",22.01
"106","2011-01-05",23.379999
"107","2011-01-06",23.24
"108","2011-01-07",22.92
"109","2011-01-10",23.42
"110","2011-01-11",24
"111","2011-01-12",23.6
"112","2011-01-13",23.33
"113","2011-01-14",23.389999
"114","2011-01-18",23.58
"115","2011-01-19",22.959999
"116","2011-01-20",21.67
"117","2011-01-21",21.969999
"118","2011-01-24",22.65
"119","2011-01-25",24.280001
"120","2011-01-26",25.99
"121","2011-01-27",26.08
"122","2011-01-28",24.57
"123","2011-01-31",25.74
