"","date","IVA"
"1","2020-07-10",13.42
"2","2020-07-13",10.85
"3","2020-07-14",9.87
"4","2020-07-15",11.2
"5","2020-07-16",11.39
"6","2020-07-17",11.27
"7","2020-07-20",11.22
"8","2020-07-21",11.26
"9","2020-07-22",10.84
"10","2020-07-23",11.08
"11","2020-07-24",10.52
"12","2020-07-27",10.75
"13","2020-07-28",10.91
"14","2020-07-29",10.74
"15","2020-07-30",10.15
"16","2020-07-31",10.19
"17","2020-08-03",10.24
"18","2020-08-04",10.5
"19","2020-08-05",10.67
"20","2020-08-06",11.36
"21","2020-08-07",11.87
"22","2020-08-10",12.2
"23","2020-08-11",11.95
"24","2020-08-12",12.3
"25","2020-08-13",11.7
"26","2020-08-14",11.9
"27","2020-08-17",11.92
"28","2020-08-18",12.03
"29","2020-08-19",11.9
"30","2020-08-20",11.72
"31","2020-08-21",11.89
"32","2020-08-24",12.05
"33","2020-08-25",12.1
"34","2020-08-26",12.17
"35","2020-08-27",11.83
"36","2020-08-28",12
"37","2020-08-31",12.57
"38","2020-09-01",12
"39","2020-09-02",11.715
"40","2020-09-03",11.8
"41","2020-09-04",11.68
"42","2020-09-08",11.55
"43","2020-09-09",11.46
"44","2020-09-10",11.51
"45","2020-09-11",11.8
"46","2020-09-14",11.5
"47","2020-09-15",11.3
"48","2020-09-16",11.29
"49","2020-09-17",12.074
"50","2020-09-18",11.44
"51","2020-09-21",11.45
"52","2020-09-22",11.25
"53","2020-09-23",11.5
"54","2020-09-24",11.51
"55","2020-09-25",11.28
"56","2020-09-28",11.09
"57","2020-09-29",11.305
"58","2020-09-30",11.82
"59","2020-10-01",12.1
"60","2020-10-02",12
"61","2020-10-05",12.4
"62","2020-10-06",12.55
"63","2020-10-07",13.265
"64","2020-10-08",13.28
"65","2020-10-09",13.24
"66","2020-10-12",13.65
"67","2020-10-13",13.78
"68","2020-10-14",13.96
"69","2020-10-15",14.01
"70","2020-10-16",14.37
"71","2020-10-19",13.7
"72","2020-10-20",14.105
"73","2020-10-21",14.5
"74","2020-10-22",14.06
"75","2020-10-23",13.95
"76","2020-10-26",12.615
"77","2020-10-27",12.27
"78","2020-10-28",11.35
"79","2020-10-29",11.35
"80","2020-10-30",12.9
"81","2020-11-02",12.84
"82","2020-11-03",12.8
"83","2020-11-04",12.92
"84","2020-11-05",13.3
"85","2020-11-06",13.28
"86","2020-11-09",12.7
"87","2020-11-10",12.85
"88","2020-11-11",13.7
"89","2020-11-12",13.025
"90","2020-11-13",13.89
"91","2020-11-16",14
"92","2020-11-17",13.8
"93","2020-11-18",13.8
"94","2020-11-19",13.21
"95","2020-11-20",13.42
"96","2020-11-23",13.61
"97","2020-11-24",13.35
"98","2020-11-25",13.015
"99","2020-11-27",12.95
