"","date","QRTEA"
"1","2007-01-03",17.969543
"2","2007-01-04",18.722504
"3","2007-01-05",18.417936
"4","2007-01-08",18.367174
"5","2007-01-09",18.747885
"6","2007-01-10",19.128595
"7","2007-01-11",19.881557
"8","2007-01-12",19.737732
"9","2007-01-16",19.856176
"10","2007-01-17",20.626057
"11","2007-01-18",20.651438
"12","2007-01-19",20.516075
"13","2007-01-22",20.304569
"14","2007-01-23",20.321489
"15","2007-01-24",20.964466
"16","2007-01-25",20.651438
"17","2007-01-26",20.549915
"18","2007-01-29",20.35533
"19","2007-01-30",20.389172
"20","2007-01-31",20.617598
"21","2007-02-01",20.566835
"22","2007-02-02",20.634518
"23","2007-02-05",20.516075
"24","2007-02-06",20.389172
"25","2007-02-07",20.837563
"26","2007-02-08",20.473774
"27","2007-02-09",19.856176
"28","2007-02-12",19.737732
"29","2007-02-13",19.830795
"30","2007-02-14",19.830795
"31","2007-02-15",20.321489
"32","2007-02-16",20.600677
"33","2007-02-20",20.549915
"34","2007-02-21",20.507614
"35","2007-02-22",20.363791
"36","2007-02-23",20.211506
"37","2007-02-26",20.423012
"38","2007-02-27",19.373943
"39","2007-02-28",19.940779
"40","2007-03-01",19.881557
"41","2007-03-02",19.162437
"42","2007-03-05",19.120136
"43","2007-03-06",19.043993
"44","2007-03-07",18.790186
"45","2007-03-08",18.984772
"46","2007-03-09",18.756346
"47","2007-03-12",18.680202
"48","2007-03-13",18.138748
"49","2007-03-14",18.570219
"50","2007-03-15",18.392555
"51","2007-03-16",18.307953
"52","2007-03-19",18.773266
"53","2007-03-20",19.170897
"54","2007-03-21",19.932318
"55","2007-03-22",19.847715
"56","2007-03-23",19.788494
"57","2007-03-26",20.439932
"58","2007-03-27",20.363791
"59","2007-03-28",20.219967
"60","2007-03-29",20.35533
"61","2007-03-30",20.152285
"62","2007-04-02",19.856176
"63","2007-04-03",20.600677
"64","2007-04-04",20.423012
"65","2007-04-05",20.981388
"66","2007-04-09",20.321489
"67","2007-04-10",20.566835
"68","2007-04-11",20.313028
"69","2007-04-12",20.465313
"70","2007-04-13",20.473774
"71","2007-04-16",20.896786
"72","2007-04-17",20.761421
"73","2007-04-18",20.541454
"74","2007-04-19",20.329948
"75","2007-04-20",20.439932
"76","2007-04-23",20.947546
"77","2007-04-24",20.981388
"78","2007-04-25",21.548223
"79","2007-04-26",21.658207
