"","date","CKPT"
"1","2016-12-19",5
"2","2016-12-20",8
"3","2016-12-21",8
"4","2016-12-22",8
"5","2016-12-23",8
"6","2016-12-27",8
"7","2016-12-28",8
"8","2016-12-29",8
"9","2016-12-30",8
"10","2017-01-03",8
"11","2017-01-04",13.5
"12","2017-01-05",13.5
"13","2017-01-06",13.5
"14","2017-01-09",13.5
"15","2017-01-10",13.5
"16","2017-01-11",15
"17","2017-01-12",15
"18","2017-01-13",14
"19","2017-01-17",14
"20","2017-01-18",14
"21","2017-01-19",9.5
"22","2017-01-20",11
"23","2017-01-23",11
"24","2017-01-24",11
"25","2017-01-25",11
"26","2017-01-26",11
"27","2017-01-27",11.25
"28","2017-01-30",11
"29","2017-01-31",10.75
"30","2017-02-01",8
"31","2017-02-02",9
"32","2017-02-03",9
"33","2017-02-06",10
"34","2017-02-07",10
"35","2017-02-08",9
"36","2017-02-09",9
"37","2017-02-10",9
"38","2017-02-13",9
"39","2017-02-14",9
"40","2017-02-15",9
"41","2017-02-16",9
"42","2017-02-17",10.5
"43","2017-02-21",10.5
"44","2017-02-22",10.5
"45","2017-02-23",10.5
"46","2017-02-24",10.5
"47","2017-02-27",10.5
"48","2017-02-28",15
"49","2017-03-01",13
"50","2017-03-02",13
"51","2017-03-03",13
"52","2017-03-06",13
"53","2017-03-07",13
"54","2017-03-08",13
"55","2017-03-09",13.25
"56","2017-03-10",13
"57","2017-03-13",13
"58","2017-03-14",13
"59","2017-03-15",13
"60","2017-03-16",13
"61","2017-03-17",13
"62","2017-03-20",13
"63","2017-03-21",13
"64","2017-03-22",12.75
"65","2017-03-23",12.75
"66","2017-03-24",12.75
"67","2017-03-27",12.75
"68","2017-03-28",12.75
"69","2017-03-29",12.75
"70","2017-03-30",12.5
"71","2017-03-31",12.5
"72","2017-04-03",12.5
"73","2017-04-04",12.5
"74","2017-04-05",12.5
"75","2017-04-06",12.5
"76","2017-04-07",12.5
"77","2017-04-10",12.5
"78","2017-04-11",12.5
"79","2017-04-12",12.5
"80","2017-04-13",12.5
"81","2017-04-17",12.5
"82","2017-04-18",12.5
"83","2017-04-19",12.5
"84","2017-04-20",12.5
"85","2017-04-21",12.5
"86","2017-04-24",12.5
"87","2017-04-25",12.5
"88","2017-04-26",12.5
"89","2017-04-27",12.5
"90","2017-04-28",12.5
"91","2017-05-01",12.5
"92","2017-05-02",12.5
"93","2017-05-03",12.5
"94","2017-05-04",12.5
"95","2017-05-05",13
"96","2017-05-08",13
"97","2017-05-09",12
"98","2017-05-10",11.35
"99","2017-05-11",11
"100","2017-05-12",11
"101","2017-05-15",10.75
"102","2017-05-16",10.75
"103","2017-05-17",10.75
"104","2017-05-18",10.75
"105","2017-05-19",10.75
"106","2017-05-22",10.75
"107","2017-05-23",10.75
"108","2017-05-24",10.25
"109","2017-05-25",10.25
"110","2017-05-26",10.25
"111","2017-05-30",10
"112","2017-05-31",10.125
"113","2017-06-01",10
"114","2017-06-02",10
"115","2017-06-05",10
"116","2017-06-06",10
"117","2017-06-07",9.75
"118","2017-06-08",9.75
"119","2017-06-09",9.8
"120","2017-06-12",9.8
"121","2017-06-13",10.5
"122","2017-06-14",9.75
"123","2017-06-15",9.75
"124","2017-06-16",9.75
"125","2017-06-19",9.75
"126","2017-06-20",9.75
"127","2017-06-21",9.75
"128","2017-06-22",9.75
"129","2017-06-23",10
"130","2017-06-26",10
"131","2017-06-27",9.95
"132","2017-06-28",10
"133","2017-06-29",9.5
"134","2017-06-30",9.95
"135","2017-07-03",9.75
"136","2017-07-05",10
"137","2017-07-06",9.75
"138","2017-07-07",9.75
"139","2017-07-10",9.75
"140","2017-07-11",9.5
"141","2017-07-12",9.5
"142","2017-07-13",9.5
"143","2017-07-14",9
"144","2017-07-17",9.1
"145","2017-07-18",9
"146","2017-07-19",9
"147","2017-07-20",7.67
"148","2017-07-21",9.25
"149","2017-07-24",9
"150","2017-07-25",8.6
"151","2017-07-26",9
"152","2017-07-27",9
"153","2017-07-28",9.2
"154","2017-07-31",9.3
"155","2017-08-01",9.4
"156","2017-08-02",9.4
"157","2017-08-03",9.292
"158","2017-08-04",9
"159","2017-08-07",9
"160","2017-08-08",9
"161","2017-08-09",9
"162","2017-08-10",8.71
"163","2017-08-11",8.422
"164","2017-08-14",8.422
"165","2017-08-15",8.422
"166","2017-08-16",8.25
"167","2017-08-17",8.25
"168","2017-08-18",8
"169","2017-08-21",8
"170","2017-08-22",8.491
"171","2017-08-23",7.773
"172","2017-08-24",7.72
