"","date","OPGN"
"1","2015-05-05",2425
"2","2015-05-06",2325
"3","2015-05-07",2325
"4","2015-05-08",2200
"5","2015-05-11",2075
"6","2015-05-12",1975
"7","2015-05-13",1955
"8","2015-05-14",1950
"9","2015-05-15",1995
"10","2015-05-18",1980
"11","2015-05-19",1915
"12","2015-05-20",1725
"13","2015-05-21",1680
"14","2015-05-22",1700
"15","2015-05-26",1825
"16","2015-05-27",1765
"17","2015-05-28",1950
"18","2015-05-29",1995
"19","2015-06-01",2060
"20","2015-06-02",2200
"21","2015-06-03",2315
"22","2015-06-04",2375
"23","2015-06-05",2365
"24","2015-06-08",2255
"25","2015-06-09",2170
"26","2015-06-10",2105
"27","2015-06-11",2200
"28","2015-06-12",2135
"29","2015-06-15",2275
"30","2015-06-16",2280
"31","2015-06-17",2235
"32","2015-06-18",2060
"33","2015-06-19",1935
"34","2015-06-22",1940
"35","2015-06-23",1950
"36","2015-06-24",2012.5
"37","2015-06-25",2012.5
"38","2015-06-26",1935
"39","2015-06-29",1830
"40","2015-06-30",1860
"41","2015-07-01",1825
"42","2015-07-02",1860
"43","2015-07-06",1810
"44","2015-07-07",1675
"45","2015-07-08",1635
"46","2015-07-09",1675
"47","2015-07-10",1715
"48","2015-07-13",1895
"49","2015-07-14",2020
"50","2015-07-15",2050
"51","2015-07-16",2040
"52","2015-07-17",2074
"53","2015-07-20",2215
"54","2015-07-21",1980
"55","2015-07-22",2095
"56","2015-07-23",1990
"57","2015-07-24",1835
"58","2015-07-27",1800
"59","2015-07-28",1770
"60","2015-07-29",1745
"61","2015-07-30",1695
"62","2015-07-31",1665
"63","2015-08-03",1535.5
"64","2015-08-04",1575
"65","2015-08-05",1610
"66","2015-08-06",1545
"67","2015-08-07",1540
"68","2015-08-10",1515
"69","2015-08-11",1425
"70","2015-08-12",1275
"71","2015-08-13",1360
"72","2015-08-14",1245
"73","2015-08-17",1275
"74","2015-08-18",1335
"75","2015-08-19",1315
"76","2015-08-20",1290
"77","2015-08-21",1265
"78","2015-08-24",1185
"79","2015-08-25",1325
"80","2015-08-26",1245
"81","2015-08-27",1220
"82","2015-08-28",1293.5
"83","2015-08-31",1332
"84","2015-09-01",1180
"85","2015-09-02",1235
"86","2015-09-03",1245
"87","2015-09-04",1125
"88","2015-09-08",1150
"89","2015-09-09",1145
"90","2015-09-10",1230
"91","2015-09-11",1150
"92","2015-09-14",1150
"93","2015-09-15",1210
"94","2015-09-16",1155
"95","2015-09-17",1230
"96","2015-09-18",1840
"97","2015-09-21",1445
"98","2015-09-22",1545
"99","2015-09-23",1540
"100","2015-09-24",1555
"101","2015-09-25",1525
"102","2015-09-28",1450
"103","2015-09-29",1420
"104","2015-09-30",1290
"105","2015-10-01",1185
"106","2015-10-02",1160
"107","2015-10-05",1300
"108","2015-10-06",1200
"109","2015-10-07",1250
"110","2015-10-08",1270
"111","2015-10-09",1200
"112","2015-10-12",1220
"113","2015-10-13",1225
"114","2015-10-14",1140
"115","2015-10-15",1245
"116","2015-10-16",1380
"117","2015-10-19",1230
"118","2015-10-20",1205
"119","2015-10-21",1150
"120","2015-10-22",1143.5
"121","2015-10-23",1100
"122","2015-10-26",1090
"123","2015-10-27",1055
"124","2015-10-28",1095
"125","2015-10-29",1075
"126","2015-10-30",1060
"127","2015-11-02",980
"128","2015-11-03",950
"129","2015-11-04",940
"130","2015-11-05",875
"131","2015-11-06",950
"132","2015-11-09",915
"133","2015-11-10",850
"134","2015-11-11",837.5
"135","2015-11-12",825
"136","2015-11-13",820
"137","2015-11-16",797.5
"138","2015-11-17",832.5
"139","2015-11-18",805
"140","2015-11-19",755
"141","2015-11-20",875
"142","2015-11-23",765
"143","2015-11-24",800
"144","2015-11-25",855
"145","2015-11-27",945
"146","2015-11-30",895
"147","2015-12-01",910
"148","2015-12-02",935
"149","2015-12-03",925
"150","2015-12-04",885
"151","2015-12-07",890
"152","2015-12-08",905
"153","2015-12-09",835
"154","2015-12-10",890
"155","2015-12-11",885
"156","2015-12-14",845
"157","2015-12-15",845
"158","2015-12-16",790
"159","2015-12-17",780
"160","2015-12-18",765
"161","2015-12-21",775
"162","2015-12-22",895
"163","2015-12-23",895
"164","2015-12-24",925
"165","2015-12-28",875
"166","2015-12-29",925
"167","2015-12-30",960
"168","2015-12-31",950
"169","2016-01-04",881.5
"170","2016-01-05",937.5
"171","2016-01-06",940
"172","2016-01-07",975
"173","2016-01-08",920
"174","2016-01-11",930
"175","2016-01-12",875
"176","2016-01-13",855
"177","2016-01-14",835
"178","2016-01-15",790
"179","2016-01-19",809.5
"180","2016-01-20",735
"181","2016-01-21",735
"182","2016-01-22",810
"183","2016-01-25",710
"184","2016-01-26",790
"185","2016-01-27",790
"186","2016-01-28",700
"187","2016-01-29",875
"188","2016-02-01",875
"189","2016-02-02",755
"190","2016-02-03",755
"191","2016-02-04",771.5
"192","2016-02-05",765
"193","2016-02-08",860
"194","2016-02-09",760
"195","2016-02-10",790
"196","2016-02-11",835
"197","2016-02-12",835
"198","2016-02-16",860
"199","2016-02-17",980
"200","2016-02-18",900
"201","2016-02-19",840
"202","2016-02-22",820
"203","2016-02-23",805
"204","2016-02-24",800
"205","2016-02-25",836
"206","2016-02-26",800
"207","2016-02-29",765
"208","2016-03-01",800
"209","2016-03-02",790
"210","2016-03-03",765
"211","2016-03-04",840
"212","2016-03-07",840
"213","2016-03-08",835
"214","2016-03-09",835
"215","2016-03-10",790
"216","2016-03-11",825
"217","2016-03-14",790
"218","2016-03-15",795
"219","2016-03-16",725
"220","2016-03-17",725
"221","2016-03-18",680
"222","2016-03-21",780
"223","2016-03-22",786.5
"224","2016-03-23",785
"225","2016-03-24",765
"226","2016-03-28",770
"227","2016-03-29",760
"228","2016-03-30",745
"229","2016-03-31",705
"230","2016-04-01",715
"231","2016-04-04",700
"232","2016-04-05",725
"233","2016-04-06",730
"234","2016-04-07",710
"235","2016-04-08",705
"236","2016-04-11",770
"237","2016-04-12",763.5
"238","2016-04-13",749.5
"239","2016-04-14",731
"240","2016-04-15",715
"241","2016-04-18",736.5
"242","2016-04-19",700
"243","2016-04-20",700
"244","2016-04-21",680
"245","2016-04-22",665
"246","2016-04-25",670
"247","2016-04-26",670
"248","2016-04-27",674.5
"249","2016-04-28",675.5
"250","2016-04-29",667
"251","2016-05-02",665
"252","2016-05-03",644.5
"253","2016-05-04",622
"254","2016-05-05",616
"255","2016-05-06",570
"256","2016-05-09",575
"257","2016-05-10",550
"258","2016-05-11",520
"259","2016-05-12",515
"260","2016-05-13",570
"261","2016-05-16",525
"262","2016-05-17",550
"263","2016-05-18",550
"264","2016-05-19",627
"265","2016-05-20",615
"266","2016-05-23",645
"267","2016-05-24",615
"268","2016-05-25",653
"269","2016-05-26",610
"270","2016-05-27",590
"271","2016-05-31",890
"272","2016-06-01",835
"273","2016-06-02",790
"274","2016-06-03",770
"275","2016-06-06",775
"276","2016-06-07",730
"277","2016-06-08",705
"278","2016-06-09",720
"279","2016-06-10",761
"280","2016-06-13",775
"281","2016-06-14",725
"282","2016-06-15",750
"283","2016-06-16",725
"284","2016-06-17",760
"285","2016-06-20",761.5
"286","2016-06-21",745
"287","2016-06-22",675
"288","2016-06-23",690
"289","2016-06-24",710
"290","2016-06-27",700
"291","2016-06-28",780
"292","2016-06-29",790
"293","2016-06-30",760
"294","2016-07-01",790
"295","2016-07-05",800
"296","2016-07-06",780
"297","2016-07-07",746
"298","2016-07-08",780
"299","2016-07-11",740
"300","2016-07-12",740
"301","2016-07-13",680
"302","2016-07-14",690
"303","2016-07-15",686.5
"304","2016-07-18",699.5
"305","2016-07-19",785
"306","2016-07-20",1850
"307","2016-07-21",1500
"308","2016-07-22",1460
"309","2016-07-25",1420
"310","2016-07-26",1200
"311","2016-07-27",1190
"312","2016-07-28",1165
"313","2016-07-29",1165
"314","2016-08-01",1124.5
"315","2016-08-02",1085
"316","2016-08-03",1130
"317","2016-08-04",1120
"318","2016-08-05",1105
"319","2016-08-08",1090
"320","2016-08-09",1040
"321","2016-08-10",1110
"322","2016-08-11",965
"323","2016-08-12",990
"324","2016-08-15",985
"325","2016-08-16",935
"326","2016-08-17",920
"327","2016-08-18",920
"328","2016-08-19",900
"329","2016-08-22",915
"330","2016-08-23",865
"331","2016-08-24",845
"332","2016-08-25",850
"333","2016-08-26",840
"334","2016-08-29",830
"335","2016-08-30",835
"336","2016-08-31",800
"337","2016-09-01",805
"338","2016-09-02",835
"339","2016-09-06",815
"340","2016-09-07",845
"341","2016-09-08",845
"342","2016-09-09",830
"343","2016-09-12",845
"344","2016-09-13",835
"345","2016-09-14",845
"346","2016-09-15",835
"347","2016-09-16",825
"348","2016-09-19",845
"349","2016-09-20",835
"350","2016-09-21",835
"351","2016-09-22",830
"352","2016-09-23",835
"353","2016-09-26",825
"354","2016-09-27",830
"355","2016-09-28",845
"356","2016-09-29",800
"357","2016-09-30",820
"358","2016-10-03",805
"359","2016-10-04",800
"360","2016-10-05",834.5
"361","2016-10-06",825
"362","2016-10-07",830
"363","2016-10-10",800
"364","2016-10-11",805
"365","2016-10-12",780
"366","2016-10-13",760
"367","2016-10-14",725
"368","2016-10-17",705
"369","2016-10-18",702.5
"370","2016-10-19",690
"371","2016-10-20",680
"372","2016-10-21",850.5
"373","2016-10-24",880
"374","2016-10-25",685
"375","2016-10-26",645
"376","2016-10-27",575
"377","2016-10-28",568.5
"378","2016-10-31",525
"379","2016-11-01",500
"380","2016-11-02",515
"381","2016-11-03",490
"382","2016-11-04",490
"383","2016-11-07",480
"384","2016-11-08",445
"385","2016-11-09",477.5
"386","2016-11-10",550
"387","2016-11-11",555
"388","2016-11-14",580
"389","2016-11-15",555
"390","2016-11-16",555
"391","2016-11-17",580
"392","2016-11-18",670
"393","2016-11-21",655
"394","2016-11-22",650
"395","2016-11-23",640
"396","2016-11-25",635
"397","2016-11-28",605
"398","2016-11-29",570
"399","2016-11-30",555
"400","2016-12-01",560
"401","2016-12-02",560
"402","2016-12-05",585
"403","2016-12-06",580
"404","2016-12-07",545
"405","2016-12-08",550
"406","2016-12-09",565
"407","2016-12-12",545
"408","2016-12-13",595
"409","2016-12-14",525
"410","2016-12-15",500
"411","2016-12-16",570
"412","2016-12-19",530
"413","2016-12-20",565
"414","2016-12-21",555
"415","2016-12-22",560
"416","2016-12-23",595
"417","2016-12-27",575
"418","2016-12-28",570
"419","2016-12-29",575.5
"420","2016-12-30",575
"421","2017-01-03",600
"422","2017-01-04",600
"423","2017-01-05",590
"424","2017-01-06",585
"425","2017-01-09",595
"426","2017-01-10",635
"427","2017-01-11",750
"428","2017-01-12",705
"429","2017-01-13",680
"430","2017-01-17",645
"431","2017-01-18",610
"432","2017-01-19",582.5
"433","2017-01-20",590
"434","2017-01-23",590
"435","2017-01-24",640
"436","2017-01-25",640
"437","2017-01-26",615
"438","2017-01-27",595
"439","2017-01-30",590
"440","2017-01-31",570
"441","2017-02-01",550
"442","2017-02-02",550
"443","2017-02-03",560
"444","2017-02-06",560
"445","2017-02-07",555
"446","2017-02-08",565
"447","2017-02-09",552.5
"448","2017-02-10",545
"449","2017-02-13",550
"450","2017-02-14",565
"451","2017-02-15",535
"452","2017-02-16",520
"453","2017-02-17",530
"454","2017-02-21",525
"455","2017-02-22",515
"456","2017-02-23",515
"457","2017-02-24",515
"458","2017-02-27",510
"459","2017-02-28",510
"460","2017-03-01",520
"461","2017-03-02",517
"462","2017-03-03",515
"463","2017-03-06",500
"464","2017-03-07",515
"465","2017-03-08",515
"466","2017-03-09",515
"467","2017-03-10",510
"468","2017-03-13",505
"469","2017-03-14",520
"470","2017-03-15",495
"471","2017-03-16",515
"472","2017-03-17",515
"473","2017-03-20",515
"474","2017-03-21",520
"475","2017-03-22",565
"476","2017-03-23",560
"477","2017-03-24",535
"478","2017-03-27",570
"479","2017-03-28",560
"480","2017-03-29",575
"481","2017-03-30",575
"482","2017-03-31",575
"483","2017-04-03",560
"484","2017-04-04",565
"485","2017-04-05",555
"486","2017-04-06",530
"487","2017-04-07",530
"488","2017-04-10",560
"489","2017-04-11",555
"490","2017-04-12",580
"491","2017-04-13",587.5
"492","2017-04-17",555
"493","2017-04-18",550
"494","2017-04-19",540
"495","2017-04-20",535
"496","2017-04-21",530
"497","2017-04-24",525
"498","2017-04-25",560
"499","2017-04-26",545
"500","2017-04-27",515
"501","2017-04-28",505
"502","2017-05-01",497.5
"503","2017-05-02",475
"504","2017-05-03",483
"505","2017-05-04",455
"506","2017-05-05",403.5
"507","2017-05-08",419
"508","2017-05-09",398.5
"509","2017-05-10",423
"510","2017-05-11",417.5
"511","2017-05-12",400
"512","2017-05-15",410
"513","2017-05-16",390
"514","2017-05-17",400
"515","2017-05-18",378.5
"516","2017-05-19",385
"517","2017-05-22",330
"518","2017-05-23",270
"519","2017-05-24",270
"520","2017-05-25",370
"521","2017-05-26",346
"522","2017-05-30",334
"523","2017-05-31",330.5
"524","2017-06-01",355
"525","2017-06-02",355
"526","2017-06-05",350
"527","2017-06-06",349.5
"528","2017-06-07",327.5
"529","2017-06-08",330
"530","2017-06-09",335
"531","2017-06-12",325
"532","2017-06-13",350
"533","2017-06-14",335
"534","2017-06-15",315.5
"535","2017-06-16",295
"536","2017-06-19",315
"537","2017-06-20",310
"538","2017-06-21",330
"539","2017-06-22",369.5
"540","2017-06-23",370
"541","2017-06-26",360
"542","2017-06-27",355
"543","2017-06-28",370
"544","2017-06-29",332.5
"545","2017-06-30",320
"546","2017-07-03",315
"547","2017-07-05",310
"548","2017-07-06",300
"549","2017-07-07",275
"550","2017-07-10",230
"551","2017-07-11",224
"552","2017-07-12",209.5
"553","2017-07-13",160
"554","2017-07-14",155.5
"555","2017-07-17",152.5
"556","2017-07-18",151
"557","2017-07-19",160
"558","2017-07-20",190
"559","2017-07-21",172.5
"560","2017-07-24",177.5
"561","2017-07-25",167.5
"562","2017-07-26",172.5
"563","2017-07-27",167
"564","2017-07-28",164.5
"565","2017-07-31",152.5
"566","2017-08-01",160.5
"567","2017-08-02",162
"568","2017-08-03",153.5
"569","2017-08-04",155
"570","2017-08-07",160
"571","2017-08-08",160
"572","2017-08-09",147.5
"573","2017-08-10",132.5
"574","2017-08-11",136
"575","2017-08-14",129
"576","2017-08-15",125
"577","2017-08-16",122.5
"578","2017-08-17",117
"579","2017-08-18",122
"580","2017-08-21",135.5
"581","2017-08-22",130
"582","2017-08-23",128
"583","2017-08-24",130
"584","2017-08-25",127.5
"585","2017-08-28",126
"586","2017-08-29",127
"587","2017-08-30",129.5
"588","2017-08-31",133.5
"589","2017-09-01",145
"590","2017-09-05",148.5
"591","2017-09-06",138.5
"592","2017-09-07",150
"593","2017-09-08",152
"594","2017-09-11",161
"595","2017-09-12",160
"596","2017-09-13",150
"597","2017-09-14",145.5
"598","2017-09-15",141.5
"599","2017-09-18",135
"600","2017-09-19",133.5
"601","2017-09-20",133
"602","2017-09-21",140
"603","2017-09-22",146.5
"604","2017-09-25",143.5
"605","2017-09-26",145
"606","2017-09-27",164.5
"607","2017-09-28",160.5
"608","2017-09-29",155
"609","2017-10-02",155.5
"610","2017-10-03",153
"611","2017-10-04",151
"612","2017-10-05",145
"613","2017-10-06",147.5
"614","2017-10-09",152.5
"615","2017-10-10",147.5
"616","2017-10-11",165.5
"617","2017-10-12",158
"618","2017-10-13",154.5
"619","2017-10-16",159.5
"620","2017-10-17",184.5
"621","2017-10-18",179
"622","2017-10-19",183
"623","2017-10-20",182.5
"624","2017-10-23",180
"625","2017-10-24",167
"626","2017-10-25",162.5
"627","2017-10-26",157
"628","2017-10-27",150
"629","2017-10-30",148.5
"630","2017-10-31",144
"631","2017-11-01",142.5
"632","2017-11-02",144
"633","2017-11-03",151.5
"634","2017-11-06",155.5
"635","2017-11-07",155
"636","2017-11-08",142
"637","2017-11-09",141.5
"638","2017-11-10",136
"639","2017-11-13",139
"640","2017-11-14",137
"641","2017-11-15",129
"642","2017-11-16",131
"643","2017-11-17",138.5
"644","2017-11-20",135
"645","2017-11-21",125.5
"646","2017-11-22",123
"647","2017-11-24",124.5
"648","2017-11-27",122
"649","2017-11-28",125
"650","2017-11-29",130
"651","2017-11-30",125
"652","2017-12-01",117.5
"653","2017-12-04",124
"654","2017-12-05",120
"655","2017-12-06",115
"656","2017-12-07",109.5
"657","2017-12-08",112.5
"658","2017-12-11",115
"659","2017-12-12",111
"660","2017-12-13",100
"661","2017-12-14",100.5
"662","2017-12-15",97.5
"663","2017-12-18",97.5
"664","2017-12-19",88.5
"665","2017-12-20",86
"666","2017-12-21",83.5
"667","2017-12-22",84
"668","2017-12-26",79
"669","2017-12-27",80
"670","2017-12-28",95
"671","2017-12-29",93.5
"672","2018-01-02",93.5
"673","2018-01-03",95
"674","2018-01-04",94
"675","2018-01-05",99.5
"676","2018-01-08",106.5
"677","2018-01-09",95.5
"678","2018-01-10",95
"679","2018-01-11",97.5
"680","2018-01-12",86.5
"681","2018-01-16",93.5
"682","2018-01-17",85
"683","2018-01-18",77
"684","2018-01-19",66.199997
"685","2018-01-22",80.400002
"686","2018-01-23",80.400002
"687","2018-01-24",104.199997
"688","2018-01-25",131.399994
"689","2018-01-26",118
"690","2018-01-29",97.099998
"691","2018-01-30",100
"692","2018-01-31",77
"693","2018-02-01",73
