"","date","YI"
"1","2018-09-12",13.8
"2","2018-09-13",14
"3","2018-09-14",13.99
"4","2018-09-17",13.72
"5","2018-09-18",13.06
"6","2018-09-19",13.82
"7","2018-09-20",13.51
"8","2018-09-21",15.44
"9","2018-09-24",14.81
"10","2018-09-25",14.07
"11","2018-09-26",14.3
"12","2018-09-27",13.8
"13","2018-09-28",13.52
"14","2018-10-01",13.38
"15","2018-10-02",11.75
"16","2018-10-03",11.37
"17","2018-10-04",10.8
"18","2018-10-05",12.12
"19","2018-10-08",11.64
"20","2018-10-09",11.15
"21","2018-10-10",10.51
"22","2018-10-11",9.85
"23","2018-10-12",9.35
"24","2018-10-15",9.99
"25","2018-10-16",10.64
"26","2018-10-17",10.75
"27","2018-10-18",10.2
"28","2018-10-19",8.89
"29","2018-10-22",8.02
"30","2018-10-23",8.05
"31","2018-10-24",8.1
"32","2018-10-25",8.01
"33","2018-10-26",8.15
"34","2018-10-29",8.21
"35","2018-10-30",8.71
"36","2018-10-31",8.88
"37","2018-11-01",10
"38","2018-11-02",11.28
"39","2018-11-05",11.2
"40","2018-11-06",11.5
"41","2018-11-07",11.77
"42","2018-11-08",11
"43","2018-11-09",9.75
"44","2018-11-12",9.9
"45","2018-11-13",9.62
"46","2018-11-14",9.8
"47","2018-11-15",10
"48","2018-11-16",10.12
"49","2018-11-19",10.06
"50","2018-11-20",9.15
"51","2018-11-21",9.28
"52","2018-11-23",9.8
"53","2018-11-26",9.69
"54","2018-11-27",9.61
"55","2018-11-28",9.5
"56","2018-11-29",9.5
"57","2018-11-30",9.5
"58","2018-12-03",9.56
"59","2018-12-04",7.17
"60","2018-12-06",7.98
"61","2018-12-07",7.53
"62","2018-12-10",7.5
"63","2018-12-11",7
"64","2018-12-12",7
"65","2018-12-13",6.55
"66","2018-12-14",6.5
"67","2018-12-17",6.68
"68","2018-12-18",6.44
"69","2018-12-19",6.5
"70","2018-12-20",6.1
"71","2018-12-21",6
"72","2018-12-24",6.15
"73","2018-12-26",6.37
"74","2018-12-27",6.03
"75","2018-12-28",6.05
"76","2018-12-31",6.14
"77","2019-01-02",6
"78","2019-01-03",6.05
"79","2019-01-04",6.78
"80","2019-01-07",7
"81","2019-01-08",9.55
