"","date","HUIZ"
"1","2020-02-12",10
"2","2020-02-13",10.5
"3","2020-02-14",10.6
"4","2020-02-18",10.5
"5","2020-02-19",10.47
"6","2020-02-20",10.53
"7","2020-02-21",10.71
"8","2020-02-24",10.47
"9","2020-02-25",10.59
"10","2020-02-26",12.35
"11","2020-02-27",12.08
"12","2020-02-28",12.69
"13","2020-03-02",14.49
"14","2020-03-03",13.39
"15","2020-03-04",12.28
"16","2020-03-05",10.86
"17","2020-03-06",10.92
"18","2020-03-09",9.81
"19","2020-03-10",9.91
"20","2020-03-11",9.54
"21","2020-03-12",7.76
"22","2020-03-13",8.26
"23","2020-03-16",7.01
"24","2020-03-17",8.09
"25","2020-03-18",8.25
"26","2020-03-19",9.25
"27","2020-03-20",8.87
"28","2020-03-23",8.76
"29","2020-03-24",8.93
"30","2020-03-25",9.56
"31","2020-03-26",9.4
"32","2020-03-27",8.8
"33","2020-03-30",8.52
"34","2020-03-31",8.05
"35","2020-04-01",7.5
"36","2020-04-02",6.99
"37","2020-04-03",6.35
"38","2020-04-06",6
"39","2020-04-07",5.99
"40","2020-04-08",5.64
"41","2020-04-09",5.45
"42","2020-04-13",5.17
"43","2020-04-14",5.03
"44","2020-04-15",5.48
"45","2020-04-16",6.4
"46","2020-04-17",6.366
"47","2020-04-20",6.51
"48","2020-04-21",7.29
"49","2020-04-22",7.55
"50","2020-04-23",7.55
"51","2020-04-24",7.87
"52","2020-04-27",7.89
"53","2020-04-28",7.81
"54","2020-04-29",7.81
"55","2020-04-30",7.59
"56","2020-05-01",7.25
"57","2020-05-04",7.15
"58","2020-05-05",7.33
"59","2020-05-06",7.03
"60","2020-05-07",7.03
"61","2020-05-08",7.25
"62","2020-05-11",7.1
"63","2020-05-12",6.9
"64","2020-05-13",6.59
"65","2020-05-14",6.26
"66","2020-05-15",6.31
"67","2020-05-18",6.7
"68","2020-05-19",6.1
"69","2020-05-20",6.54
"70","2020-05-21",6
"71","2020-05-22",5.81
"72","2020-05-26",5.83
"73","2020-05-27",5.81
"74","2020-05-28",5.9
"75","2020-05-29",5.98
"76","2020-06-01",6
"77","2020-06-02",6.03
"78","2020-06-03",6.32
"79","2020-06-04",7.19
"80","2020-06-05",7.6
"81","2020-06-08",7.5
"82","2020-06-09",7.4
"83","2020-06-10",7.4
"84","2020-06-11",7.1
"85","2020-06-12",7.1
"86","2020-06-15",7
"87","2020-06-16",7.49
"88","2020-06-17",7.24
"89","2020-06-18",7.05
"90","2020-06-19",7.15
"91","2020-06-22",7.3
"92","2020-06-23",7.53
"93","2020-06-24",7.49
"94","2020-06-25",7.6
"95","2020-06-26",7.25
"96","2020-06-29",7.4
"97","2020-06-30",7.71
"98","2020-07-01",7.55
"99","2020-07-02",7.54
"100","2020-07-06",8.34
"101","2020-07-07",8.2
"102","2020-07-08",9.62
"103","2020-07-09",9.89
"104","2020-07-10",9.5
"105","2020-07-13",9.18
"106","2020-07-14",9.01
"107","2020-07-15",9.05
"108","2020-07-16",9.07
"109","2020-07-17",9.49
"110","2020-07-20",9.47
"111","2020-07-21",9.7
"112","2020-07-22",9.25
"113","2020-07-23",9.14
"114","2020-07-24",9
"115","2020-07-27",9.08
"116","2020-07-28",9.06
"117","2020-07-29",9.17
"118","2020-07-30",9
"119","2020-07-31",9
"120","2020-08-03",9.17
"121","2020-08-04",9.07
"122","2020-08-05",8.9
"123","2020-08-06",8.81
"124","2020-08-07",9.17
"125","2020-08-10",8.9
"126","2020-08-11",8.87
"127","2020-08-12",8.63
"128","2020-08-13",8.59
"129","2020-08-14",8.6
"130","2020-08-17",8.64
"131","2020-08-18",9
"132","2020-08-19",8.99
"133","2020-08-20",9.14
"134","2020-08-21",9
"135","2020-08-24",8.885
"136","2020-08-25",8.9
"137","2020-08-26",8.725
"138","2020-08-27",8.63
"139","2020-08-28",8.665
"140","2020-08-31",8.52
"141","2020-09-01",8.509
"142","2020-09-02",8.5
"143","2020-09-03",8.47
"144","2020-09-04",8.47
"145","2020-09-08",8.51
"146","2020-09-09",8.49
"147","2020-09-10",8.57
"148","2020-09-11",8.59
"149","2020-09-14",8.58
"150","2020-09-15",8.6
"151","2020-09-16",8.66
"152","2020-09-17",8.7
"153","2020-09-18",8.52
"154","2020-09-21",8.362
"155","2020-09-22",8.34
"156","2020-09-23",8.12
"157","2020-09-24",7.93
"158","2020-09-25",8.146
"159","2020-09-28",8.117
"160","2020-09-29",8
"161","2020-09-30",8.14
"162","2020-10-01",8.14
"163","2020-10-02",8.14
"164","2020-10-05",7.93
"165","2020-10-06",7.93
"166","2020-10-07",7.93
"167","2020-10-08",8.035
"168","2020-10-09",7.88
"169","2020-10-12",7.88
"170","2020-10-13",7.8
"171","2020-10-14",7.795
"172","2020-10-15",7.71
"173","2020-10-16",7.649
"174","2020-10-19",7.649
"175","2020-10-20",7.649
"176","2020-10-21",7.33
"177","2020-10-22",7.37
"178","2020-10-23",7.57
"179","2020-10-26",7.39
"180","2020-10-27",7.7
"181","2020-10-28",7.65
"182","2020-10-29",7.19
"183","2020-10-30",7
"184","2020-11-02",7.45
"185","2020-11-03",7.28
"186","2020-11-04",7.65
"187","2020-11-05",7.39
"188","2020-11-06",7.5
"189","2020-11-09",7.22
"190","2020-11-10",7.68
"191","2020-11-11",7.545
"192","2020-11-12",7.37
"193","2020-11-13",7.39
"194","2020-11-16",7.39
"195","2020-11-17",7.39
"196","2020-11-18",7.7
"197","2020-11-19",7.6
"198","2020-11-20",7.35
"199","2020-11-23",7.36
"200","2020-11-24",7.48
"201","2020-11-25",7.66
"202","2020-11-27",8.11
