"","date","CYCCP"
"1","2007-01-03",5.35
"2","2007-01-04",4.75
"3","2007-01-05",4.75
"4","2007-01-08",4.75
"5","2007-01-09",5.11
"6","2007-01-10",5.11
"7","2007-01-11",5.11
"8","2007-01-12",5.11
"9","2007-01-16",5.11
"10","2007-01-17",5.65
"11","2007-01-18",5
"12","2007-01-19",5
"13","2007-01-22",4.6
"14","2007-01-23",4.6
"15","2007-01-24",4.6
"16","2007-01-25",4.6
"17","2007-01-26",4.6
"18","2007-01-29",4.6
"19","2007-01-30",4.6
"20","2007-01-31",4.6
"21","2007-02-01",4.6
"22","2007-02-02",5.3
"23","2007-02-05",5.3
"24","2007-02-06",5.3
"25","2007-02-07",5.3
"26","2007-02-08",5.3
"27","2007-02-09",5.3
"28","2007-02-12",5.3
"29","2007-02-13",5.3
"30","2007-02-14",6.7
"31","2007-02-15",5.64
"32","2007-02-16",6.1
"33","2007-02-20",6.1
"34","2007-02-21",6.1
"35","2007-02-22",6
"36","2007-02-23",7.15
"37","2007-02-26",7.1
"38","2007-02-27",6.56
"39","2007-02-28",6.56
"40","2007-03-01",6.56
"41","2007-03-02",6.56
"42","2007-03-05",6.56
"43","2007-03-06",6.56
"44","2007-03-07",6.56
"45","2007-03-08",6.5
"46","2007-03-09",6.5
"47","2007-03-12",7.09
"48","2007-03-13",7.09
"49","2007-03-14",6.18
"50","2007-03-15",6.18
"51","2007-03-16",6.18
"52","2007-03-19",6.18
"53","2007-03-20",6.18
"54","2007-03-21",6.18
"55","2007-03-22",6.18
"56","2007-03-23",6.18
"57","2007-03-26",6.18
"58","2007-03-27",6.18
"59","2007-03-28",6.72
"60","2007-03-29",6.72
"61","2007-03-30",6.26
"62","2007-04-02",6.26
"63","2007-04-03",6.26
"64","2007-04-04",6.26
"65","2007-04-05",6.26
"66","2007-04-09",7
"67","2007-04-10",7.13
"68","2007-04-11",6.9
"69","2007-04-12",7.1
"70","2007-04-13",6.85
"71","2007-04-16",6.7
"72","2007-04-17",7.27
"73","2007-04-18",6.96
"74","2007-04-19",6.93
"75","2007-04-20",7.03
"76","2007-04-23",6.93
"77","2007-04-24",6.95
"78","2007-04-25",6.93
"79","2007-04-26",6.69
"80","2007-04-27",6.55
"81","2007-04-30",6.55
"82","2007-05-01",6.15
"83","2007-05-02",6.15
"84","2007-05-03",6.15
"85","2007-05-04",6.7
"86","2007-05-07",6.62
"87","2007-05-08",6.99
"88","2007-05-09",6.99
"89","2007-05-10",7.1
"90","2007-05-11",6.8
"91","2007-05-14",7.1
"92","2007-05-15",7.1
"93","2007-05-16",7.1
"94","2007-05-17",7.1
"95","2007-05-18",7.1
"96","2007-05-21",7.1
"97","2007-05-22",7.95
"98","2007-05-23",7.95
"99","2007-05-24",7.69
"100","2007-05-25",7.69
"101","2007-05-29",7.3
"102","2007-05-30",7.3
"103","2007-05-31",7.25
"104","2007-06-01",7.25
"105","2007-06-04",7.25
"106","2007-06-05",7.3
"107","2007-06-06",7.32
"108","2007-06-07",7.32
"109","2007-06-08",7.32
"110","2007-06-11",7.12
"111","2007-06-12",7.12
"112","2007-06-13",7.12
"113","2007-06-14",7.02
"114","2007-06-15",7.1
