"","date","MOXC"
"1","2014-04-10",32
"2","2014-04-11",35
"3","2014-04-14",38
"4","2014-04-15",40
"5","2014-04-16",41
"6","2014-04-17",40.5
"7","2014-04-21",41.5
"8","2014-04-22",42.5
"9","2014-04-23",42.5
"10","2014-04-24",41.5
"11","2014-04-25",41.400002
"12","2014-04-28",41.5
"13","2014-04-29",48
"14","2014-04-30",49
"15","2014-05-01",48
"16","2014-05-02",48
"17","2014-05-05",45
"18","2014-05-06",48
"19","2014-05-07",49
"20","2014-05-08",48.5
"21","2014-05-09",48.5
"22","2014-05-12",48.5
"23","2014-05-13",49
"24","2014-05-14",48.299999
"25","2014-05-15",50
"26","2014-05-16",49
"27","2014-05-19",49.900002
"28","2014-05-20",50
"29","2014-05-21",49
"30","2014-05-22",51
"31","2014-05-23",51
"32","2014-05-27",50
"33","2014-05-28",50
"34","2014-05-29",50.5
"35","2014-05-30",50.5
"36","2014-06-02",50.5
"37","2014-06-03",50
"38","2014-06-04",50
"39","2014-06-05",50.5
"40","2014-06-06",50.5
"41","2014-06-09",50.5
"42","2014-06-10",51
"43","2014-06-11",51
"44","2014-06-12",51
"45","2014-06-13",51
"46","2014-06-16",51.5
"47","2014-06-17",51.5
"48","2014-06-18",51.5
"49","2014-06-19",52
"50","2014-06-20",51.5
"51","2014-06-23",52
"52","2014-06-24",52
"53","2014-06-25",52
"54","2014-06-26",52
"55","2014-06-27",51.5
"56","2014-06-30",51.5
"57","2014-07-01",55
"58","2014-07-02",57
"59","2014-07-03",57
"60","2014-07-07",57
"61","2014-07-08",57
"62","2014-07-09",58
"63","2014-07-10",59
"64","2014-07-11",59
"65","2014-07-14",57
"66","2014-07-15",58
"67","2014-07-16",58
"68","2014-07-17",59
"69","2014-07-18",59
"70","2014-07-21",58
"71","2014-07-22",58.200001
"72","2014-07-23",58.200001
"73","2014-07-24",58.5
"74","2014-07-25",58
"75","2014-07-28",59
"76","2014-07-29",57
"77","2014-07-30",59.5
"78","2014-07-31",60
"79","2014-08-01",60
"80","2014-08-04",60
"81","2014-08-05",60
"82","2014-08-06",62.5
"83","2014-08-07",61
"84","2014-08-08",61
"85","2014-08-11",61
"86","2014-08-12",61
"87","2014-08-13",62.5
"88","2014-08-14",60.5
"89","2014-08-15",61
"90","2014-08-18",60.5
"91","2014-08-19",61
"92","2014-08-20",62
"93","2014-08-21",61
"94","2014-08-22",60.5
"95","2014-08-25",61
"96","2014-08-26",60.5
"97","2014-08-27",43
"98","2014-08-28",53.5
"99","2014-08-29",55
"100","2014-09-02",56.5
"101","2014-09-03",55
"102","2014-09-04",57.5
"103","2014-09-05",58
"104","2014-09-08",58
"105","2014-09-09",55.099998
"106","2014-09-10",58.5
"107","2014-09-11",59
"108","2014-09-12",58.5
"109","2014-09-15",58.5
"110","2014-09-16",58
"111","2014-09-17",58.5
"112","2014-09-18",58.5
"113","2014-09-19",58.5
"114","2014-09-22",58
"115","2014-09-23",58.5
"116","2014-09-24",58.5
"117","2014-09-25",58.5
"118","2014-09-26",58.5
"119","2014-09-29",58.5
"120","2014-09-30",58.5
"121","2014-10-01",58.5
"122","2014-10-02",58.5
"123","2014-10-03",58.5
"124","2014-10-06",55.099998
"125","2014-10-07",56
"126","2014-10-08",58.5
"127","2014-10-09",58.5
"128","2014-10-10",55
"129","2014-10-13",55
"130","2014-10-14",54
"131","2014-10-15",54
"132","2014-10-16",54
"133","2014-10-17",55
"134","2014-10-20",55
"135","2014-10-21",55
"136","2014-10-22",55
"137","2014-10-23",55
"138","2014-10-24",55
"139","2014-10-27",58.5
"140","2014-10-28",58.5
"141","2014-10-29",57.5
"142","2014-10-30",58.5
"143","2014-10-31",58.5
"144","2014-11-03",58.5
"145","2014-11-04",58.5
"146","2014-11-05",58
"147","2014-11-06",58
"148","2014-11-07",58
"149","2014-11-10",58
"150","2014-11-11",58
"151","2014-11-12",56
"152","2014-11-13",56
"153","2014-11-14",56
"154","2014-11-17",56
"155","2014-11-18",56
"156","2014-11-19",56
"157","2014-11-20",56
"158","2014-11-21",56
"159","2014-11-24",56
"160","2014-11-25",58
"161","2014-11-26",55
"162","2014-11-28",58
"163","2014-12-01",58
"164","2014-12-02",58
"165","2014-12-03",58
"166","2014-12-04",58
"167","2014-12-05",58
"168","2014-12-08",58
"169","2014-12-09",58
"170","2014-12-10",58
"171","2014-12-11",58
"172","2014-12-12",58
"173","2014-12-15",58
"174","2014-12-16",58
"175","2014-12-17",55
"176","2014-12-18",55
"177","2014-12-19",55
"178","2014-12-22",54
"179","2014-12-23",54
"180","2014-12-24",54
"181","2014-12-26",54
"182","2014-12-29",55
"183","2014-12-30",55
"184","2014-12-31",55
"185","2015-01-02",55
"186","2015-01-05",55
"187","2015-01-06",55
"188","2015-01-07",58
"189","2015-01-08",58
"190","2015-01-09",58
"191","2015-01-12",58
"192","2015-01-13",58
"193","2015-01-14",54
"194","2015-01-15",54
"195","2015-01-16",54
"196","2015-01-20",54
"197","2015-01-21",54
"198","2015-01-22",54
"199","2015-01-23",54
"200","2015-01-26",53
"201","2015-01-27",53
"202","2015-01-28",53
"203","2015-01-29",53
"204","2015-01-30",53
"205","2015-02-02",53
"206","2015-02-03",53
"207","2015-02-04",52
"208","2015-02-05",52
"209","2015-02-06",52
"210","2015-02-09",52
"211","2015-02-10",51
"212","2015-02-11",51
"213","2015-02-12",51
"214","2015-02-13",51
"215","2015-02-17",51
"216","2015-02-18",51
"217","2015-02-19",51
"218","2015-02-20",51
"219","2015-02-23",51
"220","2015-02-24",51
"221","2015-02-25",55
"222","2015-02-26",55
"223","2015-02-27",55
"224","2015-03-02",52
"225","2015-03-03",52
"226","2015-03-04",52
"227","2015-03-05",52
"228","2015-03-06",52
"229","2015-03-09",52
"230","2015-03-10",59
"231","2015-03-11",59
"232","2015-03-12",59
"233","2015-03-13",59
"234","2015-03-16",59
"235","2015-03-17",59
"236","2015-03-18",57
"237","2015-03-19",57
"238","2015-03-20",57
"239","2015-03-23",57
"240","2015-03-24",57
"241","2015-03-25",57
"242","2015-03-26",57
"243","2015-03-27",57
"244","2015-03-30",57
"245","2015-03-31",57
"246","2015-04-01",57
"247","2015-04-02",57
"248","2015-04-06",57
"249","2015-04-07",57
"250","2015-04-08",57
"251","2015-04-09",58
"252","2015-04-10",58
"253","2015-04-13",58
"254","2015-04-14",58
"255","2015-04-15",58
"256","2015-04-16",60.5
"257","2015-04-17",60.5
"258","2015-04-20",60.5
"259","2015-04-21",60.5
"260","2015-04-22",60.5
"261","2015-04-23",57
"262","2015-04-24",57
"263","2015-04-27",57
"264","2015-04-28",57
"265","2015-04-29",57
"266","2015-04-30",57
"267","2015-05-01",57
"268","2015-05-04",57
"269","2015-05-05",58
"270","2015-05-06",58
"271","2015-05-07",60.5
"272","2015-05-08",60.5
"273","2015-05-11",62
"274","2015-05-12",62
"275","2015-05-13",63.900002
"276","2015-05-14",63.900002
"277","2015-05-15",63.900002
"278","2015-05-18",63.900002
"279","2015-05-19",65
"280","2015-05-20",63
"281","2015-05-21",63
"282","2015-05-22",63
"283","2015-05-26",63
"284","2015-05-27",63
"285","2015-05-28",63
"286","2015-05-29",63
"287","2015-06-01",63
"288","2015-06-02",63
"289","2015-06-03",63
"290","2015-06-04",63
"291","2015-06-05",63
"292","2015-06-08",63
"293","2015-06-09",63
"294","2015-06-10",63
"295","2015-06-11",63
