"","date","JLL"
"1","2007-01-03",92
"2","2007-01-04",91.900002
"3","2007-01-05",90.599998
"4","2007-01-08",90.669998
"5","2007-01-09",91
"6","2007-01-10",91
"7","2007-01-11",93.269997
"8","2007-01-12",94.540001
"9","2007-01-16",95.370003
"10","2007-01-17",95.739998
"11","2007-01-18",94.989998
"12","2007-01-19",95.459999
"13","2007-01-22",96.209999
"14","2007-01-23",96.610001
"15","2007-01-24",97.190002
"16","2007-01-25",95.779999
"17","2007-01-26",96.949997
"18","2007-01-29",99.339996
"19","2007-01-30",98.5
"20","2007-01-31",104.5
"21","2007-02-01",107.029999
"22","2007-02-02",106.68
"23","2007-02-05",106.900002
"24","2007-02-06",107.620003
"25","2007-02-07",107.25
"26","2007-02-08",106.330002
"27","2007-02-09",104.059998
"28","2007-02-12",102.449997
"29","2007-02-13",102.949997
"30","2007-02-14",105.650002
"31","2007-02-15",106.5
"32","2007-02-16",106.339996
"33","2007-02-20",108.150002
"34","2007-02-21",107.980003
"35","2007-02-22",108.099998
"36","2007-02-23",109.330002
"37","2007-02-26",106.290001
"38","2007-02-27",104.519997
"39","2007-02-28",105.849998
"40","2007-03-01",105.599998
"41","2007-03-02",104.32
"42","2007-03-05",100.080002
"43","2007-03-06",104.220001
"44","2007-03-07",103.940002
"45","2007-03-08",104.339996
"46","2007-03-09",104.290001
"47","2007-03-12",103.019997
"48","2007-03-13",100
"49","2007-03-14",100.160004
"50","2007-03-15",99.470001
"51","2007-03-16",99.790001
"52","2007-03-19",101.150002
"53","2007-03-20",99.839996
"54","2007-03-21",102.360001
"55","2007-03-22",102.480003
"56","2007-03-23",104.68
"57","2007-03-26",104.43
"58","2007-03-27",104.150002
"59","2007-03-28",101.650002
"60","2007-03-29",103.209999
"61","2007-03-30",104.279999
"62","2007-04-02",103.879997
"63","2007-04-03",104.739998
"64","2007-04-04",104.139999
"65","2007-04-05",104.07
"66","2007-04-09",104.559998
"67","2007-04-10",104.080002
"68","2007-04-11",102.760002
"69","2007-04-12",105.080002
"70","2007-04-13",104.25
"71","2007-04-16",105.18
"72","2007-04-17",106.949997
"73","2007-04-18",108.879997
"74","2007-04-19",107.669998
"75","2007-04-20",109.959999
