"","date","OGI"
"1","2019-05-21",7.81
"2","2019-05-22",7.61
"3","2019-05-23",7.22
"4","2019-05-24",7.49
"5","2019-05-28",7.85
"6","2019-05-29",7.69
"7","2019-05-30",7.55
"8","2019-05-31",7.24
"9","2019-06-03",6.86
"10","2019-06-04",7.43
"11","2019-06-05",7.33
"12","2019-06-06",7.21
"13","2019-06-07",7.26
"14","2019-06-10",7.39
"15","2019-06-11",7.25
"16","2019-06-12",7.01
"17","2019-06-13",6.8
"18","2019-06-14",6.27
"19","2019-06-17",6.22
"20","2019-06-18",6.44
"21","2019-06-19",6.25
"22","2019-06-20",6.39
"23","2019-06-21",6.36
"24","2019-06-24",6.29
"25","2019-06-25",6.05
"26","2019-06-26",6.21
"27","2019-06-27",6.41
"28","2019-06-28",6.44
"29","2019-07-01",6.58
"30","2019-07-02",6.29
"31","2019-07-03",6.52
"32","2019-07-05",6.56
"33","2019-07-08",7.08
"34","2019-07-09",6.92
"35","2019-07-10",6.63
"36","2019-07-11",6.28
"37","2019-07-12",5.83
"38","2019-07-15",6.1
"39","2019-07-16",6.61
"40","2019-07-17",6.85
"41","2019-07-18",6.43
"42","2019-07-19",6.33
"43","2019-07-22",6.27
"44","2019-07-23",6.07
"45","2019-07-24",5.94
"46","2019-07-25",5.83
"47","2019-07-26",5.9
"48","2019-07-29",5.93
"49","2019-07-30",5.97
"50","2019-07-31",5.99
"51","2019-08-01",5.65
"52","2019-08-02",5.77
"53","2019-08-05",5.58
"54","2019-08-06",5.66
"55","2019-08-07",5.57
"56","2019-08-08",5.68
"57","2019-08-09",5.66
"58","2019-08-12",5.47
"59","2019-08-13",5.57
"60","2019-08-14",5.37
"61","2019-08-15",5
"62","2019-08-16",5.15
"63","2019-08-19",5.02
"64","2019-08-20",5.13
"65","2019-08-21",5.09
"66","2019-08-22",4.94
"67","2019-08-23",4.65
"68","2019-08-26",4.49
"69","2019-08-27",4.13
"70","2019-08-28",4.26
"71","2019-08-29",4.26
"72","2019-08-30",4.21
"73","2019-09-03",4.3
"74","2019-09-04",4.31
"75","2019-09-05",4.77
"76","2019-09-06",4.94
"77","2019-09-09",4.71
"78","2019-09-10",4.75
"79","2019-09-11",4.73
"80","2019-09-12",4.54
"81","2019-09-13",4.5
"82","2019-09-16",4.34
"83","2019-09-17",4.19
"84","2019-09-18",4.22
"85","2019-09-19",4.16
"86","2019-09-20",4.19
"87","2019-09-23",4.18
"88","2019-09-24",3.92
"89","2019-09-25",3.8
"90","2019-09-26",3.69
"91","2019-09-27",3.67
"92","2019-09-30",3.44
