"","date","SHEN"
"1","2007-01-03",7.543334
"2","2007-01-04",7.835
"3","2007-01-05",7.53
"4","2007-01-08",7.478333
"5","2007-01-09",7.578333
"6","2007-01-10",7.601666
"7","2007-01-11",7.606667
"8","2007-01-12",7.666667
"9","2007-01-16",7.483333
"10","2007-01-17",7.688334
"11","2007-01-18",7.576667
"12","2007-01-19",7.64
"13","2007-01-22",7.641667
"14","2007-01-23",7.698333
"15","2007-01-24",7.721667
"16","2007-01-25",7.63
"17","2007-01-26",7.648334
"18","2007-01-29",7.791667
"19","2007-01-30",7.81
"20","2007-01-31",7.73
"21","2007-02-01",7.795
"22","2007-02-02",7.78
"23","2007-02-05",7.721667
"24","2007-02-06",7.668334
"25","2007-02-07",7.636667
"26","2007-02-08",7.633333
"27","2007-02-09",7.561666
"28","2007-02-12",7.575
"29","2007-02-13",7.71
"30","2007-02-14",7.661667
"31","2007-02-15",7.518333
"32","2007-02-16",7.516667
"33","2007-02-20",7.725
"34","2007-02-21",7.725
"35","2007-02-22",7.785
"36","2007-02-23",7.74
"37","2007-02-26",7.556667
"38","2007-02-27",7.386667
"39","2007-02-28",7.346667
"40","2007-03-01",7.4
"41","2007-03-02",7.258333
"42","2007-03-05",7.203333
"43","2007-03-06",7.496666
"44","2007-03-07",7.331666
"45","2007-03-08",7.361667
"46","2007-03-09",7.38
"47","2007-03-12",7.5
"48","2007-03-13",7.286667
"49","2007-03-14",7.325
"50","2007-03-15",7.275
"51","2007-03-16",7.355
"52","2007-03-19",7.58
"53","2007-03-20",7.666667
"54","2007-03-21",7.733333
"55","2007-03-22",7.773334
"56","2007-03-23",7.91
"57","2007-03-26",7.883333
"58","2007-03-27",7.838333
"59","2007-03-28",7.82
"60","2007-03-29",7.848333
"61","2007-03-30",7.848333
"62","2007-04-02",7.833333
"63","2007-04-03",8.03
"64","2007-04-04",7.923333
"65","2007-04-05",7.938334
"66","2007-04-09",7.7
"67","2007-04-10",7.855
"68","2007-04-11",7.59
"69","2007-04-12",7.611667
"70","2007-04-13",7.563334
"71","2007-04-16",7.606667
"72","2007-04-17",7.538333
"73","2007-04-18",7.541667
"74","2007-04-19",7.418334
"75","2007-04-20",7.568333
"76","2007-04-23",7.416667
"77","2007-04-24",7.366667
"78","2007-04-25",7.466667
"79","2007-04-26",7.678333
"80","2007-04-27",7.66
"81","2007-04-30",7.483333
"82","2007-05-01",7.518333
"83","2007-05-02",7.645
"84","2007-05-03",7.688334
"85","2007-05-04",7.743333
"86","2007-05-07",7.72
"87","2007-05-08",7.518333
"88","2007-05-09",7.613333
"89","2007-05-10",7.646667
"90","2007-05-11",7.708333
"91","2007-05-14",7.93
"92","2007-05-15",8.085
