"","date","MNTX"
"1","2007-01-03",5.42
"2","2007-01-04",5.37
"3","2007-01-05",5.37
"4","2007-01-08",5.38
"5","2007-01-09",5.46
"6","2007-01-10",5.89
"7","2007-01-11",5.69
"8","2007-01-12",5.55
"9","2007-01-16",6
"10","2007-01-17",6.15
"11","2007-01-18",5.99
"12","2007-01-19",5.95
"13","2007-01-22",5.95
"14","2007-01-23",6
"15","2007-01-24",6
"16","2007-01-25",6.01
"17","2007-01-26",6.01
"18","2007-01-29",6.05
"19","2007-01-30",6.09
"20","2007-01-31",6.03
"21","2007-02-01",5.85
"22","2007-02-02",5.43
"23","2007-02-05",5.49
"24","2007-02-06",5.49
"25","2007-02-07",5.55
"26","2007-02-08",5.75
"27","2007-02-09",5.95
"28","2007-02-12",5.8
"29","2007-02-13",5.94
"30","2007-02-14",6.27
"31","2007-02-15",6.57
"32","2007-02-16",6.65
"33","2007-02-20",6.5
"34","2007-02-21",6.25
"35","2007-02-22",6.42
"36","2007-02-23",6.25
"37","2007-02-26",6.33
"38","2007-02-27",6.25
"39","2007-02-28",6.24
"40","2007-03-01",6.28
"41","2007-03-02",6.23
"42","2007-03-05",6.22
"43","2007-03-06",5.88
"44","2007-03-07",5.87
"45","2007-03-08",5.87
"46","2007-03-09",5.95
"47","2007-03-12",6.1
"48","2007-03-13",6.11
"49","2007-03-14",6.04
"50","2007-03-15",6.08
"51","2007-03-16",6.15
"52","2007-03-19",6.05
"53","2007-03-20",6.2
"54","2007-03-21",6.2
"55","2007-03-22",6.44
"56","2007-03-23",6.42
"57","2007-03-26",6.42
"58","2007-03-27",6.27
"59","2007-03-28",6.13
"60","2007-03-29",6.28
"61","2007-03-30",6.63
"62","2007-04-02",6.8
"63","2007-04-03",6.99
"64","2007-04-04",6.86
"65","2007-04-05",6.82
"66","2007-04-09",6.76
"67","2007-04-10",6.99
"68","2007-04-11",6.84
"69","2007-04-12",6.7
"70","2007-04-13",6.65
"71","2007-04-16",6.81
"72","2007-04-17",6.9
"73","2007-04-18",6.81
"74","2007-04-19",6.55
"75","2007-04-20",6.5
"76","2007-04-23",6.55
"77","2007-04-24",6.54
"78","2007-04-25",6.98
"79","2007-04-26",6.98
"80","2007-04-27",7.03
"81","2007-04-30",6.94
"82","2007-05-01",7.28
"83","2007-05-02",7.26
"84","2007-05-03",7.22
"85","2007-05-04",7.25
"86","2007-05-07",7.4
"87","2007-05-08",7.42
"88","2007-05-09",8.1
"89","2007-05-10",7.87
"90","2007-05-11",7.98
"91","2007-05-14",8
"92","2007-05-15",8.31
"93","2007-05-16",7.88
"94","2007-05-17",7.75
"95","2007-05-18",7.72
"96","2007-05-21",7.65
"97","2007-05-22",7.85
"98","2007-05-23",8.02
"99","2007-05-24",8.15
"100","2007-05-25",8.14
"101","2007-05-29",8.02
"102","2007-05-30",8.12
"103","2007-05-31",8.13
"104","2007-06-01",8
"105","2007-06-04",7.95
"106","2007-06-05",7.95
"107","2007-06-06",8.03
"108","2007-06-07",7.9
"109","2007-06-08",7.57
"110","2007-06-11",7.25
"111","2007-06-12",7.03
"112","2007-06-13",7.05
"113","2007-06-14",7.05
"114","2007-06-15",7
"115","2007-06-18",7.4
"116","2007-06-19",7.39
"117","2007-06-20",7.26
"118","2007-06-21",7.3
"119","2007-06-22",7.4
"120","2007-06-25",7.48
"121","2007-06-26",7.39
"122","2007-06-27",7.43
"123","2007-06-28",7.65
"124","2007-06-29",7.94
"125","2007-07-02",8.03
"126","2007-07-03",7.9
"127","2007-07-05",7.89
"128","2007-07-06",7.89
"129","2007-07-09",7.53
"130","2007-07-10",7.6
"131","2007-07-11",7.54
"132","2007-07-12",7.4
"133","2007-07-13",7.4
"134","2007-07-16",7.29
"135","2007-07-17",7.35
"136","2007-07-18",7.35
"137","2007-07-19",7.5
"138","2007-07-20",7.5
"139","2007-07-23",7.45
"140","2007-07-24",7.3
"141","2007-07-25",7.05
"142","2007-07-26",7.03
"143","2007-07-27",7.2
"144","2007-07-30",7
"145","2007-07-31",7
"146","2007-08-01",7
"147","2007-08-02",6.9
"148","2007-08-03",6.78
"149","2007-08-06",6.85
"150","2007-08-07",6.8
"151","2007-08-08",6.75
"152","2007-08-09",6.85
"153","2007-08-10",6.85
"154","2007-08-13",6.95
"155","2007-08-14",7
"156","2007-08-15",6.85
"157","2007-08-16",6.8
"158","2007-08-17",6.87
"159","2007-08-20",6.79
"160","2007-08-21",6.85
"161","2007-08-22",6.95
"162","2007-08-23",6.9
"163","2007-08-24",6.82
"164","2007-08-27",6.78
"165","2007-08-28",6.95
"166","2007-08-29",6.9
"167","2007-08-30",6.85
"168","2007-08-31",7.05
"169","2007-09-04",6.85
"170","2007-09-05",6.49
"171","2007-09-06",6.24
"172","2007-09-07",6.45
"173","2007-09-10",6.53
"174","2007-09-11",6.48
"175","2007-09-12",6.5
"176","2007-09-13",6.7
"177","2007-09-14",7.1
"178","2007-09-17",6.88
"179","2007-09-18",6.65
"180","2007-09-19",6.7
"181","2007-09-20",6.75
"182","2007-09-21",6.7
"183","2007-09-24",6.86
"184","2007-09-25",6.83
"185","2007-09-26",6.84
"186","2007-09-27",6.95
"187","2007-09-28",7.16
"188","2007-10-01",6.8
"189","2007-10-02",6.8
"190","2007-10-03",6.84
"191","2007-10-04",6.8
"192","2007-10-05",6.97
"193","2007-10-08",6.97
"194","2007-10-09",6.9
"195","2007-10-10",6.85
"196","2007-10-11",7.05
"197","2007-10-12",7.05
"198","2007-10-15",7.4
"199","2007-10-16",7.02
"200","2007-10-17",6.98
"201","2007-10-18",6.95
"202","2007-10-19",6.9
"203","2007-10-22",7
"204","2007-10-23",6.93
"205","2007-10-24",6.86
"206","2007-10-25",6.75
"207","2007-10-26",6.76
"208","2007-10-29",6.68
"209","2007-10-30",6.4
"210","2007-10-31",6.7
"211","2007-11-01",6.73
"212","2007-11-02",6.66
"213","2007-11-05",6.57
"214","2007-11-06",6.55
"215","2007-11-07",6.43
"216","2007-11-08",6.45
"217","2007-11-09",6.35
"218","2007-11-12",6.3
"219","2007-11-13",6.6
"220","2007-11-14",6.7
"221","2007-11-15",6.7
"222","2007-11-16",6.2
