"","date","MWA"
"1","2007-01-03",15.32
"2","2007-01-04",14.96
"3","2007-01-05",14.56
"4","2007-01-08",13.95
"5","2007-01-09",13.93
"6","2007-01-10",13.82
"7","2007-01-11",13.92
"8","2007-01-12",14.23
"9","2007-01-16",14
"10","2007-01-17",14.1
"11","2007-01-18",13.9
"12","2007-01-19",14.04
"13","2007-01-22",13.73
"14","2007-01-23",14.03
"15","2007-01-24",14.35
"16","2007-01-25",14.05
"17","2007-01-26",14.17
"18","2007-01-29",13.86
"19","2007-01-30",13.63
"20","2007-01-31",13.75
"21","2007-02-01",14.25
"22","2007-02-02",14.86
"23","2007-02-05",15.01
"24","2007-02-06",15.19
"25","2007-02-07",15.29
"26","2007-02-08",15.38
"27","2007-02-09",15.32
"28","2007-02-12",15.53
"29","2007-02-13",15.29
"30","2007-02-14",15.19
"31","2007-02-15",15.19
"32","2007-02-16",15.27
"33","2007-02-20",15.84
"34","2007-02-21",16.059999
"35","2007-02-22",15.92
"36","2007-02-23",15.87
"37","2007-02-26",15.72
"38","2007-02-27",15
"39","2007-02-28",14.9
"40","2007-03-01",14.97
"41","2007-03-02",15
"42","2007-03-05",14.65
"43","2007-03-06",15.03
"44","2007-03-07",14.63
"45","2007-03-08",14.52
"46","2007-03-09",14.7
"47","2007-03-12",14.72
"48","2007-03-13",14.61
"49","2007-03-14",14.09
"50","2007-03-15",14.1
"51","2007-03-16",13.81
"52","2007-03-19",14.09
"53","2007-03-20",14.25
"54","2007-03-21",14.41
"55","2007-03-22",14.19
"56","2007-03-23",14.13
"57","2007-03-26",14.09
"58","2007-03-27",13.99
"59","2007-03-28",13.81
"60","2007-03-29",13.84
"61","2007-03-30",13.81
"62","2007-04-02",13.56
"63","2007-04-03",13.69
"64","2007-04-04",13.82
"65","2007-04-05",14.05
"66","2007-04-09",14.09
"67","2007-04-10",14.27
"68","2007-04-11",14.22
"69","2007-04-12",14.4
"70","2007-04-13",14.32
"71","2007-04-16",14.5
"72","2007-04-17",14.55
"73","2007-04-18",14.32
"74","2007-04-19",14.39
"75","2007-04-20",14.56
"76","2007-04-23",14.67
"77","2007-04-24",14.41
"78","2007-04-25",14.56
"79","2007-04-26",14.77
"80","2007-04-27",14.66
"81","2007-04-30",14.4
"82","2007-05-01",14.56
"83","2007-05-02",15.49
"84","2007-05-03",15.75
"85","2007-05-04",15.85
"86","2007-05-07",15.79
"87","2007-05-08",15.6
"88","2007-05-09",15.69
"89","2007-05-10",15.35
"90","2007-05-11",15.76
"91","2007-05-14",15.53
"92","2007-05-15",15.58
"93","2007-05-16",15.98
"94","2007-05-17",16.23
"95","2007-05-18",16.27
