"","date","SON"
"1","2007-01-03",38.490002
"2","2007-01-04",38.16
"3","2007-01-05",37.799999
"4","2007-01-08",37.77
"5","2007-01-09",37.970001
"6","2007-01-10",37.990002
"7","2007-01-11",38.169998
"8","2007-01-12",38.18
"9","2007-01-16",38.23
"10","2007-01-17",38.310001
"11","2007-01-18",38.43
"12","2007-01-19",38.720001
"13","2007-01-22",38.400002
"14","2007-01-23",38.549999
"15","2007-01-24",38.580002
"16","2007-01-25",37.919998
"17","2007-01-26",37.830002
"18","2007-01-29",38.240002
"19","2007-01-30",38.360001
"20","2007-01-31",38.5
"21","2007-02-01",38.740002
"22","2007-02-02",38.549999
"23","2007-02-05",38.48
"24","2007-02-06",38.599998
"25","2007-02-07",38.110001
"26","2007-02-08",37.900002
"27","2007-02-09",38.02
"28","2007-02-12",37.77
"29","2007-02-13",38.139999
"30","2007-02-14",37.950001
"31","2007-02-15",37.849998
"32","2007-02-16",37.84
"33","2007-02-20",37.810001
"34","2007-02-21",38.02
"35","2007-02-22",37.75
"36","2007-02-23",37.799999
"37","2007-02-26",37.84
"38","2007-02-27",37.16
"39","2007-02-28",37.02
"40","2007-03-01",36.880001
"41","2007-03-02",36.77
"42","2007-03-05",36.18
"43","2007-03-06",36.540001
"44","2007-03-07",36.66
"45","2007-03-08",36.630001
"46","2007-03-09",36.490002
"47","2007-03-12",37.599998
"48","2007-03-13",37.299999
"49","2007-03-14",37.139999
"50","2007-03-15",37.560001
"51","2007-03-16",37.049999
"52","2007-03-19",37.59
"53","2007-03-20",38.009998
"54","2007-03-21",38.130001
"55","2007-03-22",37.98
"56","2007-03-23",38.150002
"57","2007-03-26",38.389999
"58","2007-03-27",38.07
"59","2007-03-28",37.599998
"60","2007-03-29",37.630001
"61","2007-03-30",37.580002
"62","2007-04-02",39.41
"63","2007-04-03",39.689999
"64","2007-04-04",39.790001
"65","2007-04-05",39.669998
"66","2007-04-09",39.990002
"67","2007-04-10",39.84
"68","2007-04-11",39.459999
"69","2007-04-12",39.299999
"70","2007-04-13",39.439999
"71","2007-04-16",40.189999
"72","2007-04-17",40.139999
"73","2007-04-18",39.610001
"74","2007-04-19",39.73
"75","2007-04-20",43.040001
"76","2007-04-23",42.09
"77","2007-04-24",42.119999
"78","2007-04-25",42.57
"79","2007-04-26",42.560001
"80","2007-04-27",42.290001
"81","2007-04-30",42.639999
"82","2007-05-01",42.98
"83","2007-05-02",42.880001
"84","2007-05-03",42.400002
"85","2007-05-04",42.549999
"86","2007-05-07",43.16
"87","2007-05-08",43.099998
"88","2007-05-09",43.540001
"89","2007-05-10",42.790001
"90","2007-05-11",43.029999
"91","2007-05-14",43.330002
"92","2007-05-15",43.169998
"93","2007-05-16",43.27
"94","2007-05-17",42.990002
"95","2007-05-18",43.139999
"96","2007-05-21",43.200001
"97","2007-05-22",43.209999
"98","2007-05-23",42.84
"99","2007-05-24",42.439999
"100","2007-05-25",43.169998
"101","2007-05-29",43.459999
"102","2007-05-30",43.779999
"103","2007-05-31",43.299999
"104","2007-06-01",43.830002
"105","2007-06-04",44.889999
"106","2007-06-05",44.639999
"107","2007-06-06",44
"108","2007-06-07",43.139999
"109","2007-06-08",43.73
"110","2007-06-11",43.48
"111","2007-06-12",42.93
"112","2007-06-13",43.139999
"113","2007-06-14",43.299999
"114","2007-06-15",43.490002
