"","date","BIDU"
"1","2007-01-03",12.241
"2","2007-01-04",12.6
"3","2007-01-05",12.25
"4","2007-01-08",12.195
"5","2007-01-09",12.372
"6","2007-01-10",12.801
"7","2007-01-11",13.118
"8","2007-01-12",12.47
"9","2007-01-16",12.744
"10","2007-01-17",12.549
"11","2007-01-18",12.138
"12","2007-01-19",12.14
"13","2007-01-22",12.24
"14","2007-01-23",12.455
"15","2007-01-24",12.49
"16","2007-01-25",12.374
"17","2007-01-26",12.34
"18","2007-01-29",12.34
"19","2007-01-30",12.407
"20","2007-01-31",12.494
"21","2007-02-01",11.994
"22","2007-02-02",11.961
"23","2007-02-05",11.599
"24","2007-02-06",11.695
"25","2007-02-07",11.84
"26","2007-02-08",11.978
"27","2007-02-09",11.749
"28","2007-02-12",11.675
"29","2007-02-13",11.33
"30","2007-02-14",11.5
"31","2007-02-15",10.618
"32","2007-02-16",10.515
"33","2007-02-20",10.632
"34","2007-02-21",10.701
"35","2007-02-22",10.741
"36","2007-02-23",11.037
"37","2007-02-26",11.171
"38","2007-02-27",10.476
"39","2007-02-28",10.67
"40","2007-03-01",10.622
"41","2007-03-02",10.212
"42","2007-03-05",9.967
"43","2007-03-06",10.428
"44","2007-03-07",10.347
"45","2007-03-08",10.519
"46","2007-03-09",10.244
"47","2007-03-12",10.254
"48","2007-03-13",9.891
"49","2007-03-14",9.737
"50","2007-03-15",9.621
"51","2007-03-16",9.575
"52","2007-03-19",9.657
"53","2007-03-20",9.68
"54","2007-03-21",10.097
"55","2007-03-22",10.26
"56","2007-03-23",10.259
"57","2007-03-26",10.126
"58","2007-03-27",10.126
"59","2007-03-28",9.925
"60","2007-03-29",9.712
"61","2007-03-30",9.655
"62","2007-04-02",9.352
"63","2007-04-03",9.524
"64","2007-04-04",9.46
"65","2007-04-05",9.458
"66","2007-04-09",9.48
"67","2007-04-10",9.785
"68","2007-04-11",9.861
"69","2007-04-12",9.773
"70","2007-04-13",9.737
"71","2007-04-16",9.872
"72","2007-04-17",9.928
"73","2007-04-18",9.907
"74","2007-04-19",9.694
"75","2007-04-20",9.96
"76","2007-04-23",9.956
"77","2007-04-24",10.35
"78","2007-04-25",10.468
"79","2007-04-26",10.937
"80","2007-04-27",12.457
"81","2007-04-30",12.158
"82","2007-05-01",12.135
"83","2007-05-02",12.297
"84","2007-05-03",12.532
"85","2007-05-04",12.696
"86","2007-05-07",12.593
"87","2007-05-08",12.524
"88","2007-05-09",12.708
"89","2007-05-10",12.488
"90","2007-05-11",12.812
"91","2007-05-14",13.199
"92","2007-05-15",12.903
"93","2007-05-16",12.975
"94","2007-05-17",13.089
"95","2007-05-18",13.105
"96","2007-05-21",13.466
"97","2007-05-22",13.514
"98","2007-05-23",13.07
"99","2007-05-24",12.83
"100","2007-05-25",13.071
"101","2007-05-29",13.32
